"SSN","site","subsite","unit","northing","easting"
244,"33","&45","N2W6",93,-280
245,"34","NONE","N2W6",94,-286
246,"35","NONE","N2W6",98,-283
247,"36","NONE","N2W6",97,-288
248,"37","NONE","N2W6",99,-292
249,"38","NONE","N2W6",100,-299
250,"39","NONE","N2W6",99,-296
251,"40","NONE","N2W6",97,-299
252,"41","NONE","N2W6",95,-296
253,"42","NONE","N2W6",88,-294
254,"43","NONE","N2W6",91,-291
255,"44","NONE","N2W6",88,-287
256,"46","NONE","N2W6",88,-281
257,"47","NONE","N2W6",88,-284
258,"48","NONE","N2W6",85,-281
259,"49","NONE","N2W6",85,-283
260,"50","NONE","N2W6",83,-282
261,"51","NONE","N2W6",85,-285
262,"52","NONE","N2W6",84,-288
263,"53","NONE","N2W6",82,-286
264,"54","NONE","N2W6",85,-279
265,"55","NONE","N2W6",72,-294
266,"56","NONE","N2W6",80,-283
267,"57","NONE","N2W6",76,-281
268,"58","NONE","N2W6",74,-285
269,"59","NONE","N2W6",74,-289
270,"60","NONE","N2W6",68,-288
271,"61","NONE","N2W6",70,-285
272,"62","NONE","N2W6",70,-281
273,"63","NONE","N2W6",66,-282
274,"64","NONE","N2W6",62,-284
275,"65","NONE","N2W6",63,-280
276,"73","NONE","N2W6",60,-270
277,"74","NONE","N2W6",60,-274
278,"75","NONE","N2W6",64,-274
279,"76","NONE","N2W6",68,-271
280,"77","NONE","N2W6",67,-268
281,"78","NONE","N2W6",74,-268
282,"79","NONE","N2W6",79,-270
283,"80","NONE","N2W6",75,-276
284,"81","NONE","N2W6",70,-276
285,"82","NONE","N2W6",67,-275
286,"83","NONE","N2W6",63,-278
287,"84","NONE","N2W6",51,-291
288,"85","NONE","N2W6",51,-298
289,"86","NONE","N2W6",62,-291
290,"87","NONE","N2W6",66,-291
291,"88","NONE","N2W6",66,-294
292,"89","NONE","N2W6",62,-299
293,"90","NONE","N2W6",66,-300
294,"91","NONE","N2W6",71,-300
295,"92","NONE","N2W6",58,-298
296,"93","NONE","N2W6",58,-291
297,"94","NONE","N2W6",76,-300
298,"66","NONE","N2W6",60,-281
299,"67","NONE","N2W6",55,-281
300,"68","NONE","N2W6",50,-283
301,"69","NONE","N2W6",57,-277
302,"70","NONE","N2W6",54,-272
303,"71","NONE","N2W6",50,-269
304,"72","NONE","N2W6",55,-269
305,"1","NONE","N1W6",49,-281
306,"2","NONE","N1W6",48,-273
307,"3","NONE","N1W6",47,-269
308,"4","NONE","N1W6",43,-270
309,"5","NONE","N1W6",37,-270
310,"6","NONE","N1W6",38,-274
311,"7","NONE","N1W6",37,-277
312,"8","NONE","N1W6",43,-274
313,"9","NONE","N1W6",43,-277
314,"10","NONE","N1W6",34,-282
315,"11","NONE","N1W6",38,-283
316,"17","NONE","N1W6",44,-280
317,"20","NONE","N1W6",32,-282
318,"32","NONE","N1W6",32,-270
319,"33","NONE","N1W6",31,-276
320,"34","NONE","N1W6",24,-275
321,"39","NONE","N1W6",29,-281
322,"43","NONE","N1W6",44,-284
323,"12","NONE","N1W6",42,-292
324,"13","NONE","N1W6",37,-288
325,"14","NONE","N1W6",34,-297
326,"15","NONE","N1W6",34,-293
327,"16","NONE","N1W6",37,-298
328,"18","LG","N1W6",31,-293
329,"22","NONE","N1W6",37,-251
330,"23","NONE","N1W6",29,-259
331,"24","NONE","N1W6",8,-252
332,"25","NONE","N1W6",14,-263
333,"26","NONE","N1W6",8,-263
334,"27","NONE","N1W6",7,-258
335,"28","NONE","N1W6",14,-258
336,"29","NONE","N1W6",37,-262
337,"30","NONE","N1W6",46,-256
338,"31","NONE","N1W6",46,-264
339,"35","NONE","N1W6",8,-272
340,"36","NONE","N1W6",8,-281
341,"37","NONE","N1W6",15,-287
342,"38","NONE","N1W6",9,-287
343,"40","NONE","N1W6",26,-296
344,"41","NONE","N1W6",44,-289
345,"42","NONE","N1W6",38,-293
346,"44","NONE","N1W6",45,-296
347,"45","NONE","N1W6",41,-298
348,"L 6","NONE","N1W6",14,-271
349,"L 7","NONE","N1W6",23,-270
350,"L 8","NONE","N1W6",10,-295
351,"L 9","NONE","N1W6",20,-298
352,"L10","NONE","N1W6",23,-292
353,"1","NONE","N5W5",242,-203
354,"2","NONE","N5W5",210,-203
355,"3","NONE","N5W5",221,-208
356,"4","NONE","N5W5",211,-209
357,"5","NONE","N5W5",205,-242
358,"6","NONE","N5W5",238,-213
359,"L 1","NONE","N5W5",245,-218
360,"1","NONE","N4W5",176,-228
361,"2","NONE","N4W5",189,-203
362,"3","NONE","N4W5",179,-207
363,"4","NONE","N4W5",182,-233
364,"5","NONE","N4W5",171,-240
365,"6","NONE","N4W5",171,-208
366,"7","NONE","N4W5",151,-202
367,"8","NONE","N4W5",166,-219
368,"9","NONE","N4W5",160,-224
369,"10","NONE","N4W5",161,-232
370,"11","NONE","N4W5",169,-232
371,"12","NONE","N4W5",165,-234
372,"13","NONE","N4W5",152,-220
373,"14","NONE","N4W5",156,-206
374,"15","NONE","N4W5",164,-243
375,"16","NONE","N4W5",151,-242
376,"17","NONE","N4W5",157,-234
377,"18","NONE","N4W5",155,-226
378,"19","NONE","N4W5",163,-238
379,"20","NONE","N4W5",156,-249
380,"21","NONE","N4W5",184,-243
381,"22","NONE","N4W5",179,-249
382,"L 2","NONE","N4W5",158,-242
383,"1","NONE","N3W5",144,-206
384,"2","NONE","N3W5",148,-214
385,"3","NONE","N3W5",142,-220
386,"4","NONE","N3W5",142,-225
387,"5","NONE","N3W5",142,-230
388,"6","NONE","N3W5",143,-237
389,"7","NONE","N3W5",106,-210
390,"8","NONE","N3W5",110,-220
391,"9","NONE","N3W5",142,-246
392,"10","NONE","N3W5",136,-235
393,"11","NONE","N3W5",133,-228
394,"12","NONE","N3W5",133,-220
395,"13","NONE","N3W5",132,-203
396,"14","NONE","N3W5",122,-225
397,"15","NONE","N3W5",124,-232
398,"16","NONE","N3W5",100,-209
399,"17","NONE","N3W5",113,-213
400,"18","NONE","N3W5",123,-218
401,"19","NONE","N3W5",103,-221
402,"20","NONE","N3W5",116,-219
403,"21","NONE","N3W5",104,-229
404,"22","NONE","N3W5",110,-228
405,"23","NONE","N3W5",105,-244
406,"24","NONE","N3W5",104,-235
407,"25","NONE","N3W5",120,-237
408,"26","NONE","N3W5",121,-242
409,"27","NONE","N3W5",124,-246
410,"28","NONE","N3W5",126,-250
411,"29","NONE","N3W5",135,-248
412,"30","NONE","N3W5",130,-233
413,"31","NONE","N3W5",144,-244
414,"32","NONE","N3W5",150,-233
415,"33","NONE","N3W5",148,-226
416,"L 1","NONE","N3W5",113,-235
417,"L 2","NONE","N3W5",113,-244
418,"L 3","NONE","N3W5",111,-223
419,"1","NONE","N2W5",65,-201
420,"2","NONE","N2W5",59,-209
421,"3","NONE","N2W5",65,-215
422,"4","NONE","N2W5",70,-219
423,"5","NONE","N2W5",77,-232
424,"6","NONE","N2W5",57,-244
425,"7","NONE","N2W5",64,-239
426,"8","NONE","N2W5",58,-227
427,"9","NONE","N2W5",52,-219
428,"10","NONE","N2W5",50,-215
429,"11","NONE","N2W5",78,-247
430,"12","NONE","N2W5",67,-206
431,"13","NONE","N2W5",74,-203
432,"14","NONE","N2W5",73,-210
433,"15","NONE","N2W5",85,-207
434,"16","NONE","N2W5",79,-221
435,"17","NONE","N2W5",86,-222
436,"18","NONE","N2W5",95,-221
437,"19","NONE","N2W5",94,-208
438,"20","NONE","N2W5",86,-230
439,"21","NONE","N2W5",95,-235
440,"22","NONE","N2W5",94,-248
441,"23","NONE","N2W5",97,-246
442,"24","&L1","N2W5",56,-201
443,"L 2","NONE","N2W5",88,-245
444,"L 3","NONE","N2W5",69,-231
445,"L 4","NONE","N2W5",97,-228
446,"1","NONE","N1W5",23,-225
447,"2","NONE","N1W5",34,-232
448,"3","NONE","N1W5",34,-227
449,"4","NONE","N1W5",29,-230
450,"5","NONE","N1W5",31,-222
451,"6","NONE","N1W5",15,-215
452,"7","NONE","N1W5",7,-243
453,"8","NONE","N1W5",11,-225
454,"9","X13","N1W5",19,-245
455,"11","NONE","N1W5",30,-242
456,"12","NONE","N1W5",34,-243
457,"14","NONE","N1W5",23,-250
458,"15","NONE","N1W5",29,-249
459,"16","NONE","N1W5",41,-240
460,"17","NONE","N1W5",43,-231
461,"18","NONE","N1W5",48,-233
462,"19","NONE","N1W5",46,-249
463,"20","NONE","N1W5",38,-218
464,"21","NONE","N1W5",45,-217
465,"22","NONE","N1W5",42,-213
466,"23","NONE","N1W5",35,-212
467,"24","NONE","N1W5",41,-208
468,"25","NONE","N1W5",37,-204
469,"26","NONE","N1W5",41,-204
470,"27","NONE","N1W5",45,-224
471,"28","NONE","N1W5",48,-207
472,"29","NONE","N1W5",9,-234
473,"L 1","NONE","N1W5",19,-227
474,"L 2","NONE","N1W5",38,-225
475,"30","NS","N1W5",39,-232
476,"L 4","NONE","N1W5",27,-224
477,"L 5","NONE","N1W5",30,-234
478,"L 6","NONE","N1W5",48,-243
479,"L 1","NONE","N7W4",310,-156
480,"L 2","&L7","N7W4",315,-181
481,"L 3","NONE","N7W4",317,-191
482,"L 4","NONE","N7W4",307,-183
483,"L 5","NONE","N7W4",304,-193
484,"L 6","NONE","N7W4",322,-162
485,"L 8","NONE","N7W4",349,-187
486,"L 9","NONE","N7W4",326,-169
487,"L10","NONE","N7W4",324,-156
488,"L11","NONE","N7W4",324,-152
489,"1","A","N6W4",293,-164
490,"1","B","N6W4",296,-158
491,"1","C","N6W4",291,-157
492,"1","D","N6W4",293,-157
493,"2","NONE","N6W4",267,-183
494,"3","NONE","N6W4",269,-190
495,"4","NONE","N6W4",282,-152
496,"5","NONE","N6W4",252,-168
497,"6","NONE","N6W4",265,-163
498,"7","NONE","N6W4",260,-156
499,"8","NONE","N6W4",258,-166
500,"9","NONE","N6W4",265,-174
501,"10","NONE","N6W4",252,-190
502,"11","NONE","N6W4",283,-177
503,"L 1","NONE","N6W4",261,-192
504,"L 2","NONE","N6W4",251,-182
505,"L 3","NONE","N6W4",274,-183
506,"L 4","NONE","N6W4",281,-187
507,"L 5","NONE","N6W4",291,-185
508,"L 7","NONE","N6W4",280,-166
509,"L 8","NONE","N6W4",296,-174
510,"L 9","NONE","N6W4",286,-159
511,"L10","NONE","N6W4",292,-152
512,"L11","-12","N6W4",276,-179
513,"L13","NONE","N6W4",268,-171
514,"L14","NONE","N6W4",268,-154
515,"L15","NONE","N6W4",273,-165
516,"1","NONE","N5W4",201,-193
517,"2","NONE","N5W4",201,-198
518,"3","NONE","N5W4",201,-155
519,"4","NONE","N5W4",237,-168
520,"5","NONE","N5W4",206,-158
521,"6","NONE","N5W4",204,-168
522,"7","NONE","N5W4",200,-170
523,"8","NONE","N5W4",215,-168
524,"9","&10","N5W4",209,-167
525,"11","NONE","N5W4",207,-177
526,"12","NONE","N5W4",217,-181
527,"13","NONE","N5W4",221,-195
528,"14","NONE","N5W4",233,-169
529,"15","NONE","N5W4",238,-177
530,"16","NONE","N5W4",237,-192
531,"17","NONE","N5W4",228,-196
532,"18","NONE","N5W4",214,-195
533,"19","NONE","N5W4",208,-195
534,"20","NONE","N5W4",204,-188
535,"21","NONE","N5W4",211,-161
536,"22","NONE","N5W4",220,-174
537,"23","NONE","N5W4",215,-176
538,"24","NONE","N5W4",230,-165
539,"25","NONE","N5W4",227,-169
540,"26","NONE","N5W4",226,-177
541,"27","NONE","N5W4",246,-178
542,"28","NONE","N5W4",245,-169
543,"29","NONE","N5W4",227,-157
544,"30","NONE","N5W4",219,-157
545,"31","NONE","N5W4",213,-156
546,"32","NONE","N5W4",217,-188
547,"33","NONE","N5W4",223,-186
548,"34","NONE","N5W4",233,-176
549,"35","NONE","N5W4",233,-185
550,"36","NONE","N5W4",244,-195
551,"37","NONE","N5W4",221,-168
552,"38","NONE","N5W4",233,-157
553,"39","NONE","N5W4",239,-157
554,"40","NONE","N5W4",249,-157
555,"41","NONE","N5W4",240,-169
556,"L 1","NONE","N5W4",237,-173
557,"L 2","NONE","N5W4",232,-194
558,"L 3","NONE","N5W4",244,-187
559,"L 4","NONE","N5W4",246,-164
560,"L 5","NONE","N5W4",236,-163
561,"1","NONE","N4W4",172,-185
562,"2","NONE","N4W4",172,-194
563,"3","NONE","N4W4",162,-185
564,"4","NONE","N4W4",159,-195
565,"5","NONE","N4W4",154,-193
566,"6","NONE","N4W4",177,-175
567,"7","NONE","N4W4",166,-166
568,"8","NONE","N4W4",196,-185
569,"9","NONE","N4W4",169,-176
570,"10","NONE","N4W4",197,-154
571,"11","NONE","N4W4",161,-155
572,"12","NONE","N4W4",175,-152
573,"13","NONE","N4W4",157,-165
574,"14","NONE","N4W4",160,-174
575,"15","NONE","N4W4",153,-182
576,"16","NONE","N4W4",187,-177
577,"17","NONE","N4W4",194,-177
578,"L 1","NONE","N4W4",188,-190
579,"L 2","NONE","N4W4",193,-159
580,"L 3","NONE","N4W4",153,-155
581,"1","NONE","N3W4",130,-190
582,"2","NONE","N3W4",116,-157
583,"3","NONE","N3W4",108,-156
584,"4","NONE","N3W4",113,-166
585,"5","NONE","N3W4",109,-164
586,"6","NONE","N3W4",119,-167
587,"7","NONE","N3W4",112,-180
588,"8","NONE","N3W4",123,-181
589,"9","NONE","N3W4",110,-198
590,"10","NONE","N3W4",130,-182
591,"11","NONE","N3W4",129,-155
592,"12","NONE","N3W4",144,-169
593,"13","&14","N3W4",123,-185
594,"15","NONE","N3W4",117,-199
595,"16","NONE","N3W4",133,-169
596,"17","NONE","N3W4",126,-168
597,"18","NONE","N3W4",105,-190
598,"19","NONE","N3W4",104,-197
599,"L 1","NONE","N3W4",135,-196
600,"L 2","NONE","N3W4",124,-199
601,"1","NONE","N2W4",64,-197
602,"2","NONE","N2W4",67,-194
603,"3","NONE","N2W4",75,-192
604,"4","NONE","N2W4",60,-188
605,"5","NONE","N2W4",53,-196
606,"6","NONE","N2W4",58,-195
607,"7","NONE","N2W4",57,-185
608,"8","NONE","N2W4",58,-179
609,"9","NONE","N2W4",65,-179
610,"10","NONE","N2W4",63,-173
611,"11","NONE","N2W4",66,-185
612,"12","NONE","N2W4",71,-179
613,"13","NONE","N2W4",80,-193
614,"14","NONE","N2W4",86,-194
615,"15","NONE","N2W4",92,-194
616,"16","NONE","N2W4",94,-188
617,"17","NONE","N2W4",86,-187
618,"18","NONE","N2W4",85,-181
619,"19","NONE","N2W4",84,-175
620,"20","NONE","N2W4",92,-178
621,"21","NONE","N2W4",78,-178
622,"22","NONE","N2W4",91,-169
623,"23","NONE","N2W4",100,-170
624,"24","NONE","N2W4",99,-179
625,"25","NONE","N2W4",91,-160
626,"26","NONE","N2W4",93,-154
627,"27","NONE","N2W4",84,-157
628,"28","NONE","N2W4",99,-158
629,"29","NONE","N2W4",77,-161
630,"30","NONE","N2W4",75,-186
631,"31","NONE","N2W4",53,-160
632,"32","&34","N2W4",59,-159
633,"33","NONE","N2W4",70,-155
634,"35","NONE","N2W4",52,-171
635,"36","NONE","N2W4",76,-155
636,"L 1","NONE","N2W4",70,-163
637,"1","NONE","N1W4",7,-175
638,"2","NONE","N1W4",28,-189
639,"3","ETC","N1W4",40,-183
640,"4","NONE","N1W4",19,-194
641,"5","NONE","N1W4",12,-171
642,"6","NONE","N1W4",17,-174
643,"7","N","N1W4",34,-181
644,"7","S","N1W4",29,-181
645,"8","NONE","N1W4",41,-165
646,"9","NW","N1W4",35,-168
647,"9","NE","N1W4",35,-163
648,"9","W","N1W4",34,-172
649,"9","S","N1W4",27,-166
650,"9","C","N1W4",32,-166
651,"10","NONE","N1W4",32,-156
652,"36","&37","N1W4",32,-159
653,"11","NONE","N1W4",29,-160
654,"12","NONE","N1W4",36,-159
655,"13","E","N1W4",10,-150
656,"13","W","N1W4",10,-157
657,"14","E","N1W4",16,-150
658,"14","W","N1W4",16,-156
659,"15","NONE","N1W4",6,-157
660,"16","NE","N1W4",18,-160
661,"16","SE","N1W4",12,-161
662,"16","W","N1W4",12,-165
663,"17","NONE","N1W4",29,-155
664,"18","L10","N1W4",48,-187
665,"19","-20","N1W4",45,-175
666,"22","&L4","N1W4",27,-172
667,"23","NONE","N1W4",39,-174
668,"24","NONE","N1W4",13,-194
669,"25","NONE","N1W4",20,-179
670,"26","NONE","N1W4",17,-184
671,"27","NONE","N1W4",21,-187
672,"28","NONE","N1W4",8,-171
673,"29","NONE","N1W4",7,-179
674,"30","NONE","N1W4",6,-163
675,"31","ETC","N1W4",39,-152
676,"34","NONE","N1W4",47,-161
677,"35","NONE","N1W4",47,-166
678,"38","NONE","N1W4",26,-153
679,"39","NONE","N1W4",39,-193
680,"40","NONE","N1W4",48,-172
681,"L 1","NONE","N1W4",4,-186
682,"L 2","NONE","N1W4",22,-151
683,"L 3","NONE","N1W4",32,-175
684,"L 6","NONE","N1W4",14,-187
685,"L 7","NONE","N1W4",3,-172
686,"L 8","NONE","N1W4",1,-175
687,"1","NONE","N7W3",309,-113
688,"2","NONE","N7W3",311,-112
689,"3","NONE","N7W3",314,-141
690,"4","NONE","N7W3",313,-137
691,"5","NONE","N7W3",309,-110
692,"6","NONE","N7W3",304,-128
693,"7","NONE","N7W3",313,-128
694,"8","NONE","N7W3",312,-120
695,"9","NONE","N7W3",305,-123
696,"10","NONE","N7W3",317,-124
697,"11","NONE","N7W3",317,-129
698,"12","NONE","N7W3",329,-124
699,"13","NONE","N7W3",317,-120
700,"14","NONE","N7W3",317,-115
701,"15","NONE","N7W3",315,-111
702,"16","NONE","N7W3",321,-114
703,"17","NONE","N7W3",318,-104
704,"18","A","N7W3",316,-102
705,"18","B","N7W3",314,-103
706,"18","C","N7W3",316,-105
707,"18","D","N7W3",313,-105
708,"19","NONE","N7W3",309,-106
709,"20","NONE","N7W3",305,-107
710,"21","NONE","N7W3",304,-110
711,"22","NONE","N7W3",304,-117
712,"23","NONE","N7W3",309,-116
713,"24","NONE","N7W3",302,-103
714,"25","NONE","N7W3",317,-108
715,"26","NONE","N7W3",306,-103
716,"27","NONE","N7W3",304,-145
717,"28","NONE","N7W3",304,-141
718,"29","NONE","N7W3",301,-142
719,"30","NONE","N7W3",300,-138
720,"31","NONE","N7W3",304,-137
721,"32","&33","N7W3",305,-132
722,"34","NONE","N7W3",302,-132
723,"35","NONE","N7W3",301,-125
724,"36","NONE","N7W3",309,-132
725,"37","NONE","N7W3",308,-140
726,"38","NONE","N7W3",308,-145
727,"39","NONE","N7W3",314,-132
728,"40","NONE","N7W3",312,-124
