"SSN","milpa","barley","beans","alfalfaCut","alfalfaUncut","nopales","magueys","fallow","uncultivate","cropWater","plowing","pitCultivate","pitLoot","pitMisc","archaeoExcRest","quarrying","stoneClearing","landLeveling","terracing","ditching","roadOrRail","recentWall","stoneRows","recentBuild","dam","jaguey","erosion","silting","siteAlteration"
19,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20,3,0,3,0,0,3,3,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0
21,3,0,0,0,0,3,3,0,3,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0
22,0,0,0,0,0,0,3,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
23,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0
24,3,0,0,0,0,0,3,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
25,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
26,2,0,2,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30,3,0,0,0,0,0,3,0,0,1,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0
31,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
32,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
33,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,3,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0,0,0,0,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
36,2,0,2,0,0,0,3,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
39,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0
40,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
41,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
42,0,0,-1,-1,-1,-1,-1,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
43,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
44,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1
45,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,1
46,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,3,0,0
47,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
48,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
49,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
50,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
51,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
52,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
53,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
54,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
55,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
57,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
60,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
61,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,0,0,0,0,0,0,0,0,4,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
73,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
74,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
76,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
77,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
78,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
80,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
81,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
82,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
83,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
86,3,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
87,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,2
89,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0
90,0,0,0,0,0,0,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3
91,0,3,0,0,0,3,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
92,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
93,0,3,0,0,0,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
94,0,3,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3
95,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2
96,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,2
97,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
98,0,0,0,0,0,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
99,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
100,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
101,0,0,0,0,0,3,3,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
102,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2
104,0,0,0,0,0,3,3,0,3,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,2
105,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
106,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,2
107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,2
108,3,0,0,0,0,0,3,0,0,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0
109,3,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,3,0,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
111,3,0,0,0,0,3,3,0,0,1,3,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,1,0
112,0,0,0,0,0,3,3,0,0,1,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,1,3,1
113,0,0,3,0,0,3,3,0,0,1,3,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0
114,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
115,0,0,3,0,0,0,3,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1
116,0,0,0,0,0,0,3,3,0,3,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
117,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
118,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
119,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
120,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
121,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0
122,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
123,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
124,3,0,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
125,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
126,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
127,3,3,3,0,0,0,3,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
128,0,0,3,0,0,0,3,0,0,1,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
129,3,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130,0,0,3,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
131,-1,-1,-1,-1,-1,-1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
132,3,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
133,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
134,3,0,0,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0
135,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
136,0,0,3,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
138,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
139,0,3,3,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
140,3,0,0,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
141,0,0,3,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,0
142,0,0,3,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
143,0,0,3,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
144,0,0,0,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0
145,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
146,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
147,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0
148,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
149,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0
150,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0
151,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
152,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
153,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
154,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
155,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
156,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
158,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
160,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
161,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
162,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
163,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
164,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,0,0,0,0,0,0,3,0,3,1,-1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
166,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
167,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
168,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
169,0,0,0,0,0,2,0,0,3,-1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
171,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
174,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
176,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
177,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
179,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4
181,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
183,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
184,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
185,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
186,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2
187,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
188,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2
189,0,0,0,0,0,3,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,3,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
195,0,0,0,0,0,3,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,3,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,3,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,3,0,3,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,3,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
207,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
208,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
209,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
210,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
212,0,0,0,0,0,3,3,0,3,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
213,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
214,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
215,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
216,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0
217,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
218,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
219,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,2,0,3
220,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
221,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
222,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,0,0
223,0,0,3,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
224,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0
225,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0
