"SSN","midden","burials","height","slope","areaSite","areaStruct","lastBuildPhase","ceramicAbundance","intrusiveSherd"
189,0,0,0,3,162,0,1,3,1
190,0,0,0,3,304,0,4,5,1
191,0,0,0,3,96,930,4,3,1
192,0,0,0,3,96,624,0,3,1
193,0,0,19,3,125,466,4,3,1
194,0,0,0,3,409,-1,0,3,1
195,0,0,0,3,462,676,4,3,1
196,0,0,10,3,86,400,4,5,1
197,0,0,5,3,32,224,0,4,1
198,0,0,5,3,66,384,0,4,1
199,0,0,5,3,72,610,4,3,1
200,0,0,30,3,93,480,4,3,1
201,0,0,10,3,162,478,0,3,1
202,0,0,10,3,88,768,4,3,1
203,0,0,5,3,56,468,4,3,1
204,0,0,5,3,47,0,4,-1,1
205,0,0,2,3,239,858,3,1,1
206,0,0,0,3,144,264,0,1,1
207,0,0,0,3,48,0,0,1,1
208,0,0,0,3,102,0,4,1,1
209,0,0,0,3,130,0,4,5,1
210,0,0,5,3,74,0,4,3,1
211,0,0,0,3,250,0,4,2,1
212,0,0,0,3,123,288,4,4,1
213,0,0,0,3,295,0,3,5,1
214,0,0,0,3,172,-1,0,5,1
215,0,0,0,3,1060,-1,4,3,1
216,0,0,0,3,1064,0,4,5,1
217,0,0,0,3,228,-1,0,1,1
218,0,0,0,3,488,3364,5,5,1
219,0,0,10,3,647,3808,5,6,1
220,0,0,5,3,231,1363,5,5,1
221,0,0,3,3,162,1496,6,5,1
222,0,0,0,3,336,0,5,4,1
223,0,0,0,3,273,864,0,3,1
224,0,0,0,3,655,0,5,1,1
225,0,0,-1,3,348,2146,6,3,1
226,0,0,0,3,228,1480,5,3,1
227,0,0,0,3,106,960,5,7,1
228,0,0,0,3,109,884,5,7,1
229,0,0,0,3,114,1000,5,7,1
230,0,0,0,3,334,0,5,1,1
231,0,0,2,3,75,0,4,3,1
232,0,0,0,3,186,0,4,3,1
233,0,0,0,3,70,552,5,5,1
234,0,0,2,3,121,384,5,5,1
235,0,0,3,3,51,0,6,5,1
236,0,0,20,3,168,882,5,4,1
237,0,0,0,3,165,0,5,5,1
238,0,0,1,3,80,405,5,3,1
239,0,0,0,3,73,-1,0,3,1
240,0,0,5,3,87,0,0,3,1
241,0,0,10,3,76,276,0,3,1
242,0,0,5,3,200,0,4,3,1
243,0,0,0,3,185,-1,5,3,1
244,0,0,0,3,447,0,4,1,1
245,0,0,0,3,220,0,5,2,1
246,0,0,10,3,96,840,5,3,1
247,0,0,10,3,210,1722,5,4,1
248,0,0,10,3,137,1258,0,3,1
249,0,0,10,3,62,750,4,3,1
250,0,0,10,3,99,594,6,5,1
251,0,0,5,3,47,272,0,3,1
252,0,0,0,3,230,-1,5,1,1
253,0,0,5,3,161,0,0,5,1
254,0,0,0,3,320,0,5,3,1
255,0,0,0,3,174,0,5,3,1
256,0,0,2,3,92,330,0,1,1
257,0,0,30,3,90,468,0,3,1
258,0,0,20,3,48,340,0,5,1
259,0,0,25,3,62,360,0,5,1
260,0,0,20,3,65,680,5,5,1
261,0,0,40,3,52,360,0,5,1
262,0,0,30,3,128,504,5,5,1
263,0,0,0,3,184,0,5,5,1
264,0,0,30,3,65,260,0,3,1
265,0,0,0,3,360,0,4,3,1
266,0,0,3,3,320,-1,4,1,1
267,0,0,5,3,220,1400,4,5,1
268,0,0,0,3,277,870,5,5,1
269,0,0,0,3,189,-1,0,3,1
270,0,0,3,3,188,0,0,4,1
271,0,0,20,3,83,380,5,5,1
272,0,0,0,3,217,0,5,4,1
273,0,0,0,3,220,0,4,3,1
274,0,0,0,3,150,0,0,5,1
275,0,0,0,3,122,0,4,5,1
276,0,0,40,3,266,0,5,5,1
277,0,0,5,3,129,840,0,5,1
278,0,0,20,3,95,816,0,5,1
279,0,0,0,3,336,0,5,4,1
280,0,0,30,3,400,149,5,5,1
281,0,0,20,3,118,1056,5,7,1
282,0,0,7,3,425,0,0,3,1
283,0,0,0,3,294,0,0,3,1
284,0,0,30,3,232,0,5,3,1
285,0,0,0,3,140,0,5,7,1
286,0,0,0,3,190,-1,0,2,1
287,0,0,0,3,877,0,5,2,2
288,0,0,0,3,551,2585,5,2,1
289,0,0,0,3,174,0,0,3,1
290,0,0,0,3,79,0,4,4,1
291,0,0,5,3,360,896,5,7,1
292,0,0,0,3,285,0,4,1,1
293,0,0,2,3,527,0,5,3,1
294,0,0,0,3,194,0,0,1,1
295,0,0,0,3,294,0,0,1,1
296,0,0,0,3,277,0,0,1,1
297,0,0,0,3,325,0,0,4,-1
298,0,0,1,3,144,168,5,3,1
299,0,0,0,3,270,864,5,6,1
300,0,0,0,3,187,0,5,4,1
301,0,0,30,3,240,615,5,7,1
302,0,0,30,3,367,2162,5,5,1
303,0,0,20,3,116,540,0,4,1
304,0,0,0,3,190,0,0,3,1
305,0,0,10,2,419,3510,5,5,1
306,0,0,5,2,250,1722,4,6,1
307,0,0,0,2,109,0,4,4,1
308,0,0,8,2,259,0,4,6,1
309,0,0,10,2,277,1600,0,6,1
310,0,0,5,2,188,1674,4,6,1
311,0,0,5,2,325,2400,4,4,1
312,0,0,0,2,177,-1,4,7,1
313,0,0,9,2,146,1518,4,7,1
314,0,0,10,2,108,672,4,3,1
315,0,0,5,2,409,1722,4,6,1
316,0,0,0,2,160,-1,4,5,1
317,0,0,0,2,170,2444,4,5,1
318,0,0,15,2,450,2320,4,6,1
319,0,0,14,2,367,2000,4,-1,1
320,0,0,5,2,365,1066,4,5,1
321,0,0,-1,2,170,-1,4,5,1
322,0,0,0,2,165,0,0,1,1
323,0,0,10,2,340,1980,4,6,1
324,0,0,0,2,288,1064,4,5,1
325,0,0,25,2,109,966,5,3,1
326,0,0,2,2,160,1288,4,3,1
327,0,0,5,2,230,1200,4,6,1
328,0,0,0,2,600,-1,0,2,1
329,0,0,15,2,1226,4292,4,5,1
330,0,0,0,2,1200,0,4,3,1
331,0,0,5,2,700,0,0,1,1
332,0,0,5,2,325,2576,4,7,1
333,0,0,0,2,375,0,4,3,1
334,0,0,10,2,443,-1,0,3,1
335,0,0,0,2,351,-1,1,3,1
336,0,0,5,2,800,0,3,5,1
337,0,0,10,2,665,2460,4,7,1
338,0,0,0,2,800,0,0,5,1
339,0,0,0,2,800,0,0,3,1
340,0,0,16,2,622,3180,4,6,1
341,0,0,5,2,360,1936,4,5,1
342,0,0,0,2,366,0,1,5,1
343,0,0,0,2,490,0,4,4,1
344,0,0,0,2,376,0,3,3,1
345,0,0,2,2,180,0,4,4,1
346,0,0,0,2,300,0,3,3,1
347,0,0,0,2,300,0,3,4,1
348,0,0,0,2,740,-1,0,1,2
349,0,0,0,2,475,-1,0,3,2
350,0,0,0,2,1600,-1,0,1,1
351,0,0,0,2,320,-1,0,1,2
352,0,0,0,2,480,0,0,2,2
353,0,0,0,0,154,0,0,5,1
354,0,0,0,2,308,1640,0,7,1
355,0,0,0,2,54,0,4,3,1
356,0,0,0,2,369,2112,4,5,1
357,0,0,0,2,4720,0,1,-1,1
358,0,0,0,2,350,0,4,4,1
359,0,0,0,2,208,-1,0,3,1
360,0,0,0,1,89,0,3,6,1
361,0,0,0,1,375,0,0,4,1
362,0,0,0,1,45,0,0,3,1
363,0,0,0,1,1067,0,3,4,1
364,0,0,10,1,520,0,4,6,1
365,0,0,5,1,320,0,0,5,1
366,0,0,5,1,302,0,0,3,1
367,0,0,10,1,932,0,4,4,1
368,0,0,10,1,230,0,0,5,1
369,0,0,10,1,245,0,0,3,1
370,0,0,9,1,414,0,0,5,1
371,0,0,5,1,296,0,0,3,1
372,0,0,10,1,750,1140,4,7,1
373,0,0,5,1,602,0,0,4,1
374,0,0,0,1,369,0,0,3,1
375,0,0,0,1,573,0,3,7,1
376,0,0,9,1,510,0,3,3,1
377,0,0,0,1,341,616,3,5,1
378,0,0,0,1,116,0,0,3,1
379,0,0,0,1,765,0,0,2,1
380,0,0,0,1,300,0,0,3,1
381,0,0,0,1,275,0,0,2,1
382,0,0,0,0,501,-1,0,1,2
383,0,0,10,1,742,2800,4,7,1
384,0,0,7,1,330,2400,4,7,1
385,0,0,0,1,489,0,3,7,1
386,0,0,0,1,308,0,3,7,1
387,0,0,0,1,324,0,3,5,1
388,0,0,10,1,747,2760,3,6,1
389,0,0,15,1,193,2112,4,6,1
390,0,0,0,1,299,0,4,6,1
391,0,-1,0,1,140,-1,0,3,-1
392,0,0,16,1,212,1232,3,7,1
393,0,0,0,1,860,1008,3,9,1
394,0,0,0,1,880,0,4,6,1
395,0,0,0,1,1400,0,0,2,1
396,0,0,0,1,696,0,3,7,1
397,0,0,0,1,175,0,3,4,1
398,0,0,0,1,282,0,4,6,1
399,0,0,0,1,499,0,3,5,1
400,0,0,6,1,740,2800,4,8,1
401,0,0,0,1,639,0,4,5,1
402,0,0,0,1,216,0,5,5,1
403,0,0,0,1,330,0,4,4,1
404,0,0,0,1,400,0,1,2,1
405,0,0,0,1,735,1716,4,3,1
406,0,0,0,1,532,0,3,2,1
407,0,0,0,1,400,0,4,3,1
408,0,0,4,1,384,0,4,3,1
409,0,0,0,1,660,0,1,3,1
410,0,0,0,1,280,0,4,3,1
411,0,0,0,1,800,0,1,3,1
412,0,0,0,1,400,0,3,3,1
413,0,0,0,1,300,0,4,4,1
414,0,0,0,1,500,1344,3,6,1
415,0,0,0,1,420,1426,4,6,1
416,0,0,0,1,948,-1,0,1,2
417,0,0,1,1,739,-1,0,1,2
418,0,0,0,1,400,-1,0,1,2
419,0,0,10,1,368,0,4,5,1
420,0,0,0,1,1046,1720,5,4,1
421,0,0,-1,1,168,0,0,4,1
422,0,0,-1,1,851,0,0,4,1
423,0,0,0,1,307,0,0,3,1
424,0,0,-1,1,1105,-1,4,3,2
425,0,0,-1,1,251,0,0,3,1
426,0,0,-1,1,540,4466,4,4,1
427,0,0,5,1,190,780,0,1,1
428,0,0,15,1,384,2652,0,3,1
429,0,0,0,1,461,-1,3,4,1
430,0,-1,0,1,173,0,0,3,-1
431,0,0,0,1,912,0,4,4,1
432,0,0,0,1,495,0,4,5,1
433,0,0,9,1,1440,6314,4,9,1
434,0,0,0,1,484,0,6,5,1
435,0,0,0,1,731,0,6,6,1
436,0,0,0,1,920,4032,4,7,1
437,0,0,7,1,664,5616,4,6,1
438,0,0,-1,1,655,1965,4,4,1
439,0,0,0,1,720,0,5,5,1
440,0,0,0,1,440,0,6,2,1
441,0,0,-1,1,886,0,4,5,1
442,0,0,10,1,387,2175,5,4,1
443,0,0,0,1,787,-1,0,1,2
444,0,-1,0,1,3530,-1,0,-1,-1
445,0,0,0,1,536,-1,0,1,2
446,0,0,17,1,288,1728,3,5,1
447,0,0,7,1,222,1760,0,4,1
448,0,0,6,1,432,2288,4,3,1
449,0,0,4,1,238,0,4,5,1
450,0,0,19,1,265,3952,4,5,1
451,0,0,26,1,910,6580,0,3,1
452,0,0,5,1,697,0,5,3,1
453,0,0,15,0,920,3835,0,1,1
454,0,0,6,1,1005,-1,0,1,1
455,0,0,0,1,324,0,4,4,1
456,0,0,4,1,97,0,0,3,1
457,0,0,0,1,562,0,0,3,1
458,0,0,6,0,480,0,4,6,1
459,0,0,20,1,979,4884,5,7,-1
460,0,0,-1,1,770,0,4,3,1
461,0,0,5,0,490,874,4,4,1
462,0,0,12,1,583,2208,4,7,1
463,0,0,9,0,558,4050,4,6,1
464,0,0,4,0,250,1360,4,5,1
465,0,0,6,1,281,1560,5,6,1
466,0,0,6,0,220,1280,4,5,1
467,0,0,0,1,317,0,0,4,1
468,0,0,11,1,232,1935,0,5,1
469,0,0,8,0,186,986,0,3,1
470,0,0,0,3,736,0,0,1,1
471,0,0,27,1,970,7626,4,6,1
472,0,0,15,0,870,1560,0,3,1
473,0,0,2,1,730,-1,0,1,1
474,0,0,3,1,135,0,0,1,1
475,0,0,3,1,280,-1,3,2,1
476,0,-1,0,1,72,-1,0,1,1
477,0,-1,0,1,232,-1,0,1,1
478,0,0,0,1,251,-1,0,1,1
479,0,0,0,2,2638,-1,0,-1,1
480,0,0,0,1,1723,-1,0,3,1
481,0,0,0,2,1077,0,0,3,1
482,0,0,0,2,135,0,0,4,1
483,0,0,0,2,975,0,0,3,1
484,0,0,0,2,94,0,0,5,1
485,0,0,0,2,480,0,0,4,1
486,0,0,0,2,1157,-1,0,3,1
487,0,0,0,2,533,-1,0,1,2
488,0,0,0,2,512,0,0,5,1
489,0,0,34,1,757,5202,1,3,1
490,0,0,2,1,166,1380,0,-1,1
491,0,0,2,1,197,1118,1,1,1
492,0,0,0,1,67,602,0,1,1
493,0,0,0,2,810,0,1,3,1
494,0,0,0,2,358,0,0,1,1
495,0,8,0,2,181,360,4,7,1
496,0,0,0,1,400,0,3,3,1
497,0,0,0,2,170,0,0,2,1
498,0,0,0,2,430,1160,4,4,1
499,0,0,0,2,113,780,3,3,1
500,0,0,0,2,315,456,3,4,1
501,0,0,3,2,391,420,4,5,1
502,0,-1,0,2,866,0,1,0,1
503,0,-1,0,2,1037,-1,0,1,-1
504,0,-1,0,2,617,-1,0,-1,-1
505,0,-1,0,2,76,-1,0,3,0
506,0,-1,0,2,822,-1,0,3,0
507,0,0,0,1,941,0,1,3,1
508,0,0,0,2,880,0,1,5,1
509,0,0,0,1,1792,-1,1,3,1
510,0,0,0,1,769,-1,1,3,1
511,0,-1,0,2,278,-1,0,3,0
512,0,-1,0,2,708,-1,0,5,0
513,0,-1,0,2,193,0,0,5,0
514,0,-1,0,2,-1,-1,0,5,0
515,0,-1,0,2,2725,-1,0,0,0
516,0,0,0,1,100,-1,0,-1,1
517,0,0,0,1,124,-1,3,5,1
518,0,0,0,1,154,0,3,3,1
519,0,0,2,1,124,-1,4,5,1
520,0,0,0,1,239,0,4,3,1
521,0,0,5,1,363,1078,4,6,1
522,0,0,0,1,192,0,4,6,1
523,0,0,5,1,480,4096,4,5,1
524,0,0,16,1,504,2726,4,4,1
525,0,0,4,1,176,0,4,4,2
526,0,0,0,1,527,0,3,5,1
527,0,0,14,1,384,3422,4,4,1
528,0,0,3,1,342,1020,4,3,1
529,0,0,5,1,215,800,0,3,1
530,0,0,0,1,280,0,4,3,1
531,0,0,0,1,384,-1,4,3,1
532,0,0,14,1,650,2704,3,5,1
533,0,0,8,1,614,1710,4,5,1
534,0,0,4,1,500,1296,4,5,1
535,0,0,6,1,284,1059,4,-1,1
536,0,0,5,1,176,1156,4,7,1
537,0,0,2,1,362,2214,4,4,1
538,0,0,0,1,309,0,3,5,1
539,0,0,13,1,329,1230,4,5,1
540,0,0,13,-1,765,3750,4,5,1
541,0,0,9,-1,614,2196,4,5,1
542,0,0,5,1,624,816,4,4,1
543,0,0,2,1,895,0,4,7,1
544,0,0,4,-1,992,1584,4,5,1
545,0,0,0,1,313,0,4,3,1
546,0,0,0,1,460,1260,3,6,1
547,0,0,0,2,642,0,4,5,1
548,0,0,0,1,440,1156,4,5,1
549,0,0,0,1,1050,0,3,5,1
550,0,0,5,2,792,1140,4,5,1
551,0,0,0,1,666,-1,4,5,1
552,0,0,0,2,480,0,4,5,1
553,0,0,0,2,990,1444,4,5,1
554,0,0,0,2,1058,1368,4,5,1
555,0,0,0,-1,390,0,4,5,1
556,0,0,0,1,148,-1,0,3,1
557,0,0,0,1,1316,-1,0,3,1
558,0,0,0,2,957,-1,0,3,2
559,0,0,0,1,270,-1,0,3,1
560,0,-1,0,1,214,-1,0,0,1
561,0,0,4,1,555,0,2,3,1
562,0,0,0,1,232,0,2,4,1
563,0,0,5,1,1020,0,1,4,1
564,0,0,10,1,44,0,3,3,1
565,0,0,9,1,280,1260,6,4,1
566,0,0,0,1,1624,704,4,3,1
567,0,0,0,1,1020,0,4,5,1
568,0,0,2,1,870,1276,4,5,1
569,0,0,2,1,1054,2080,4,5,1
570,0,0,2,0,234,736,3,3,1
571,0,0,0,1,374,1288,4,5,1
572,0,0,5,1,324,812,4,5,1
573,0,0,0,1,420,0,3,4,1
574,0,0,4,0,814,3080,4,5,1
575,0,0,0,1,469,0,1,3,1
576,0,0,0,1,1041,0,1,4,1
577,0,0,0,1,420,0,1,5,1
578,0,0,0,1,3710,0,0,2,1
579,0,0,0,1,1092,-1,0,1,1
580,0,0,0,1,492,-1,0,2,2
581,0,0,-1,1,538,680,6,7,1
582,0,0,-1,1,557,2320,4,5,1
583,0,0,0,1,840,0,0,5,1
584,0,0,0,1,1009,0,0,3,1
585,0,0,-1,1,110,1008,0,5,1
586,0,0,-1,0,710,-1,0,3,1
587,0,0,0,1,2807,0,0,3,1
588,0,0,12,1,435,1672,4,7,1
589,0,0,0,1,816,2775,4,7,1
590,0,0,0,1,2496,-1,0,1,1
591,0,0,0,1,2240,0,0,1,1
592,0,0,0,1,5180,-1,0,0,1
593,0,0,0,1,873,0,0,4,1
594,0,0,0,1,1145,0,0,3,1
595,0,0,0,1,1224,-1,0,1,1
596,0,0,0,1,977,0,0,1,1
597,0,0,0,1,280,-1,4,3,0
598,0,0,0,1,595,-1,4,6,0
599,0,0,0,1,120,-1,0,7,1
600,0,0,0,1,1179,-1,0,1,1
601,0,0,0,1,442,0,4,3,1
602,0,0,0,1,557,0,4,4,1
603,0,0,0,1,357,0,3,5,1
604,0,0,8,1,448,1932,4,6,1
605,0,0,7,1,435,1056,6,5,1
606,0,0,0,1,171,0,0,3,2
607,0,0,0,1,427,0,4,3,1
608,0,0,0,1,464,0,4,5,1
609,0,0,0,1,360,0,4,7,1
610,0,0,0,1,475,0,3,3,1
611,0,0,0,1,310,0,3,4,1
612,0,0,2,1,391,0,4,6,1
613,0,0,0,1,443,0,4,7,1
614,0,0,9,1,626,4620,4,7,1
615,0,0,0,1,448,0,4,3,1
616,0,0,0,1,560,0,4,7,1
617,0,0,0,1,380,0,4,5,1
618,0,0,0,1,408,2968,4,6,1
619,0,0,0,1,360,2162,4,5,1
620,0,0,0,1,1053,0,4,5,1
621,0,0,0,1,880,0,3,2,1
622,0,0,2,1,639,0,4,7,1
623,0,0,2,1,492,1890,3,7,1
624,0,0,0,1,496,0,4,4,1
625,0,0,0,1,296,0,4,5,1
626,0,0,0,1,456,3024,4,5,1
627,0,0,12,1,828,7540,4,5,1
628,0,0,0,1,500,3920,4,3,1
629,0,0,13,1,408,2876,5,7,1
630,0,0,0,1,819,0,0,2,1
631,0,0,0,1,724,0,4,3,1
632,0,0,0,1,595,0,0,4,1
633,0,0,0,1,155,1368,3,5,1
634,0,0,0,1,269,-1,0,1,1
635,0,0,0,1,268,-1,0,3,1
636,0,0,0,1,230,-1,0,2,1
637,0,0,4,1,310,-1,0,1,1
638,0,0,22,1,385,-1,0,4,1
639,0,0,0,1,727,-1,0,4,1
640,0,0,35,1,420,3360,4,5,1
641,0,0,5,1,330,992,4,5,1
642,0,0,0,1,655,3248,4,6,1
643,0,0,-1,1,414,3648,4,6,1
644,0,0,-1,1,613,2576,4,6,1
645,0,0,-1,0,482,3286,4,5,1
646,0,0,-1,1,194,2112,4,6,1
647,0,0,-1,1,154,1848,4,6,-1
648,0,0,0,1,418,636,4,4,1
649,0,0,-1,1,367,-1,4,6,1
650,0,0,-1,1,349,2100,5,6,1
651,0,0,3,1,102,784,0,3,-1
652,0,0,0,0,94,-1,0,1,1
653,0,2,4,1,328,1664,5,7,1
654,0,0,5,1,189,1440,4,7,1
655,0,9,9,1,324,2346,4,7,1
656,0,0,9,1,201,2499,4,7,1
657,0,0,9,0,187,2925,5,7,1
658,0,0,9,1,290,3300,4,7,1
659,0,0,5,0,128,0,4,6,1
660,0,0,10,1,59,756,0,4,1
661,0,0,10,1,108,880,4,4,1
662,0,0,10,1,83,621,0,4,1
663,0,0,0,1,180,-1,0,1,2
664,0,0,6,1,509,-1,0,5,1
665,0,0,0,1,374,0,0,2,1
666,0,0,0,1,211,-1,0,2,2
667,0,0,0,0,333,0,0,2,1
668,0,0,23,1,494,4108,5,5,1
669,0,0,0,1,232,900,0,3,1
670,0,0,0,1,728,3196,6,5,1
671,0,-1,0,1,79,-1,0,1,-1
672,0,0,4,1,137,588,0,3,1
673,0,0,4,1,285,-1,0,1,1
