"SSN","collectionYear","collectionQuarter","analysisYear","analysisQuarter"
413,66,3,66,3
414,66,3,66,3
415,66,3,66,3
416,66,3,66,3
417,66,3,66,3
418,66,3,66,3
419,66,3,66,3
420,62,4,68,1
421,62,4,68,1
422,62,4,68,1
423,62,4,68,4
424,62,4,68,1
425,62,4,68,1
426,62,4,68,1
427,66,1,66,1
428,66,1,66,1
429,66,3,66,3
430,62,3,66,3
431,66,3,66,3
432,66,3,66,3
433,66,3,66,3
434,66,3,66,3
435,66,3,66,3
436,66,3,66,3
437,66,3,66,3
438,66,3,66,3
439,66,3,66,3
440,66,3,66,3
441,66,3,66,3
442,66,3,66,3
443,66,3,66,3
444,62,4,-1,-1
445,66,3,66,3
446,64,3,66,4
447,64,3,66,1
448,64,3,66,4
449,64,3,66,4
450,65,1,65,1
451,66,1,66,1
452,66,1,66,1
453,66,1,66,1
454,66,1,66,1
455,66,1,66,1
456,66,1,66,1
457,66,1,66,1
458,66,1,66,1
459,66,1,66,1
460,66,1,66,1
461,66,1,66,1
462,66,1,66,1
463,66,1,66,1
464,66,1,66,1
465,66,1,66,1
466,66,1,66,1
467,66,1,66,1
468,66,1,66,1
469,66,1,66,1
470,66,1,66,1
471,66,1,66,1
472,66,1,66,1
473,66,1,66,1
474,64,3,66,4
475,64,3,66,4
476,64,1,64,1
477,66,1,66,1
478,66,1,-1,-1
479,62,3,68,2
480,62,3,68,2
481,62,3,68,2
482,62,3,68,2
483,62,3,62,3
484,62,3,68,3
485,-1,-1,-1,-1
486,62,3,-1,-1
487,62,3,68,2
488,62,3,68,2
489,68,1,68,1
490,68,1,68,1
491,68,1,68,1
492,68,1,68,1
493,67,1,67,1
494,67,1,67,1
495,68,1,68,1
496,67,1,67,1
497,62,3,62,3
498,67,1,67,1
499,67,1,67,1
500,68,1,67,1
501,67,1,67,1
502,68,1,68,1
503,62,3,70,2
504,62,3,-1,-1
505,62,3,69,3
506,62,3,68,2
507,67,1,67,1
508,68,1,68,1
509,68,1,68,1
510,68,1,68,1
511,62,3,68,2
512,62,3,68,2
513,62,3,68,2
514,62,3,68,2
515,62,3,68,2
516,63,3,69,2
517,63,3,69,2
518,67,1,67,1
519,67,1,67,1
520,67,1,67,1
521,67,1,67,1
522,67,1,67,1
523,67,4,67,1
524,67,1,67,1
525,67,1,67,1
526,67,1,67,1
527,67,1,67,1
528,67,1,67,1
529,67,1,67,1
530,67,1,67,1
531,67,1,67,1
532,67,1,67,1
533,67,1,67,1
534,67,1,67,1
535,67,1,67,1
536,67,1,67,1
537,67,1,67,1
538,67,1,67,1
539,67,1,67,1
540,68,1,68,1
541,68,1,68,1
542,67,1,67,1
543,67,1,67,1
544,68,1,68,1
545,67,1,67,1
546,67,1,67,1
547,68,1,68,1
548,67,1,67,1
549,67,1,67,1
550,68,1,68,1
551,67,1,67,1
552,68,1,68,1
553,68,1,68,1
554,68,1,68,1
555,68,1,68,1
556,67,1,67,1
557,67,1,67,1
558,68,1,68,1
559,67,1,67,1
560,67,1,67,1
561,63,3,63,3
562,63,3,68,1
563,63,3,68,1
564,68,1,68,1
565,63,3,68,1
566,68,1,68,1
567,68,1,68,1
568,68,1,68,1
569,68,1,68,1
570,68,1,68,1
571,68,1,68,1
572,68,1,68,1
573,68,1,68,1
574,68,1,68,1
575,68,1,68,1
576,68,1,68,1
577,68,1,68,1
578,68,1,68,1
579,68,1,68,1
580,68,1,68,1
581,62,3,68,1
582,62,3,68,1
583,62,3,68,1
584,62,3,68,1
585,62,3,68,1
586,62,3,68,1
587,62,3,68,1
588,62,3,68,1
589,62,3,68,1
590,62,3,69,3
591,62,3,68,1
592,62,3,68,1
593,70,1,68,1
594,62,3,68,1
595,62,3,68,1
596,62,3,68,1
597,66,3,66,3
598,66,3,66,3
599,62,3,69,3
600,62,3,69,3
601,66,3,66,3
602,66,3,66,3
603,66,3,66,3
604,66,3,66,3
605,66,3,66,3
606,66,3,66,3
607,66,3,66,3
608,66,3,66,3
609,66,3,66,3
610,66,3,66,3
611,66,3,66,3
612,66,3,66,3
613,66,3,66,3
614,66,3,66,3
615,66,3,66,3
616,66,3,66,3
617,66,3,66,3
618,66,3,66,3
619,66,3,66,3
620,66,3,66,3
621,66,3,66,3
622,66,3,66,3
623,66,3,66,3
624,66,3,66,3
625,66,3,66,3
626,66,3,66,3
627,66,3,66,3
628,66,3,66,3
629,67,4,67,4
630,66,3,66,3
631,67,4,67,4
632,67,4,67,4
633,67,4,67,4
634,67,4,67,4
635,67,4,67,4
636,67,4,67,4
637,64,2,66,4
638,64,2,66,4
639,64,2,66,4
640,64,2,64,4
641,64,2,66,4
642,64,2,66,4
643,64,2,66,4
644,64,2,66,4
645,64,2,66,4
646,64,3,66,4
647,64,3,66,4
648,64,3,66,4
649,64,3,66,4
650,64,3,66,4
651,64,3,66,4
652,64,3,66,4
653,64,3,66,4
654,64,3,66,4
655,64,3,66,4
656,64,3,66,4
657,64,3,66,4
658,64,3,66,4
659,64,3,64,3
660,64,3,66,4
661,64,3,66,4
662,64,3,66,4
663,64,3,66,4
664,64,3,64,3
665,64,4,64,4
666,64,2,66,4
667,64,4,66,4
668,64,2,66,4
669,64,4,66,4
670,64,4,66,4
671,64,4,66,4
672,64,4,66,4
673,64,4,66,4
674,64,4,66,4
675,65,1,66,4
676,64,2,66,4
677,64,2,66,4
678,64,3,66,4
679,64,2,66,4
680,67,4,67,4
681,64,2,66,4
682,64,3,67,1
683,64,4,66,4
684,64,4,64,4
685,64,4,66,4
686,64,4,64,4
687,67,3,67,3
688,67,3,67,3
689,67,3,67,3
690,67,3,67,3
691,67,3,67,3
692,67,3,67,3
693,67,3,67,3
694,67,3,67,3
695,67,3,67,3
696,67,3,67,3
697,67,3,67,3
698,67,3,67,3
699,67,3,67,3
700,67,3,67,3
701,67,3,67,3
702,67,3,67,3
703,67,3,67,3
704,67,3,67,3
705,67,3,67,3
706,67,3,67,3
707,67,3,67,3
708,67,3,67,3
709,67,3,67,3
710,67,3,67,3
711,67,3,67,3
712,67,3,67,3
713,67,3,67,3
714,67,3,67,3
715,67,3,67,3
716,67,3,67,3
717,67,3,67,3
718,67,3,67,3
719,67,3,67,3
720,67,3,67,3
721,67,3,67,3
722,67,2,67,3
723,67,3,67,3
724,67,3,67,3
725,67,3,67,3
726,67,3,67,3
727,67,3,67,3
728,67,3,67,3
729,67,3,67,3
730,67,3,67,3
731,67,3,67,3
732,67,3,67,3
733,67,3,67,3
734,67,3,67,3
735,67,3,67,3
736,67,3,67,3
737,67,3,67,3
738,67,-1,67,3
739,62,3,68,2
740,62,3,68,2
741,62,3,68,2
742,62,3,68,2
743,62,3,62,2
744,62,3,62,3
745,62,3,68,2
746,62,3,68,2
747,62,3,68,2
748,62,3,68,2
749,67,2,67,2
750,67,2,67,2
751,68,2,67,2
752,67,2,67,2
753,67,2,67,2
754,67,2,67,2
755,67,2,67,2
756,67,2,67,2
757,67,3,67,3
758,67,3,67,3
759,67,2,67,2
760,67,2,67,2
761,67,2,67,2
762,67,2,67,2
763,67,3,67,3
764,67,3,67,3
765,67,3,67,3
766,67,3,67,3
767,67,3,67,3
768,67,3,67,3
769,67,3,67,3
770,67,3,67,3
771,67,3,67,3
772,67,3,67,3
773,67,3,67,3
774,67,3,67,3
775,67,3,67,3
776,67,3,67,3
777,67,3,67,3
778,67,3,67,3
779,67,3,67,3
780,67,3,67,3
781,67,3,67,3
782,67,3,67,3
783,67,3,67,3
784,67,3,67,3
785,67,3,67,3
786,67,3,67,3
787,67,3,67,3
788,67,3,67,3
789,67,3,67,3
790,67,3,67,3
791,67,3,67,3
792,67,3,67,3
793,67,3,67,3
794,67,3,67,3
795,67,3,67,3
796,67,3,67,3
797,67,3,67,3
798,67,3,67,3
799,67,3,67,3
800,67,3,67,3
801,67,3,67,3
802,67,3,67,3
803,67,3,67,3
804,67,3,67,3
805,67,3,67,3
806,67,3,67,3
807,67,3,67,3
808,67,3,67,3
809,67,3,67,3
810,67,3,67,3
811,67,3,67,3
812,67,3,67,3
813,67,3,67,3
814,67,3,67,3
815,67,3,67,3
816,67,3,67,3
817,67,3,67,3
818,67,3,67,3
819,67,3,67,3
820,67,3,67,3
821,67,3,67,3
822,67,3,67,3
823,67,3,67,3
824,67,3,67,3
825,67,3,67,3
826,67,3,67,3
827,67,3,67,3
828,67,3,67,3
829,67,3,67,3
830,67,3,67,3
831,67,3,67,3
832,67,3,67,3
833,67,2,67,2
834,67,2,67,2
835,67,2,67,2
836,67,3,67,3
837,67,3,67,3
838,67,3,67,3
839,67,3,67,3
840,67,3,67,3
841,67,3,67,3
842,67,3,67,3
843,67,3,67,3
844,67,3,67,3
845,67,3,67,3
846,67,3,67,3
847,67,3,67,3
848,67,3,67,3
849,67,3,67,3
850,67,3,67,3
851,67,3,67,3
852,67,3,67,3
853,67,3,67,3
854,67,3,67,3
855,67,3,67,3
856,67,3,67,3
857,67,3,67,3
858,67,3,67,3
859,67,3,67,3
860,67,3,67,3
861,67,3,67,3
862,67,3,67,3
863,67,3,67,2
864,67,3,67,3
865,67,3,67,3
866,67,3,67,3
867,67,3,67,3
868,67,3,67,3
869,67,3,67,3
870,67,3,67,3
871,67,3,67,3
872,67,3,67,3
873,67,3,67,3
874,67,3,67,3
875,67,3,67,3
876,67,3,67,3
877,67,3,67,3
878,67,3,67,3
879,67,3,67,3
880,67,3,67,3
881,67,3,67,3
882,67,3,67,3
883,67,3,67,3
884,67,3,67,3
885,67,3,67,3
886,67,3,67,3
887,67,3,67,3
888,67,3,67,3
889,67,3,67,3
890,67,3,67,3
891,67,3,67,3
892,67,3,67,3
893,67,3,67,3
894,67,3,67,3
895,67,3,67,3
896,67,3,67,3
897,67,3,67,3
898,67,3,67,3
899,67,3,67,3
900,67,3,67,3
901,67,3,67,3
902,67,3,67,3
903,67,3,67,3
904,67,3,67,3
905,67,3,67,3
906,67,3,67,3
907,67,3,67,3
908,67,3,67,3
909,67,3,67,3
910,67,3,67,3
911,67,3,67,3
912,67,3,67,3
913,67,3,67,3
914,67,3,67,3
915,67,3,67,3
916,67,3,67,3
917,67,3,67,3
918,67,3,67,3
919,67,3,67,3
920,67,3,67,3
921,67,3,67,3
922,67,3,67,3
923,67,2,67,2
924,67,2,67,2
925,67,2,67,2
926,67,2,67,2
927,67,2,67,2
928,67,2,67,2
929,67,2,67,2
930,67,2,67,2
931,67,2,67,2
932,67,2,67,2
933,67,2,67,2
934,67,2,67,2
935,67,2,67,2
936,67,2,67,2
937,67,2,67,2
938,67,2,67,2
939,67,2,67,2
940,67,2,67,2
941,67,2,67,2
942,67,2,67,2
943,67,2,67,2
944,67,2,67,2
945,67,2,67,2
946,67,2,67,2
947,67,2,67,2
948,67,2,67,2
949,67,2,67,2
950,67,2,67,2
951,67,2,67,2
952,67,2,67,2
953,67,2,67,2
954,67,2,67,2
955,67,2,67,2
956,67,2,67,2
957,67,2,67,2
958,67,2,67,2
959,67,2,67,2
960,67,2,67,2
961,67,2,67,2
962,67,2,67,2
963,67,2,67,2
964,67,2,67,2
965,67,2,67,2
966,67,2,67,2
967,67,2,67,2
968,67,2,67,2
969,67,2,67,2
970,67,2,67,2
971,67,2,67,2
972,67,2,67,2
973,67,2,67,2
974,67,2,67,2
975,67,2,67,2
976,67,2,67,2
977,67,2,67,2
978,67,2,67,2
979,67,2,67,2
980,67,2,67,2
981,67,2,67,2
982,67,2,67,2
983,67,2,67,2
984,67,2,67,2
985,67,2,67,2
986,67,1,67,1
987,67,1,67,1
988,67,1,67,1
989,67,1,67,1
990,67,1,67,1
991,67,1,67,1
992,67,3,67,3
993,67,3,67,3
994,67,3,67,3
995,67,3,67,3
996,67,3,67,3
997,67,3,67,3
998,67,3,67,3
999,67,3,67,3
1000,67,3,67,3
1001,67,3,67,3
1002,67,3,67,3
1003,67,3,-1,-1
1004,67,3,67,3
1005,67,3,67,3
1006,67,3,67,3
1007,67,3,67,3
1008,67,3,67,3
1009,67,3,67,3
1010,67,3,67,3
1011,67,3,67,3
1012,67,3,67,3
1013,67,3,67,3
1014,67,3,67,3
1015,67,3,67,3
1016,67,3,67,3
1017,67,3,67,3
1018,67,3,67,3
1019,67,3,67,3
1020,67,3,67,3
1021,67,3,67,3
1022,67,3,67,3
1023,67,3,67,3
1024,67,3,67,3
1025,67,3,67,3
1026,67,3,67,3
1027,67,3,67,3
1028,67,3,67,3
1029,67,3,67,3
1030,67,3,67,3
1031,67,3,67,3
1032,67,3,67,3
1033,67,3,67,3
1034,67,3,67,3
1035,67,4,67,4
1036,67,4,67,4
1037,67,4,67,4
1038,67,4,67,4
1039,67,4,67,4
1040,67,4,67,4
1041,67,4,67,4
1042,67,4,67,4
1043,67,4,67,4
1044,67,4,67,4
1045,67,4,67,4
1046,67,4,67,4
1047,67,4,67,4
1048,67,4,67,4
1049,67,4,67,4
1050,67,4,67,4
1051,67,4,67,4
1052,67,4,67,4
1053,67,4,67,4
1054,67,4,67,4
1055,67,4,67,4
1056,67,4,67,4
1057,67,4,67,4
1058,67,4,67,4
1059,67,3,67,3
1060,67,4,67,4
1061,67,3,67,3
1062,67,4,67,4
1063,68,1,68,1
1064,67,4,67,4
1065,67,4,67,4
1066,67,4,67,4
1067,67,4,67,4
1068,67,4,67,4
1069,67,4,67,4
1070,67,4,67,4
1071,67,4,67,4
1072,67,4,67,4
1073,67,4,67,4
1074,67,4,67,4
1075,67,4,67,4
1076,67,4,67,4
1077,64,4,67,4
1078,67,4,67,4
1079,67,4,67,4
1080,67,4,67,4
1081,67,4,67,4
1082,67,4,67,4
1083,67,4,67,4
1084,67,4,67,4
1085,67,4,67,4
1086,67,4,64,4
1087,67,4,67,4
1088,67,4,67,4
1089,67,4,67,4
1090,67,4,67,4
1091,67,4,67,4
1092,67,4,67,4
1093,67,4,67,4
1094,67,4,67,4
1095,67,4,67,4
1096,67,4,67,4
1097,67,4,67,4
1098,67,4,67,4
1099,67,4,67,4
1100,67,4,67,4
1101,67,4,67,4
1102,67,4,67,4
1103,67,4,67,4
1104,67,4,67,4
1105,67,4,67,4
1106,67,4,67,4
1107,67,4,67,4
1108,67,4,67,4
1109,67,4,67,4
1110,67,4,67,4
1111,67,4,67,4
1112,67,4,67,4
1113,67,4,67,4
1114,67,4,67,4
1115,67,4,67,4
1116,67,4,67,4
1117,67,4,67,4
1118,67,4,67,4
1119,67,4,67,4
1120,67,4,67,4
1121,-1,-1,-1,-1
1122,65,1,65,1
1123,65,1,65,1
1124,67,4,67,4
1125,67,4,67,4
1126,67,4,67,4
1127,67,4,67,4
1128,67,4,67,4
1129,67,4,67,4
1130,67,4,67,4
1131,67,4,67,4
1132,67,4,67,4
1133,67,4,67,4
1134,67,4,67,4
1135,67,4,67,4
1136,67,4,67,4
1137,67,4,67,4
1138,67,4,67,4
1139,67,4,67,4
1140,67,4,67,4
1141,67,4,67,4
1142,67,4,67,4
1143,67,4,67,4
1144,67,4,67,4
1145,67,4,67,4
1146,67,4,67,4
1147,67,4,67,4
1148,67,4,67,4
1149,67,4,67,4
1150,67,4,67,4
1151,67,4,67,4
1152,67,4,67,4
1153,67,4,67,4
1154,67,4,67,4
1155,67,4,67,4
1156,67,4,67,4
1157,67,4,67,4
1158,67,4,67,4
1159,67,4,67,4
1160,67,4,67,4
1161,67,4,67,4
1162,67,4,67,4
1163,67,4,67,4
1164,65,1,65,1
1165,65,1,65,1
1166,65,1,65,1
1167,65,1,65,1
1168,65,1,65,1
1169,65,1,67,1
1170,65,1,65,1
1171,65,1,65,1
1172,65,1,65,1
1173,65,1,65,1
1174,65,1,65,1
1175,65,4,70,3
1176,65,1,70,3
1177,65,1,70,3
1178,65,1,70,3
1179,65,1,70,3
1180,65,1,65,1
1181,65,1,65,1
1182,65,1,70,3
1183,65,1,70,3
1184,65,1,70,3
1185,65,1,65,1
1186,65,1,65,1
1187,67,4,67,4
1188,65,1,65,1
1189,67,4,67,4
1190,67,4,67,4
1191,67,4,67,4
1192,67,4,67,4
1193,67,4,67,4
1194,67,4,67,4
1195,67,4,67,4
1196,67,4,67,4
1197,67,4,67,4
1198,65,1,65,1
1199,65,1,65,1
1200,65,1,65,1
1201,67,4,66,4
1202,67,2,67,2
1203,67,2,67,2
1204,62,3,70,4
1205,67,2,67,2
1206,67,2,67,4
1207,67,2,67,2
1208,62,3,62,3
1209,67,2,67,2
1210,67,4,67,4
1211,67,2,67,2
1212,67,2,67,2
1213,67,2,67,2
1214,67,2,67,2
1215,67,2,67,2
1216,67,2,67,2
1217,67,2,67,2
1218,67,2,67,2
1219,67,2,67,2
1220,67,2,67,2
1221,67,2,67,2
1222,67,2,67,2
1223,67,2,67,2
1224,67,2,67,2
1225,67,2,67,2
1226,67,2,67,2
1227,67,2,67,2
1228,67,2,67,2
1229,67,2,67,2
1230,67,2,67,2
1231,67,2,67,2
1232,67,2,67,2
1233,67,2,67,2
1234,67,2,67,2
1235,67,2,67,2
1236,67,2,67,2
1237,67,2,67,2
1238,67,2,67,2
1239,67,2,67,2
1240,67,2,67,2
1241,67,2,67,2
1242,67,2,67,2
1243,62,3,67,2
1244,62,3,67,2
1245,62,3,62,3
1246,62,3,67,2
1247,62,3,68,2
1248,62,3,68,2
1249,62,3,68,2
1250,62,3,68,2
1251,62,3,68,2
1252,62,3,-1,-1
1253,67,2,67,2
1254,67,2,67,2
1255,67,2,67,2
1256,67,2,67,2
1257,67,2,67,2
1258,67,2,67,2
1259,67,2,67,2
1260,67,2,67,2
1261,66,1,66,1
1262,67,2,67,2
1263,67,2,67,2
1264,67,2,67,2
1265,67,2,67,2
1266,67,2,67,2
1267,67,2,67,2
1268,67,2,67,2
1269,67,2,67,2
1270,67,2,67,2
1271,67,2,67,2
1272,66,1,66,1
1273,66,1,66,1
1274,62,3,67,2
1275,66,1,66,1
1276,66,1,66,1
1277,66,1,66,1
1278,66,1,66,1
1279,66,1,66,1
1280,66,1,66,1
1281,66,1,66,1
1282,66,1,66,1
1283,66,1,66,1
1284,66,1,66,1
1285,66,1,66,1
1286,66,1,66,1
1287,66,1,66,1
1288,66,1,66,1
1289,66,1,66,1
1290,66,1,66,1
1291,66,1,66,1
1292,66,1,66,1
1293,66,1,66,1
1294,66,1,66,1
1295,66,1,66,1
1296,66,1,66,1
1297,66,1,66,1
1298,66,1,66,1
1299,66,1,66,1
1300,66,1,66,1
1301,66,1,66,1
1302,67,2,67,2
1303,67,2,67,2
1304,67,2,67,2
1305,67,2,67,2
1306,67,2,67,2
1307,67,2,67,2
1308,67,2,67,2
1309,67,2,67,2
1310,67,2,67,2
1311,67,2,67,2
1312,67,2,67,2
1313,67,2,67,2
1314,67,2,67,2
1315,67,2,67,2
1316,67,2,67,2
1317,67,2,67,2
1318,67,2,67,2
1319,67,2,67,2
1320,67,2,67,2
1321,67,2,67,2
1322,67,2,67,2
1323,67,2,67,2
1324,67,2,67,2
1325,67,2,67,2
1326,67,2,67,2
1327,67,2,67,2
1328,67,2,67,2
1329,67,2,67,2
1330,67,2,67,2
1331,67,2,67,2
1332,67,2,67,2
1333,67,2,67,2
1334,67,2,67,2
1335,67,2,67,2
1336,67,2,67,2
1337,67,2,67,2
1338,67,2,67,2
1339,67,2,67,2
1340,67,2,67,2
1341,67,2,67,2
1342,67,2,67,2
1343,67,2,67,2
1344,67,2,67,2
1345,67,2,67,2
1346,67,2,67,2
1347,67,2,67,2
1348,67,2,67,2
1349,67,2,67,2
1350,67,2,67,2
1351,67,2,67,2
1352,67,2,67,2
1353,67,1,67,1
