"SSN","figTot","figHead","figPPat","figPatl","figTzac","figMicc","figTlam","figXola","figMete","figTolt","figAzte","figPupp","spindleWhorl","sealStamp","earSpool","whistle","flute","ceramicDisk","candTot","candCoat","candAtoy","candEXol","candLXol","candMete","candComm"
24,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16,1,-1,-1,1,-1,-1,1,-1,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0
27,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
28,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
35,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0
38,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
42,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,11,3,-1,-1,1,1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,12,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5,0,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,2,-1,-1,1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,12,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,7,2,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,7,5,-1,-1,-1,2,-1,3,0,0,0,0,0,0,0,0,0,2,2,-1,-1,-1,-1,1,1
64,9,5,-1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
65,7,5,-1,-1,3,1,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5,5,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,21,0,0,0,3,6,2,5,0,0,0,3,0,0,0,0,1,1,1,-1,-1,-1,-1,0,0
69,9,2,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
70,14,5,-1,-1,1,2,-1,2,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,5,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,29,3,-1,-1,-1,3,-1,-1,-1,-1,-1,4,0,0,0,0,0,1,4,-1,-1,-1,-1,-1,2
87,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
88,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
90,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,11,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,1
92,23,7,-1,-1,-1,5,-1,1,1,-1,-1,1,0,0,0,0,0,3,0,0,0,0,0,0,0
93,37,6,1,-1,3,2,1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
94,21,2,-1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
95,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
97,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
98,26,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,0
99,15,2,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6,3,-1,-1,-1,2,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
102,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,0,0,0,0,0,0,0
103,10,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0
104,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,16,4,-1,-1,-1,2,1,-1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
109,3,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
110,24,-1,-1,-1,-1,1,-1,-1,-1,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
111,12,-1,-1,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,9,-1,-1,-1,-1,2,-1,-1,-1,0,0,2,1,0,1,0,0,0,4,-1,-1,-1,-1,2,2
113,17,-1,-1,-1,-1,2,-1,-1,-1,0,0,0,1,0,0,0,0,0,2,-1,-1,-1,-1,1,1
114,27,-1,-1,-1,-1,1,1,-1,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
115,17,-1,-1,-1,-1,1,1,-1,-1,0,0,1,0,0,0,0,0,1,2,-1,-1,-1,-1,1,1
116,7,-1,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
117,5,-1,-1,-1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,4,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
122,12,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
123,5,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
125,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,10,-1,-1,-1,-1,3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,8,-1,-1,-1,-1,1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,6,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
130,5,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
133,9,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
134,3,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
136,4,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
140,7,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,1,0,0,0,0,-1,1
142,10,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
143,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,8,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,5,-1,-1,2,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,8,-1,0,1,1,3,2,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
149,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,10,2,-1,-1,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,5,3,-1,1,-1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,8,2,-1,-1,-1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
161,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
166,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,-1,-1,-1,-1,-1,2
167,5,-1,-1,-1,1,0,2,-1,-1,-1,-1,0,0,0,0,0,0,0,2,-1,-1,1,-1,-1,1
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,21,0,0,2,4,7,5,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,2,1
171,11,0,0,1,5,1,2,0,2,0,0,0,0,0,0,0,0,0,8,0,0,1,4,3,3
172,3,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2
175,2,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,1,0,0,1,1,0,0,0,0,1,1
176,5,1,0,1,1,0,1,1,0,0,0,-1,0,0,0,0,0,0,4,0,0,2,1,1,4
177,5,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,6,0,0,1,0,5,5
178,8,1,0,2,1,1,3,1,-1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
179,8,1,-1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
180,8,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
181,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,3
182,15,2,0,0,3,4,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
183,9,1,0,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,8,0,0,3,1,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
185,8,0,0,0,1,2,3,1,1,0,0,1,0,0,1,0,0,0,1,-1,-1,0,0,0,0
186,11,0,0,0,6,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0
188,10,3,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
190,6,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0
192,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,6,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,5,-1,-1,-1,-1,-1,0
194,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
195,4,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
196,5,1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
197,6,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0
198,10,1,0,0,0,4,1,3,0,1,1,0,0,0,1,0,0,1,3,-1,-1,-1,-1,-1,0
199,8,0,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
200,5,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
201,8,0,0,0,0,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,16,1,1,0,2,6,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
203,9,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
204,6,2,0,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2
205,6,1,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,2,-1,-1,-1,-1,-1,1
206,5,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,6,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,3,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
209,19,2,0,0,2,10,3,3,1,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
210,11,1,0,0,0,7,1,3,0,0,0,2,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,1
211,12,0,0,0,2,4,2,2,2,0,0,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0
212,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2
213,10,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,2,1,-1,-1,-1,-1,0,0
214,8,1,1,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,5,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,-1,-1,-1,1
216,15,2,-1,-1,4,3,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
217,4,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,34,0,0,5,-1,13,4,9,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
219,79,6,-1,1,5,26,7,32,5,0,0,7,0,0,0,0,0,9,14,5,-1,1,1,-1,7
220,28,6,0,2,1,4,2,7,2,0,0,2,0,0,0,0,0,2,1,0,0,-1,-1,-1,1
221,15,1,0,0,1,7,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,25,2,0,0,0,14,3,7,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,-1,1
223,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
224,19,2,0,0,0,3,4,8,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
225,19,2,0,2,2,5,4,4,0,0,0,2,0,0,0,0,0,3,2,-1,-1,-1,-1,-1,1
226,13,3,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0
227,41,4,0,1,2,13,4,14,4,0,1,2,0,0,0,0,0,1,5,0,0,0,3,-1,2
228,29,5,0,0,0,7,5,11,5,0,1,4,0,0,0,0,0,0,4,-1,-1,-1,-1,-1,2
229,20,3,0,0,1,8,3,6,1,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
230,9,1,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
231,10,2,0,0,1,4,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,6,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,5,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
234,19,3,1,0,3,5,1,5,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
235,14,3,0,0,1,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,24,5,0,0,6,10,2,0,3,0,0,0,0,0,0,0,0,2,5,-1,-1,-1,-1,-1,2
237,27,9,0,0,2,10,5,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
238,7,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1
