"SSN","neighborhoodChar","constructQual","boundInfoQual","insubstantialCount","arch1PMic","arch1McTl","arch1XlMe","arch1Oxto","arch2PMic","arch2McTl","arch2XlMe","arch2Oxto","func1PMic","func1McTl","func1XlMe","func1Oxto","func2PMic","func2McTl","func2XlMe","func2Oxto"
23,7,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
24,7,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
25,7,1,0,0,3,19,19,20,77,-1,-1,77,1,41,41,41,77,-1,-1,77
26,7,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
27,7,2,-1,-1,2,2,2,20,-1,-1,-1,77,3,3,3,41,-1,-1,-1,77
28,7,-1,-1,-1,19,19,20,20,77,77,77,77,39,39,41,41,-1,-1,77,77
29,7,-1,-1,-1,19,20,20,20,-1,77,77,77,39,41,41,41,-1,77,77,77
30,7,-1,-1,-1,19,19,20,20,-1,-1,77,77,39,39,41,41,-1,-1,77,77
31,7,-1,-1,-1,19,19,20,20,-1,-1,77,77,39,39,41,41,-1,-1,77,77
32,7,-1,-1,-1,-1,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,7,-1,-1,-1,-1,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,7,-1,-1,-1,19,20,20,20,-1,77,77,77,39,41,41,41,-1,77,77,77
35,7,1,0,2,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
36,7,-1,-1,-1,19,20,20,20,-1,77,77,77,39,41,41,41,-1,77,77,77
37,7,-1,-1,-1,19,19,19,20,-1,-1,-1,77,39,39,39,41,-1,-1,-1,77
38,1,1,2,0,3,20,20,3,77,77,77,77,1,41,41,1,77,77,77,77
39,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
40,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
41,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
42,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
43,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
44,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
45,1,1,2,0,3,20,20,20,77,-1,77,77,1,1,41,41,77,-1,77,77
46,1,1,0,0,2,20,20,20,7,77,77,77,3,41,41,41,-1,77,77,77
47,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
48,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
49,1,1,2,7,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
50,1,1,2,4,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
51,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
52,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
53,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
54,1,1,2,3,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
55,1,1,2,4,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
56,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
57,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
58,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
59,1,1,2,3,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
60,1,-1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
61,1,2,0,0,7,5,5,20,77,77,77,77,7,7,41,41,77,77,77,77
62,1,2,0,0,7,7,7,20,77,77,77,77,3,2,41,41,77,77,77,77
63,1,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
64,1,1,2,5,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
65,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
66,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
67,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
68,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
69,1,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
70,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
71,1,1,2,3,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
72,1,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
73,1,1,2,3,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
74,1,1,2,5,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
75,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
76,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
77,1,1,2,2,3,20,20,20,77,-1,-1,77,1,41,41,41,77,-1,-1,77
78,1,1,2,3,3,20,20,20,77,-1,77,77,1,-1,41,41,77,-1,77,77
79,1,1,2,5,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
80,1,1,2,6,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
81,1,1,2,5,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
82,1,1,2,6,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
83,1,1,2,3,3,20,20,20,77,-1,-1,77,1,41,41,41,77,-1,-1,77
84,1,1,2,0,3,20,20,20,77,-1,-1,77,1,41,41,41,77,-1,-1,77
85,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
86,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,2,77,77,77,77
87,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
88,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
89,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
90,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
91,1,2,0,0,2,4,4,-1,77,77,77,77,3,2,2,41,77,77,77,77
92,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
93,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
94,1,1,2,1,3,3,3,20,77,2,77,77,1,1,1,41,77,77,77,77
95,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
96,1,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
97,1,1,2,2,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
98,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
99,1,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
100,1,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
101,1,1,0,0,7,7,7,20,77,77,77,77,43,43,43,41,77,77,77,77
102,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
103,1,-1,-1,-1,3,3,3,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,1,1,2,3,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
109,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
110,1,1,2,2,19,3,3,3,3,77,77,-1,-1,1,1,1,1,77,77,-1
111,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,3,77,77,77,77
112,1,1,2,2,19,3,3,20,-1,77,77,77,39,1,1,41,-1,77,77,77
113,1,2,1,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
114,1,2,1,0,2,4,4,20,77,77,77,77,3,2,2,3,77,77,77,77
115,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
116,1,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
117,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
118,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
119,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
120,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,7,77,77,77
121,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
122,1,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
123,1,1,0,0,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
124,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,40,17,77,77,77
125,1,1,-1,-1,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
126,1,-1,-1,-1,19,20,20,20,77,77,77,77,39,41,41,41,77,77,77,77
127,1,-1,-1,-1,19,20,20,20,-1,77,77,77,39,41,41,41,-1,77,77,77
128,1,-1,2,1,19,20,20,20,77,-1,77,77,39,41,41,41,77,-1,77,77
129,1,-1,0,0,3,20,20,20,77,77,77,77,39,41,41,41,77,77,77,77
130,1,1,0,0,3,3,20,20,77,77,77,-1,1,1,41,41,77,77,77,-1
131,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
132,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
133,1,1,0,0,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
134,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
135,1,1,0,0,3,20,3,20,-1,77,77,77,39,41,1,41,-1,77,77,77
136,1,1,0,0,3,19,20,20,77,77,77,77,1,39,41,41,77,77,77,77
137,1,-1,-1,-1,19,19,20,20,77,77,77,77,39,39,41,41,77,77,77,77
138,1,1,-1,-1,20,20,20,20,77,77,77,77,41,1,41,41,77,77,77,77
139,1,-1,-1,-1,19,19,19,20,-1,-1,-1,77,41,41,41,41,-1,-1,-1,77
140,1,1,0,0,3,3,3,20,77,77,77,-1,1,1,1,41,77,77,77,-1
141,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
142,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
143,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
144,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
145,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
146,1,1,2,4,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
147,1,1,2,2,3,3,20,20,77,-1,77,77,1,1,41,41,77,-1,77,77
148,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
149,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
150,1,1,2,3,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
151,1,1,2,4,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
152,1,1,2,5,3,20,20,20,77,-1,77,77,1,41,41,41,77,77,77,77
153,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
154,1,1,2,3,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
155,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
156,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
157,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
158,1,1,2,2,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
159,1,1,2,3,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
160,1,1,2,4,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
161,1,1,2,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
162,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77
163,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,-1,-1,-1,-1
164,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,-1,-1,-1,-1
165,1,2,0,0,7,5,5,20,77,77,77,77,7,7,7,41,77,77,77,77
166,1,2,0,0,7,5,5,20,77,77,77,77,7,7,7,41,77,77,77,77
167,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
168,1,2,0,0,7,8,8,20,-1,-1,-1,-1,43,43,43,41,-1,-1,-1,-1
169,1,1,-1,-1,12,12,12,20,77,77,77,77,28,25,28,41,77,77,77,77
170,1,1,2,3,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
171,1,2,0,0,7,8,8,8,77,77,77,77,43,43,43,43,77,77,77,77
172,1,2,0,0,7,8,8,20,-1,-1,-1,-1,43,43,43,41,-1,-1,-1,-1
173,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
174,1,2,0,0,7,8,8,20,77,77,77,-1,43,43,43,41,77,77,77,77
175,1,2,0,0,7,5,5,5,77,77,77,77,7,7,7,7,77,77,77,77
176,1,2,-1,-1,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
177,1,1,2,3,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
178,1,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
179,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
180,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
181,1,1,2,4,3,3,20,20,77,-1,77,77,1,1,41,41,77,-1,77,77
182,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
183,1,1,2,0,3,3,20,20,77,77,-1,77,1,1,41,41,77,77,-1,77
184,1,2,2,0,3,3,20,3,77,77,77,77,1,1,41,1,77,77,77,77
185,1,2,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
186,1,2,2,0,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
187,1,1,2,2,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
188,1,1,2,4,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
189,1,1,2,2,3,20,20,20,77,-1,77,77,1,41,41,41,77,-1,77,77
190,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,40,77,77,77,77
191,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
192,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
193,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
194,1,-1,-1,-1,19,20,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
196,1,2,0,0,7,5,5,20,-1,-1,-1,-1,7,7,7,41,-1,-1,-1,-1
197,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
198,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
199,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
200,1,-1,0,0,7,5,5,-1,-1,-1,-1,-1,43,7,7,-1,-1,-1,-1,-1
201,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
202,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
203,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
204,1,2,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
205,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
206,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
207,1,1,2,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
208,1,2,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
209,1,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
210,1,1,2,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
211,1,1,2,3,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
212,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
213,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
214,1,-1,-1,-1,19,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
215,1,-1,-1,-1,19,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
217,1,-1,0,0,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218,1,2,-1,-1,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
219,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,3,77,77,77,77
220,1,2,0,0,2,4,4,2,77,77,77,-1,3,2,2,3,77,77,77,-1
221,1,2,0,0,2,4,4,2,77,77,77,-1,3,2,2,-1,77,77,77,77
222,1,1,2,2,3,3,3,3,77,77,77,77,1,1,1,1,77,77,77,77
223,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,2,77,77,77,77
224,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
225,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,2,77,77,77,77
226,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
227,1,2,0,0,2,4,4,3,77,77,77,77,3,2,2,3,77,77,77,77
228,1,2,-1,-1,2,4,4,3,77,77,77,-1,3,2,2,2,77,77,77,77
229,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
230,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
231,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
232,1,1,2,1,3,3,3,3,77,77,77,77,1,1,1,1,77,77,77,77
233,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
234,1,2,-1,-1,2,4,4,2,77,77,77,-1,3,2,2,3,77,77,77,-1
235,1,1,2,1,3,3,3,3,77,77,77,77,1,1,1,1,77,77,77,77
236,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,3,77,77,77,77
237,1,1,2,2,3,3,3,3,77,77,77,77,1,1,1,41,77,77,77,77
238,1,2,0,0,2,4,4,3,-1,-1,-1,-1,3,2,2,2,-1,-1,-1,-1
239,1,-1,-1,-1,19,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
241,1,2,1,0,2,4,4,2,-1,-1,-1,-1,3,2,2,2,-1,-1,-1,-1
242,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
243,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
245,1,1,2,3,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
246,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
247,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
248,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
249,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
250,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
251,1,2,1,0,3,4,4,20,-1,-1,-1,77,1,3,3,41,-1,-1,-1,77
252,1,-1,-1,-1,19,19,19,20,77,77,77,77,-1,-1,-1,-1,-1,-1,-1,-1
253,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
254,1,1,0,0,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
255,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
256,1,2,1,0,2,4,4,20,-1,-1,-1,77,3,2,2,41,-1,-1,-1,77
257,1,2,1,0,2,4,4,20,-1,-1,-1,77,3,2,2,41,-1,-1,-1,77
258,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
259,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
260,1,2,0,0,2,4,4,2,77,77,77,-1,3,2,2,2,77,77,77,77
261,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
262,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
263,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
264,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,2,77,77,77,77
265,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
266,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
267,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
268,1,2,1,0,2,4,4,20,-1,-1,-1,77,3,2,2,41,-1,-1,-1,77
269,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
270,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
271,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
272,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
273,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
274,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
275,1,1,2,1,3,3,3,19,77,77,77,-1,1,1,1,-1,77,77,77,77
276,1,1,2,3,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
277,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
278,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
279,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
280,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
281,1,2,0,0,2,4,4,2,77,77,77,77,3,2,2,2,77,77,77,77
282,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
283,1,1,2,1,3,3,20,20,77,77,3,77,1,1,41,41,77,77,1,77
284,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
285,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
286,1,1,-1,-1,19,19,19,20,77,77,77,77,-1,-1,-1,-1,-1,-1,-1,-1
287,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
288,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
289,1,1,2,2,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
290,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
291,1,2,2,1,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
292,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
293,1,1,2,4,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
294,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
295,1,1,0,0,3,20,20,20,77,3,3,77,1,41,41,41,77,1,1,77
296,1,1,0,0,3,20,20,20,77,77,3,77,1,41,41,41,77,77,1,77
297,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
298,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
299,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
300,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
301,1,2,0,0,7,5,5,20,-1,-1,-1,-1,7,7,7,41,-1,-1,-1,-1
302,1,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
303,1,2,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
304,1,1,2,1,3,3,3,20,77,77,77,77,1,1,1,41,77,77,77,77
305,1,2,0,0,-1,4,4,20,-1,77,77,77,-1,3,3,41,-1,77,77,77
306,1,2,0,0,2,4,4,20,-1,77,77,19,3,3,3,41,-1,77,77,3
307,1,-1,0,0,2,3,20,20,20,20,3,77,3,1,41,41,41,41,1,77
308,1,2,2,0,-1,3,3,20,-1,-1,-1,77,-1,1,1,41,-1,-1,-1,77
309,1,2,0,0,-1,4,4,20,-1,-1,-1,77,-1,3,3,41,-1,-1,-1,77
