"SSN","obsidianTot","obsidianBlades","obsidianWaste","obsidianScrapers","obsidianPoints","obsidianCores","obsidianKnives","obsidianEccentrics","obsidianMagueyS","obsidianUtFlake","obsidianNodules","basaltTot","basaltTools","chert","quartz"
45,151,62,21,38,2,1,4,0,0,0,0,-1,2,1,0
46,32,15,1,10,2,0,0,0,0,0,1,2,2,1,0
47,7,2,0,2,0,0,2,0,0,0,0,0,0,0,0
48,127,41,58,22,5,1,0,0,0,0,0,3,0,0,0
49,180,23,117,28,12,0,0,0,0,0,0,1,0,0,0
50,100,15,0,23,3,0,0,0,0,0,0,0,0,0,0
51,72,10,45,16,1,0,0,0,0,0,0,0,0,0,0
52,148,9,109,28,2,0,0,0,0,0,0,0,0,0,0
53,188,28,128,27,3,1,0,0,0,0,0,1,0,0,0
54,122,11,84,23,4,0,0,0,0,0,0,0,0,0,0
55,258,16,185,49,5,2,1,0,0,0,0,5,2,0,0
56,57,10,33,12,1,1,0,0,0,0,0,0,0,0,0
57,106,12,67,24,2,1,0,0,0,0,0,1,0,0,0
58,80,19,35,22,4,0,0,0,0,0,0,3,1,0,0
59,68,25,18,20,5,0,0,0,0,0,0,3,1,0,0
60,51,25,15,11,0,0,0,0,0,0,0,0,0,0,0
61,9,5,1,0,3,0,0,0,0,0,0,1,1,1,0
62,15,13,0,1,1,0,0,0,0,0,0,1,1,0,0
63,13,3,1,4,2,1,2,0,0,0,0,1,0,0,0
64,86,13,32,21,9,1,0,0,0,0,0,1,0,0,0
65,6,3,0,1,0,0,2,0,0,0,0,1,1,0,0
66,18,11,0,1,6,0,0,0,0,0,0,4,2,0,0
67,13,7,2,2,2,0,3,0,0,0,0,0,0,0,0
68,22,4,7,4,6,1,0,0,0,0,0,3,2,0,0
69,9,5,1,0,2,0,0,0,0,0,0,-1,-1,0,0
70,10,1,1,2,5,0,1,0,0,0,0,1,1,0,0
71,26,3,13,10,0,0,0,0,0,0,0,0,0,0,0
72,75,16,37,13,6,2,0,0,0,0,0,3,2,0,0
73,52,7,37,4,4,0,0,0,0,0,0,2,0,0,0
74,127,10,78,23,16,0,0,0,0,0,0,1,0,0,0
75,53,11,23,8,11,0,0,0,0,0,0,-1,-1,0,0
76,95,8,63,16,8,0,0,0,0,0,0,0,0,0,0
77,126,24,68,26,8,0,0,0,0,0,0,0,0,0,0
78,86,15,48,20,3,0,0,0,0,0,0,1,0,0,0
79,63,3,38,18,4,0,0,0,0,0,0,0,0,0,1
80,42,3,22,12,4,1,0,0,0,0,0,0,0,0,0
81,30,7,13,9,1,0,0,0,0,0,0,1,1,0,0
82,59,11,30,13,5,0,0,0,0,0,0,0,0,0,0
83,34,13,10,7,1,1,0,0,0,0,0,0,0,0,0
84,258,74,164,12,8,0,0,0,0,0,0,0,0,0,0
85,94,14,63,14,3,0,0,0,0,0,0,1,0,-1,1
86,37,18,0,2,7,1,1,0,0,0,1,2,1,0,0
87,71,42,11,4,11,3,0,0,0,0,1,1,0,0,0
88,38,9,5,10,6,3,3,0,0,0,2,-1,-1,0,0
89,37,3,11,1,3,1,0,0,0,0,1,0,0,0,0
90,9,4,1,2,2,0,0,0,0,1,0,0,0,0,0
91,37,17,3,6,3,1,1,0,0,0,0,0,0,0,0
92,33,17,4,3,4,3,0,0,0,0,0,1,0,0,0
93,41,1,6,4,7,2,2,0,0,0,0,0,0,0,0
94,42,22,2,1,3,0,0,0,0,0,0,5,1,0,0
95,2,2,0,0,2,0,1,0,0,0,0,1,1,0,0
96,4,1,0,0,3,1,0,0,0,0,0,1,0,0,0
97,4,0,0,1,4,2,1,0,0,0,0,1,0,1,0
98,9,15,0,0,9,5,0,0,0,0,0,0,0,0,0
99,5,6,0,1,3,0,1,0,0,0,0,0,0,0,0
100,6,5,0,0,4,1,1,0,0,0,0,-1,-1,0,0
101,152,0,55,0,0,0,0,0,0,0,0,0,0,0,0
102,144,31,74,22,15,0,1,0,0,0,0,2,1,0,0
103,24,3,5,0,3,1,1,0,0,0,0,4,1,0,0
104,82,32,8,20,5,0,1,0,0,0,0,0,0,0,0
105,19,13,2,1,5,0,1,0,0,0,0,-1,-1,0,1
106,11,8,5,0,1,1,0,0,0,0,0,0,0,0,0
107,55,28,9,6,1,0,1,0,0,0,0,2,1,0,1
108,100,46,26,7,5,4,0,0,0,0,1,-1,-1,0,0
109,16,11,0,0,1,4,0,0,0,0,0,2,0,0,0
110,40,13,0,5,13,0,1,0,0,0,0,3,0,0,0
111,10,4,0,3,1,1,1,0,0,0,0,1,1,0,0
112,10,3,0,6,1,0,0,0,0,0,0,0,0,0,0
113,12,8,0,0,1,2,0,0,0,0,0,2,0,0,0
114,20,3,0,5,5,2,4,0,0,0,0,1,0,0,0
115,24,7,0,2,6,1,5,0,0,0,0,2,1,0,0
116,11,5,0,4,0,0,1,0,0,0,1,1,0,0,0
117,37,13,12,9,3,0,0,0,0,0,0,1,0,0,0
118,57,14,23,16,4,0,0,0,0,0,0,2,1,0,0
119,81,31,22,7,3,1,0,0,0,0,0,0,0,0,0
120,2,0,0,0,2,0,0,0,0,0,0,-1,-1,0,0
121,2,0,0,0,2,0,0,0,0,0,0,-1,-1,0,0
122,4,0,0,0,3,1,0,0,0,0,0,1,0,0,0
123,3,1,-1,0,0,1,1,0,0,0,0,1,1,0,0
124,1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0
125,9,3,0,2,2,0,2,0,0,0,0,0,0,0,0
126,7,5,0,1,0,0,0,0,0,0,0,1,0,0,0
127,4,3,0,1,0,0,0,0,0,0,0,2,0,0,0
128,8,0,0,3,4,1,0,0,0,0,0,1,0,0,0
129,-1,-1,-1,-1,0,1,0,0,0,0,2,0,0,0,0
130,8,2,0,1,5,0,0,0,0,0,0,2,1,0,0
131,13,4,1,3,4,0,0,0,0,0,0,1,0,0,0
132,15,4,0,2,5,1,0,0,0,0,0,2,0,0,0
133,5,0,0,1,4,0,0,0,0,0,0,1,0,0,0
134,5,3,0,0,1,0,1,0,0,0,0,2,0,0,0
135,17,10,2,4,1,0,0,0,0,0,0,0,0,0,0
136,5,0,0,0,3,1,1,0,0,0,0,0,0,3,0
137,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0
139,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0
140,14,8,0,3,3,0,0,0,0,0,0,0,0,0,0
141,25,5,5,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0
145,12,4,0,2,2,0,2,1,0,0,0,2,2,1,0
146,29,11,3,6,4,1,5,0,0,0,0,3,2,0,0
147,10,3,2,5,3,0,0,0,0,0,0,4,3,0,0
148,16,5,1,6,4,0,1,0,0,0,0,-1,-1,0,0
149,25,25,2,8,4,25,2,0,0,0,0,3,1,5,0
150,15,12,1,2,1,0,0,0,0,0,0,1,0,0,0
151,32,6,19,4,3,0,0,0,0,0,0,4,2,0,0
152,66,13,33,14,4,1,0,0,0,0,1,2,1,0,0
153,124,41,57,22,4,0,0,0,0,0,0,0,0,-1,0
154,136,34,66,33,3,0,0,0,0,0,0,10,2,-1,0
155,63,2,45,10,5,0,1,0,0,0,0,4,0,0,0
156,27,7,13,5,2,0,0,0,0,0,0,1,1,0,0
157,77,17,35,18,6,1,0,0,0,0,0,4,2,0,0
158,41,17,17,5,1,1,0,0,0,0,0,3,1,0,0
159,209,54,96,37,22,0,0,0,0,0,0,14,5,0,0
160,264,94,93,63,8,5,1,1,0,0,0,16,2,0,0
161,87,20,41,21,2,3,0,0,0,0,0,3,2,0,0
162,54,13,16,23,1,1,0,0,0,0,0,7,4,0,0
163,74,33,21,17,2,1,0,0,0,0,0,1,0,-1,0
164,7,0,4,2,1,0,0,0,0,0,0,0,0,0,0
165,10,3,1,3,0,2,2,0,0,0,0,1,0,0,0
166,9,4,0,2,0,1,1,0,0,0,0,0,0,0,0
167,4,1,0,1,1,1,0,0,0,0,0,1,0,0,0
168,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
169,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0
170,18,5,1,4,3,0,0,0,0,0,0,0,0,0,0
171,20,10,0,4,2,1,1,0,0,0,0,0,0,0,0
172,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
173,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0
175,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0
176,11,6,0,2,0,1,1,0,0,0,0,0,0,0,0
177,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
178,11,6,1,3,1,1,0,0,0,0,0,0,0,0,0
179,16,13,0,1,2,0,0,0,0,0,0,0,-1,0,0
180,14,8,0,3,2,1,0,0,0,0,0,0,0,0,0
181,22,6,1,5,4,1,3,0,0,0,0,0,0,0,0
182,30,14,1,9,3,0,2,0,0,0,0,2,1,0,0
183,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
184,14,6,0,3,4,0,1,0,0,0,0,0,0,0,0
185,10,3,0,2,4,1,0,0,0,0,0,-1,-1,0,0
186,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0
187,18,4,3,7,1,2,4,0,0,0,0,1,1,0,0
188,14,1,1,7,3,0,3,0,0,0,0,4,3,0,0
189,17,6,2,4,4,0,3,0,0,0,0,3,2,0,0
190,23,3,1,8,3,3,5,0,0,0,0,1,1,0,0
191,7,1,0,4,1,1,0,0,0,0,0,0,0,0,0
192,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0
193,88,63,3,16,1,2,3,0,0,3,0,1,1,0,0
194,8,4,0,0,1,0,1,0,0,2,0,2,2,0,0
195,15,3,1,6,2,0,2,0,0,1,0,0,0,0,0
196,18,3,0,6,5,2,1,0,0,0,0,0,0,0,0
197,22,6,2,7,4,0,2,0,0,3,0,0,0,0,0
198,21,6,2,6,4,0,3,0,0,1,0,0,0,0,0
199,9,4,0,4,1,0,0,0,0,0,0,0,0,0,0
200,9,2,1,1,0,0,4,0,0,1,0,0,0,0,0
201,11,6,0,2,3,0,0,0,0,0,0,0,0,0,0
202,11,5,2,4,1,1,0,0,0,0,0,1,1,0,0
203,32,9,2,9,4,3,5,0,0,1,1,1,1,1,0
204,9,0,2,6,0,3,0,0,0,0,0,1,1,0,0
205,13,3,3,5,4,1,0,0,0,0,0,0,0,1,0
206,15,4,0,8,2,1,0,0,0,0,0,0,0,0,0
207,13,4,2,4,4,0,1,0,0,0,0,0,0,0,0
208,15,4,1,4,3,0,1,0,0,1,0,0,0,0,0
209,9,2,0,0,4,1,1,0,0,0,0,0,0,0,0
210,12,3,0,5,2,0,2,0,0,0,0,0,0,0,0
211,36,11,1,12,5,1,7,0,0,0,0,0,0,0,0
212,11,1,0,6,1,1,2,0,0,0,0,0,0,0,0
213,13,4,0,2,3,3,1,0,0,0,0,1,1,0,0
214,20,12,1,4,2,1,0,0,0,0,1,5,0,0,0
215,25,7,0,5,4,4,2,0,0,0,0,-1,0,0,0
216,55,12,1,15,3,3,10,0,0,0,0,-1,0,0,0
217,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
218,30,7,2,10,5,4,6,0,0,0,0,0,0,0,0
219,76,12,0,18,10,12,14,0,0,0,0,1,1,1,2
220,14,1,0,4,3,1,4,0,0,0,0,0,0,1,0
221,6,0,0,3,1,0,0,0,0,2,0,0,0,0,0
222,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
223,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0
224,8,1,0,2,0,3,2,0,0,0,0,0,0,0,0
225,10,2,0,4,1,1,2,0,0,0,0,0,0,0,0
226,11,2,0,4,3,1,1,0,0,0,0,0,0,0,0
227,14,3,0,4,1,2,2,0,0,0,1,0,0,-1,0
228,8,2,1,2,1,1,2,0,0,0,0,-1,0,0,0
229,10,2,0,1,5,2,0,0,0,0,0,0,0,0,0
230,11,2,1,2,5,0,2,0,0,0,0,0,0,0,0
231,10,1,0,1,7,1,0,0,0,0,0,0,0,0,0
232,8,2,0,2,1,2,0,0,0,0,0,0,0,0,0
233,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0
234,10,2,0,5,2,0,0,0,0,0,0,1,0,1,0
235,10,2,0,4,3,0,0,1,0,0,0,-1,-1,0,0
236,14,2,0,7,1,1,3,0,0,0,0,0,0,0,0
237,26,3,0,11,8,0,3,0,0,0,0,2,2,0,0
238,4,2,0,1,1,0,0,0,0,0,0,-1,0,0,0
239,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
240,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
241,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
242,5,1,0,2,1,0,0,0,0,0,0,1,1,0,0
243,12,2,0,4,4,0,2,0,0,0,0,3,1,0,0
244,8,1,0,2,1,0,2,0,0,0,0,-1,-1,0,0
245,11,4,0,3,0,0,3,0,0,0,0,0,-1,0,0
246,8,0,0,2,3,1,2,0,0,0,0,2,0,0,0
247,23,6,0,9,2,2,2,0,0,0,0,-1,-1,0,0
248,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0
249,8,5,0,1,1,0,1,0,0,0,0,0,0,0,0
250,13,7,1,0,5,0,0,0,0,1,0,-1,0,0,0
251,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0
252,12,5,0,2,4,1,0,0,0,0,0,-1,0,0,0
253,26,10,2,6,9,1,0,0,0,0,0,0,0,0,0
254,22,6,0,4,9,2,0,0,0,0,0,1,0,0,0
255,13,6,0,5,1,0,1,0,0,0,0,1,1,0,0
256,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0
257,9,4,0,0,2,1,2,0,0,0,0,1,1,0,0
258,9,3,0,2,2,1,0,1,0,0,0,0,0,0,0
259,7,3,0,2,1,0,1,0,0,0,0,1,1,0,0
260,8,2,0,4,1,0,1,0,0,0,0,0,0,0,0
261,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
262,30,22,0,4,1,0,2,0,0,0,0,0,0,0,0
263,9,4,0,2,1,1,0,0,0,0,0,0,0,1,0
264,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
265,10,2,0,0,7,0,1,0,0,0,0,1,1,0,0
266,11,4,0,1,1,0,3,0,0,0,0,1,1,0,0
267,11,2,0,5,4,0,0,0,0,0,0,1,0,1,0
268,16,3,0,6,6,1,0,0,0,0,0,0,0,0,0
269,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
270,7,0,0,1,2,0,4,0,0,0,0,2,1,0,0
271,6,4,0,1,0,1,0,0,0,0,0,0,0,0,0
272,11,5,0,2,3,0,1,0,0,0,0,0,0,0,0
273,24,8,1,4,5,1,6,0,0,0,0,5,5,0,0
274,13,3,1,3,4,1,2,0,0,0,0,1,1,0,0
275,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0
276,11,7,0,2,2,0,0,0,0,0,0,0,0,0,0
277,13,2,2,3,2,5,1,0,0,0,0,0,0,0,0
278,7,3,1,4,0,0,0,0,0,0,0,0,0,0,0
279,12,3,0,7,1,0,0,0,0,0,0,3,2,0,0
280,28,10,0,5,4,3,3,0,0,0,0,2,2,0,0
281,38,19,2,4,7,4,4,0,0,0,0,1,1,0,0
282,9,2,0,3,2,1,0,0,0,0,0,-1,0,0,0
283,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
284,19,10,0,4,4,1,0,0,0,0,0,1,1,0,0
285,10,6,0,2,2,0,0,0,0,0,0,1,1,0,0
286,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0
287,11,2,2,5,3,0,1,0,0,0,0,1,1,0,0
288,5,2,0,1,1,0,1,0,0,0,0,1,1,0,0
289,14,4,0,2,5,2,1,0,0,0,0,2,2,0,0
290,11,1,0,2,7,1,0,0,0,0,0,0,0,0,0
291,20,4,1,4,6,4,1,0,0,0,1,1,1,0,0
292,4,2,0,1,0,0,1,0,0,0,0,-1,0,0,0
293,29,5,0,10,10,0,3,0,0,0,0,-1,0,0,0
294,3,0,-1,1,1,0,0,0,0,0,0,1,1,0,0
295,7,2,0,3,1,1,0,0,0,0,0,-1,0,0,0
296,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
297,4,1,0,3,0,0,0,0,0,0,0,1,1,0,0
298,6,0,0,1,3,0,1,0,0,0,0,1,1,0,0
299,8,2,0,3,1,1,1,0,0,0,0,1,1,0,0
300,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0
301,16,6,1,6,1,1,1,0,0,0,0,0,0,0,0
302,16,2,0,5,4,0,2,0,0,0,0,0,0,0,0
303,6,1,0,4,0,1,0,0,0,0,0,1,1,0,0
304,6,1,1,1,2,0,1,0,0,0,1,1,1,0,0
305,12,1,0,5,1,4,1,0,0,0,0,-1,0,0,0
306,68,32,17,6,10,3,0,0,0,0,0,4,4,0,0
307,25,10,5,6,4,0,0,0,0,0,0,1,0,0,0
308,107,48,7,19,5,4,4,0,0,19,0,-1,0,1,0
309,117,47,10,20,2,1,2,0,0,35,0,2,2,1,0
310,101,48,3,15,4,1,1,0,0,29,0,5,2,0,0
311,44,15,1,10,1,1,1,0,0,14,1,0,0,0,0
312,186,80,16,30,13,2,2,0,0,41,1,4,1,0,0
313,40,23,0,10,2,3,2,0,0,0,0,1,1,0,0
314,24,15,1,4,1,1,0,0,0,2,0,2,1,0,0
315,291,137,47,47,30,12,3,0,0,0,3,-1,-1,1,0
316,52,25,15,-1,2,1,0,0,0,0,0,0,0,0,0
317,50,21,1,10,10,5,0,0,0,0,0,1,1,0,0
318,58,22,23,9,2,2,0,0,0,0,0,1,0,0,0
319,50,25,12,11,1,0,0,0,0,0,0,0,0,0,0
320,42,11,9,17,3,1,1,0,0,0,0,0,0,0,0
321,16,10,3,3,0,0,0,0,0,0,0,0,0,0,0
322,29,8,9,7,0,0,0,0,0,0,0,2,0,0,0
323,141,51,24,28,6,2,3,0,0,22,5,2,0,2,0
324,66,20,16,7,5,4,2,0,0,11,0,3,2,0,0
325,27,15,4,0,0,0,0,0,0,8,0,1,1,0,0
326,79,40,23,3,4,3,2,0,0,0,0,-1,-1,1,0
327,107,61,18,9,9,3,0,0,0,0,1,1,1,0,0
328,6,1,0,2,8,5,1,0,0,0,0,0,0,0,0
329,55,15,21,19,4,1,0,0,0,0,0,3,2,0,0
330,18,3,6,7,1,1,0,0,0,0,0,0,0,0,0
331,18,1,8,5,1,0,1,1,0,0,0,0,0,0,0
332,45,14,19,9,3,0,0,0,0,0,0,0,0,1,0
333,21,7,10,4,0,0,0,0,0,0,0,1,0,0,0
334,7,1,3,2,1,0,0,0,0,0,0,0,0,0,0
335,13,4,6,3,0,0,0,0,0,0,0,2,1,0,0
336,45,10,20,9,4,2,0,0,0,0,0,0,0,0,0
337,29,9,10,7,3,0,0,0,0,0,0,4,2,0,0
338,58,32,12,9,3,2,0,0,0,0,0,2,1,0,0
339,26,4,11,9,2,0,0,0,0,0,0,4,2,0,0
340,20,3,8,7,1,0,1,0,0,0,0,0,0,0,0
341,13,6,5,2,0,0,0,0,0,0,0,0,0,0,0
342,31,9,9,10,1,2,0,0,0,0,0,2,0,0,0
343,30,13,10,6,1,0,0,0,0,0,0,2,2,0,0
344,104,40,30,14,14,1,0,0,0,0,0,1,1,0,0
345,113,32,36,2,3,4,1,0,0,0,0,2,1,0,0
346,143,45,56,17,5,1,3,0,0,0,2,1,1,0,0
347,93,35,20,12,13,2,0,0,0,0,5,4,3,0,0
348,25,8,9,6,1,1,0,0,0,0,0,0,0,0,0
349,19,13,4,2,0,0,0,0,0,0,0,0,0,0,0
350,14,5,3,5,1,0,0,0,0,0,0,3,0,0,0
351,15,2,5,6,1,1,0,0,0,0,0,0,0,0,0
352,12,4,3,5,0,0,0,0,0,0,0,0,0,0,0
353,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0
354,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0
355,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
356,21,10,0,8,0,3,0,0,0,0,0,0,0,0,0
357,15,5,0,8,0,2,0,0,0,0,0,0,0,0,0
358,14,6,0,4,1,1,2,0,0,0,0,0,0,0,0
359,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0
360,7,0,1,3,1,0,1,0,0,0,0,0,0,0,0
361,6,6,2,2,0,0,0,0,0,0,0,-1,-1,0,0
362,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
363,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
364,10,1,-1,4,2,0,1,0,0,0,0,-1,2,0,0
365,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,15,10,0,1,0,0,2,0,0,0,0,0,0,0,0
368,17,7,0,0,6,0,2,0,0,0,0,0,0,0,0
369,19,5,2,4,2,1,5,0,0,0,0,2,1,0,0
370,18,11,0,5,1,0,1,0,0,0,0,2,2,0,0
371,13,4,0,9,0,0,0,0,0,0,0,1,1,0,0
372,42,14,1,15,4,2,2,0,0,0,0,1,1,0,0
373,28,6,0,3,5,1,3,0,0,0,2,1,1,0,0
374,44,13,15,12,4,0,0,0,0,0,0,3,0,-1,0
375,152,48,61,26,17,0,0,0,0,0,0,16,5,0,0
376,53,18,18,14,3,0,0,0,0,0,0,11,2,0,0
377,57,23,22,6,6,0,0,0,0,0,0,5,2,0,0
378,76,30,41,3,2,0,0,0,0,0,0,2,1,0,0
379,40,11,12,21,4,1,0,0,0,0,0,13,0,0,0
380,33,5,17,8,3,0,0,0,0,0,0,3,0,0,0
381,57,13,27,17,2,0,0,0,0,0,0,1,0,0,0
382,9,3,0,5,1,0,0,0,0,0,0,6,3,-1,0
383,23,7,5,9,0,0,1,0,0,0,0,3,3,1,0
384,33,20,4,7,0,2,2,0,0,0,2,1,1,0,0
385,31,18,1,6,2,1,4,0,0,0,0,-1,0,0,0
386,32,16,2,9,3,2,2,0,0,0,0,0,0,-1,1
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
388,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
389,203,67,71,34,25,5,0,0,0,0,0,2,1,0,2
390,71,20,30,16,5,0,0,0,0,0,0,3,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
392,52,18,16,8,10,0,0,0,0,0,0,6,1,0,0
393,146,37,58,28,20,3,0,0,0,0,0,19,7,0,2
394,122,41,54,19,7,1,0,0,0,0,0,7,2,0,1
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,169,73,58,31,5,2,0,0,0,0,0,8,2,0,1
397,81,29,31,11,6,3,1,0,0,0,0,10,1,0,0
398,126,53,40,18,11,2,0,1,0,0,1,2,0,0,0
399,98,28,40,18,10,2,0,0,0,0,0,1,0,0,0
400,360,167,127,45,16,4,1,0,0,0,0,14,6,0,1
401,60,29,21,7,1,1,0,0,0,0,1,1,1,0,0
402,71,30,24,10,7,0,0,0,0,0,0,0,0,0,0
403,82,10,23,13,14,0,0,0,0,0,0,4,0,0,1
404,62,23,25,12,1,1,0,0,0,0,0,0,0,0,1
405,66,23,29,7,3,2,2,0,0,0,0,6,3,0,0
406,61,21,20,12,5,1,0,0,0,0,0,1,0,0,0
407,111,42,43,18,8,0,0,0,0,0,0,14,2,0,0
408,64,18,30,8,7,0,0,0,0,0,1,2,1,0,0
409,44,12,16,10,6,0,0,0,0,0,0,2,1,0,1
410,26,5,12,8,0,1,0,0,0,0,0,7,1,0,0
411,42,14,18,6,3,1,0,0,0,0,0,6,1,0,0
412,30,6,13,6,4,1,0,0,0,0,0,1,0,0,0
413,121,43,54,14,9,1,0,0,0,0,0,11,2,0,0
414,72,25,26,14,7,1,0,0,0,0,0,6,0,0,0
415,68,13,27,13,14,1,0,0,0,0,0,9,3,0,1
416,22,6,12,4,2,0,0,0,0,0,0,0,0,0,0
417,9,2,4,1,1,1,0,0,0,0,0,1,1,0,0
418,11,6,2,2,1,0,0,0,0,0,0,1,0,0,0
419,201,64,63,53,19,2,0,0,0,0,0,4,2,-1,1
420,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
421,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,8,0,2,1,3,2,0,0,0,0,0,0,0,0,0
424,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
