"SSN","totAll","totPrec","totCuan","totTezo","totPatl","totTzac","totMicc","totTlam","totXola","totMete","totOxto","totXome","totMaza","totAzte"
42,104,0,0,0,47,17,4,0,0,1,0,5,2,32
43,337,0,52,0,193,60,0,0,0,0,0,2,0,28
44,439,0,79,0,257,38,2,5,0,0,0,7,6,46
45,873,0,128,0,528,93,7,0,0,0,0,16,5,40
46,232,0,41,0,148,20,0,0,0,0,0,3,0,20
47,134,0,21,0,83,11,0,0,0,0,0,3,0,16
48,234,0,0,0,121,22,2,2,0,0,0,11,0,47
49,402,0,0,0,196,164,1,2,1,0,0,4,8,10
50,297,0,5,0,169,78,0,2,0,0,0,22,0,20
51,85,0,0,0,38,13,0,3,0,0,11,5,0,15
52,99,0,0,0,80,9,0,2,0,0,0,0,0,6
53,278,0,7,0,205,48,0,0,0,0,0,2,0,14
54,210,0,19,0,117,56,0,0,0,0,0,4,5,9
55,418,0,23,0,284,93,0,0,0,0,0,4,3,9
56,115,0,8,0,65,36,0,0,0,0,0,1,0,4
57,150,0,7,0,94,38,0,0,0,0,0,0,0,10
58,142,0,0,0,49,35,2,0,0,0,0,5,0,47
59,158,0,1,0,62,54,0,2,0,0,0,0,0,35
60,109,0,0,0,19,14,0,1,0,0,0,0,0,75
61,79,0,0,0,7,8,14,11,0,0,0,2,7,10
62,98,0,0,0,24,4,5,0,0,0,0,0,16,34
63,102,0,0,0,24,8,18,8,5,2,0,0,6,8
64,335,0,1,0,110,124,2,6,3,0,4,29,15,27
65,181,0,0,0,20,14,23,10,36,0,0,0,11,28
66,82,0,7,0,0,5,20,20,8,0,0,0,6,8
67,154,0,0,0,22,9,18,26,27,0,0,2,0,16
68,276,0,0,0,27,15,25,39,42,25,5,2,3,31
69,140,0,0,0,5,36,11,14,41,0,0,0,7,11
70,220,0,0,0,18,25,24,26,56,9,0,0,2,16
71,60,0,0,0,16,36,0,0,0,0,0,0,0,5
72,156,0,0,0,33,56,5,8,6,0,0,0,0,7
73,148,0,0,0,82,57,2,1,0,0,0,0,0,0
74,189,0,0,0,98,82,2,0,3,0,0,1,0,0
75,79,0,7,0,32,22,0,3,0,0,0,2,0,7
76,205,0,0,0,138,44,0,0,0,0,0,11,4,8
77,109,0,0,0,57,36,2,2,2,0,2,0,6,0
78,117,0,0,0,51,51,0,4,0,0,0,4,0,7
79,188,0,0,0,113,70,0,0,0,0,5,0,0,0
80,271,0,0,0,118,140,0,0,0,0,0,0,4,2
81,233,0,0,0,108,82,0,5,1,0,0,0,6,29
82,311,0,0,0,177,125,0,0,0,0,0,0,4,5
83,156,0,0,0,57,47,0,2,3,0,0,2,0,44
84,288,0,22,0,143,89,0,3,5,0,0,4,0,21
85,100,0,26,0,43,24,0,0,0,0,0,2,2,3
86,369,0,0,0,8,67,29,91,40,7,18,38,11,24
87,319,0,0,0,14,113,27,72,32,9,6,16,7,15
88,125,0,0,0,16,46,9,26,7,0,0,9,3,7
89,122,0,0,0,13,53,12,15,13,0,0,6,4,5
90,71,0,0,0,6,30,0,20,11,0,0,2,0,2
91,182,0,0,0,9,44,16,52,18,8,0,8,0,12
92,235,0,0,0,18,93,17,71,8,7,0,10,0,6
93,386,0,0,0,21,131,33,122,8,5,0,13,5,24
94,190,0,1,0,20,59,9,56,14,3,0,5,5,14
95,73,0,0,0,4,28,6,19,6,0,0,4,0,2
96,34,0,0,0,2,12,0,5,2,2,0,1,0,1
97,167,0,0,0,23,59,4,24,4,0,0,9,0,34
98,408,0,0,0,52,137,28,68,25,0,3,24,4,52
99,155,0,0,0,17,60,5,22,1,0,1,2,3,42
100,86,0,0,0,24,22,4,12,2,0,3,3,0,16
101,93,0,0,0,13,16,5,14,21,7,0,3,0,10
102,103,0,0,0,10,21,0,17,22,6,0,3,0,10
103,154,0,0,0,26,64,5,21,9,2,0,3,3,8
104,138,0,0,0,34,61,7,8,3,0,0,6,0,16
105,188,0,4,0,29,57,9,9,4,0,0,7,0,69
106,77,0,0,0,11,24,2,6,3,0,2,4,0,22
107,81,0,0,0,15,16,1,0,1,0,0,0,0,45
108,253,0,2,0,13,34,34,22,55,10,2,19,4,14
109,113,0,2,0,4,10,4,16,38,4,3,9,7,5
110,328,0,0,0,19,78,25,63,24,0,8,20,15,59
111,102,0,0,0,4,6,10,14,13,0,3,4,11,29
112,88,0,0,0,5,8,0,21,21,0,0,9,4,8
113,171,0,0,0,1,22,13,42,27,0,0,14,13,9
114,225,0,0,0,0,49,23,51,47,4,7,14,6,7
115,199,0,0,0,9,39,24,42,25,0,2,18,12,8
116,359,0,21,0,36,54,20,34,0,0,0,48,116,23
117,154,0,6,0,17,31,23,7,23,4,0,10,5,16
118,124,0,0,0,12,20,16,10,18,0,0,7,8,18
119,116,0,0,0,3,33,11,13,18,0,2,4,14,8
120,-1,0,0,0,4,14,-1,-1,-1,-1,-1,-1,-1,-1
121,-1,0,0,0,11,20,-1,-1,-1,-1,-1,-1,-1,-1
122,55,0,0,0,15,24,5,8,1,0,0,1,0,0
123,44,0,0,0,24,1,-1,300,-1,-1,-1,-1,-1,-1
124,-1,0,0,0,9,15,-1,-1,-1,-1,-1,-1,-1,-1
125,26,0,0,0,9,7,1,4,2,0,0,-1,-1,1
126,26,0,0,0,2,5,2,1,4,0,0,3,2,4
127,28,0,0,0,4,15,2,5,-1,0,0,-1,2,-1
128,51,0,0,0,2,38,3,5,1,0,0,1,0,1
129,62,0,2,0,6,20,0,5,3,0,0,3,0,11
130,105,0,3,4,13,24,6,8,3,0,4,21,2,15
131,26,0,0,0,7,18,0,0,1,0,0,0,0,0
132,105,0,6,2,14,29,3,8,9,0,7,1,5,16
133,39,0,0,0,15,14,4,4,-1,0,2,-1,-1,-1
134,22,0,2,0,5,12,1,1,-1,0,1,-1,-1,-1
135,13,0,0,0,1,1,0,-1,8,0,0,0,-1,3
136,37,0,3,0,2,16,4,6,2,0,0,0,4,0
137,9,0,0,0,5,-1,0,3,0,0,0,-1,1,-1
138,5,0,0,0,0,-1,0,2,2,-1,0,0,0,-1
139,-1,0,1,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1
140,81,0,0,0,10,14,8,9,14,0,4,2,3,8
141,324,0,24,0,194,60,3,3,0,0,0,3,0,34
142,51,0,0,0,29,6,0,0,0,0,0,1,3,12
143,140,0,0,0,62,27,0,0,0,0,0,4,3,39
144,198,0,7,0,105,35,5,0,0,0,0,14,6,22
145,202,0,18,0,87,41,0,5,0,0,6,22,3,18
146,204,0,21,0,77,39,3,3,0,0,4,7,10,35
147,168,0,16,0,65,32,5,3,0,0,5,6,12,18
148,157,0,4,0,55,22,0,2,0,0,0,11,4,58
149,112,0,2,0,25,30,0,1,0,0,0,10,2,41
150,104,0,1,0,15,34,1,4,0,0,0,4,0,40
151,165,0,0,0,61,94,0,1,0,0,0,0,0,9
152,282,0,0,0,91,148,5,5,0,0,0,0,4,22
153,102,0,0,0,12,16,3,0,0,0,2,2,0,67
154,143,0,0,0,61,70,1,2,1,0,2,0,3,0
155,86,0,0,0,36,47,0,0,0,0,0,0,2,0
156,65,0,0,0,28,26,0,0,0,0,0,0,2,8
157,171,0,0,0,56,46,4,3,1,0,0,4,0,56
158,90,0,0,0,34,29,0,0,0,0,0,3,0,21
159,237,0,0,0,74,99,16,16,6,0,0,6,8,6
160,224,0,0,0,91,57,10,8,4,0,0,4,5,29
161,57,0,0,0,12,20,4,4,0,0,0,4,0,8
162,42,0,0,0,10,14,0,2,1,0,0,0,2,12
163,69,0,0,0,8,17,0,0,0,0,0,0,0,43
164,34,0,0,0,6,25,1,0,0,0,0,0,0,1
165,31,0,0,0,0,4,0,0,10,2,0,6,0,9
166,124,0,1,0,0,24,13,10,17,6,0,27,8,14
167,89,0,0,0,0,53,0,5,4,1,0,10,0,6
168,13,0,0,0,0,5,0,2,4,0,0,0,0,1
169,39,0,0,0,0,11,4,2,1,0,0,0,3,7
170,177,0,11,0,44,35,1,14,28,13,3,13,8,3
171,161,0,0,0,0,63,8,19,16,6,4,13,8,5
172,92,0,0,0,0,31,5,13,16,0,0,5,3,6
173,53,0,0,0,0,36,0,0,4,0,0,0,4,1
174,56,0,0,0,0,31,0,8,7,3,0,0,0,0
175,30,0,0,0,0,2,6,2,4,4,3,2,3,2
176,82,0,0,0,0,16,14,5,34,6,0,0,0,3
177,115,0,0,0,0,26,13,9,38,3,0,0,21,5
178,194,0,0,0,74,43,26,4,6,0,0,19,1,9
179,210,0,8,0,0,42,12,25,49,20,0,20,14,1
180,204,0,1,0,55,25,7,32,19,3,8,21,5,16
181,142,0,1,0,5,60,6,7,3,0,0,24,6,13
182,259,0,0,0,0,29,17,13,0,20,4,100,20,44
183,120,0,2,0,0,24,8,8,0,4,0,47,16,7
184,103,0,4,0,20,11,4,8,0,1,7,25,9,3
185,-1,0,0,0,0,19,11,6,8,13,0,30,16,4
186,66,0,0,0,1,38,6,3,0,0,0,7,4,7
187,220,0,2,0,103,66,17,5,0,0,0,6,0,13
188,134,0,0,0,50,43,12,10,0,0,0,0,0,1
189,91,0,0,0,26,52,4,0,1,0,0,0,0,4
190,140,0,0,0,9,19,23,13,28,2,0,0,2,18
191,117,0,0,0,0,17,10,16,17,6,0,0,7,20
192,70,0,0,0,0,2,7,12,11,0,0,0,5,14
193,206,0,0,0,3,12,15,11,14,0,0,0,12,134
194,115,0,0,0,0,10,0,0,0,0,0,0,0,104
195,135,0,0,0,20,21,28,24,18,0,0,0,0,8
196,83,0,0,0,0,15,11,5,16,4,0,0,4,15
197,70,0,0,0,5,7,7,9,16,0,0,0,2,14
198,117,0,0,0,3,12,5,8,16,0,0,0,10,22
199,144,0,0,0,3,10,16,21,28,0,0,0,6,9
200,130,0,0,0,10,16,13,16,32,0,0,0,4,20
201,99,0,0,0,5,8,6,9,13,2,0,5,4,28
202,97,0,0,0,0,6,17,17,19,0,3,0,6,12
203,155,0,0,0,0,9,14,45,29,5,0,7,12,32
204,91,0,0,0,0,9,4,26,15,2,0,4,0,27
205,71,0,0,0,4,17,16,19,6,0,0,4,0,0
206,79,0,0,0,21,10,2,8,6,0,0,8,0,17
207,55,0,0,0,0,4,12,2,0,0,0,0,3,30
208,79,0,0,0,10,11,13,7,7,3,0,0,6,5
209,210,0,0,0,28,52,32,32,15,7,0,0,11,15
210,125,0,0,0,18,9,7,22,18,0,0,0,12,11
211,163,0,0,0,20,8,22,31,29,5,0,0,3,13
212,111,0,0,0,18,5,14,8,36,6,0,0,10,2
213,165,0,3,0,30,42,10,15,1,2,0,27,15,13
214,123,0,0,0,16,14,17,7,2,0,5,31,26,2
215,171,0,2,0,34,31,11,17,6,0,5,43,8,11
216,254,0,17,0,30,53,15,26,25,6,3,30,18,12
217,68,0,0,0,12,4,8,6,9,0,0,7,8,6
218,331,0,1,0,44,26,40,52,54,25,3,15,26,19
219,775,0,7,0,55,51,57,102,214,50,19,53,40,30
220,162,0,0,0,17,14,23,22,16,11,5,14,21,1
221,185,0,0,0,7,8,31,37,35,15,4,19,9,1
222,167,0,0,0,7,14,17,22,25,4,9,47,11,4
223,66,0,0,0,0,5,4,5,11,12,7,3,7,1
224,125,0,3,0,20,9,10,15,22,8,0,10,4,18
225,184,0,2,0,17,13,17,9,41,11,9,15,14,10
226,140,0,0,0,10,8,19,16,17,12,3,9,4,23
227,336,0,0,0,0,23,43,33,64,35,11,38,9,41
228,297,0,2,0,10,16,24,36,74,22,4,24,12,45
229,139,0,0,0,7,10,9,8,14,20,0,44,14,3
230,116,0,0,0,33,23,5,9,13,9,0,6,5,5
231,120,0,0,0,23,23,10,13,9,0,0,15,16,0
232,130,0,0,0,23,19,10,16,14,0,5,22,14,1
233,99,0,0,0,5,8,10,14,22,14,0,7,1,0
234,207,0,0,0,30,31,17,20,28,11,6,31,7,5
235,223,0,0,0,27,27,15,21,40,11,12,39,13,4
236,258,0,0,0,39,29,20,18,51,14,9,28,10,3
237,230,0,0,0,28,22,25,17,38,19,8,20,9,1
238,103,0,0,0,11,15,9,11,19,11,5,5,3,1
239,57,0,0,0,7,7,5,5,9,2,2,10,9,0
240,81,0,0,0,11,10,14,6,9,0,2,11,9,0
241,64,0,0,0,3,9,9,8,8,0,3,16,3,2
242,144,0,0,0,45,26,9,24,5,6,0,5,4,2
243,214,0,0,0,25,17,22,17,49,13,0,6,4,4
244,169,0,0,0,27,15,19,17,49,9,0,1,3,2
245,160,0,0,0,17,10,11,13,48,13,0,3,7,14
246,210,0,0,0,13,10,22,29,61,17,4,3,4,2
247,138,0,0,0,12,7,14,11,31,15,1,2,7,16
248,31,0,0,0,4,3,1,4,5,6,0,1,0,4
249,106,0,0,0,7,27,11,13,7,2,0,0,10,25
250,127,0,0,0,18,11,13,11,15,5,0,0,7,33
251,71,0,0,0,10,10,10,8,8,2,0,0,1,16
252,104,0,0,0,24,16,5,10,23,7,0,0,6,10
253,86,27,0,0,24,18,4,9,3,7,0,0,5,9
254,127,0,0,0,29,18,13,13,18,10,0,0,4,8
255,135,0,0,0,29,19,15,13,23,13,3,3,0,7
256,43,0,0,0,7,2,1,5,14,0,0,7,2,3
257,56,0,0,0,3,4,6,5,16,3,0,11,1,4
258,76,0,0,0,6,5,7,5,19,8,0,8,6,3
259,53,0,0,0,8,5,0,8,19,5,0,2,0,3
260,239,0,0,0,30,16,21,22,63,25,5,6,9,7
261,100,0,0,0,17,9,7,8,18,15,0,4,4,14
262,114,0,0,0,12,9,10,10,23,6,0,0,2,30
263,235,0,2,0,15,14,25,19,82,34,0,0,2,14
264,60,0,0,0,8,5,5,8,8,0,3,12,3,0
265,127,0,0,0,30,22,11,7,29,5,0,0,7,4
266,151,0,1,0,47,29,16,15,19,5,0,2,1,7
267,212,0,0,0,32,27,17,23,47,8,5,18,9,5
268,265,0,0,0,61,33,28,38,40,17,0,2,17,15
269,54,0,0,0,16,10,5,5,5,5,0,0,3,4
270,103,0,0,0,15,14,10,10,16,8,0,0,6,19
271,144,0,0,0,20,17,11,18,41,12,0,3,4,7
272,193,0,0,0,34,21,15,21,56,16,0,0,9,2
273,270,0,3,0,40,39,21,26,63,10,3,18,11,19
274,113,0,0,0,29,10,5,11,23,4,0,5,8,9
275,188,0,1,0,31,25,14,16,41,11,3,4,17,12
276,243,0,0,0,12,8,13,17,59,16,0,8,13,85
277,96,0,0,0,5,6,3,6,24,7,0,0,8,20
278,103,0,0,0,13,5,5,19,18,4,0,0,7,23
279,269,0,0,0,32,14,22,24,52,21,2,12,12,56
280,263,0,0,0,13,15,15,18,60,29,4,13,10,59
281,360,0,0,0,31,20,26,40,76,31,14,17,18,43
282,93,0,2,0,13,7,4,11,20,0,0,9,0,18
283,77,0,0,0,20,10,7,10,10,8,0,6,0,5
284,164,0,0,0,26,16,8,16,29,9,2,7,12,11
285,137,0,0,0,20,13,9,7,25,7,0,4,8,25
286,30,0,0,0,8,2,5,2,5,2,0,2,0,3
287,142,0,0,0,31,26,7,14,20,7,0,0,11,8
288,252,0,1,0,53,25,28,37,25,21,0,7,20,15
289,79,0,0,0,21,5,9,7,23,1,0,0,2,5
290,113,0,0,0,29,14,8,6,22,7,0,0,5,12
291,410,0,0,0,79,49,20,31,69,15,0,18,25,15
292,148,0,0,0,35,29,8,15,21,4,0,3,4,4
293,284,0,1,0,75,33,35,50,71,20,0,11,9,11
294,66,0,0,0,8,4,3,7,19,6,0,0,1,11
295,98,0,0,0,45,23,6,6,3,2,0,0,4,3
296,48,0,2,0,17,7,0,0,5,1,0,0,0,6
297,51,0,0,0,9,11,3,4,10,0,0,0,1,6
298,198,0,0,0,31,16,14,18,40,19,8,0,7,10
299,274,0,0,0,23,12,19,27,82,31,0,0,22,29
300,114,0,0,0,13,8,3,11,31,18,0,9,7,11
301,295,0,0,0,14,9,6,22,46,18,0,14,29,94
302,202,0,0,0,15,7,9,17,32,13,0,7,28,57
303,61,0,0,0,4,0,5,2,9,2,0,5,4,27
304,68,0,0,0,7,1,2,2,9,6,0,3,0,27
305,327,0,0,0,30,16,22,40,77,20,0,0,38,27
306,187,0,4,0,4,15,4,28,19,5,2,3,4,50
307,56,0,0,0,0,12,5,11,7,0,0,0,0,10
308,291,0,0,0,6,29,22,18,13,0,0,15,11,155
309,44,0,0,0,3,0,1,2,0,2,0,4,0,7
310,310,0,0,0,3,26,14,29,37,6,11,15,11,109
311,94,0,0,2,0,4,4,14,15,0,1,3,4,34
312,309,0,0,0,0,24,8,21,35,6,4,10,18,165
313,221,0,1,1,0,12,18,38,24,6,0,13,8,58
314,126,0,0,0,0,7,6,15,32,6,4,0,7,38
315,1137,0,7,6,3,96,55,143,144,40,23,56,44,421
316,160,0,0,0,0,10,10,21,26,7,2,8,9,27
317,266,0,5,0,0,6,21,40,69,12,2,16,22,11
318,290,0,4,0,3,26,16,24,46,12,0,20,0,83
319,159,0,0,0,0,9,16,11,32,9,0,8,0,26
320,140,0,0,0,0,18,8,11,27,6,0,8,0,40
321,117,0,0,0,6,5,6,22,28,9,0,7,0,4
322,36,0,0,0,0,3,3,2,6,1,1,6,0,7
323,344,0,0,0,7,42,34,55,36,6,0,16,29,95
324,124,0,0,0,3,31,6,20,18,3,0,7,7,21
325,346,0,2,0,0,9,28,49,77,113,5,10,10,13
326,163,0,0,1,2,11,8,27,32,11,2,0,9,26
327,245,0,0,0,0,19,28,51,58,10,6,9,11,25
328,68,0,2,0,8,13,7,6,10,4,0,4,0,5
329,249,0,0,0,0,29,48,28,45,7,0,34,7,17
330,100,0,0,0,1,7,18,20,14,2,1,3,2,20
331,164,0,26,17,3,19,11,9,19,0,3,10,2,40
332,382,0,41,0,11,78,32,35,31,9,2,35,11,74
333,112,0,5,0,0,5,13,15,18,2,0,5,16,26
334,101,0,30,0,0,11,13,5,7,1,0,8,0,26
335,110,0,7,0,6,34,13,5,8,0,0,3,4,25
336,174,0,0,0,5,44,35,23,10,1,0,8,0,28
337,223,0,0,0,0,19,36,23,46,3,0,13,0,39
338,222,0,0,0,20,50,36,17,31,1,1,7,3,35
339,154,0,21,0,6,16,12,15,12,1,0,10,0,47
340,175,0,14,0,5,19,14,22,35,6,0,22,0,16
341,73,0,0,0,0,12,11,19,10,3,0,1,4,5
342,110,0,10,0,19,24,5,5,12,6,0,5,0,9
343,149,0,0,0,3,23,19,15,41,5,0,5,1,18
344,196,0,0,0,6,66,21,34,4,8,0,3,15,21
345,195,0,0,0,10,48,17,19,26,0,3,6,10,43
346,99,0,0,0,1,19,12,17,3,0,0,2,7,32
347,168,0,0,0,5,44,20,43,15,2,2,3,7,20
348,44,0,1,0,3,6,2,0,4,2,0,3,0,18
349,41,0,2,0,0,2,5,7,3,0,0,1,0,16
350,72,0,6,0,2,19,8,7,8,4,0,6,0,9
351,35,0,0,0,0,4,3,3,6,0,0,3,0,12
352,50,0,0,0,0,9,5,4,9,2,0,0,0,16
353,17,0,0,0,0,0,0,1,2,0,0,1,0,4
354,79,0,0,0,0,3,4,26,6,2,0,3,0,31
355,80,0,0,0,0,18,5,30,6,0,3,0,3,7
356,144,0,1,0,27,21,12,28,2,0,5,15,11,21
357,255,0,0,0,112,79,3,0,1,0,0,15,4,41
358,100,0,2,0,17,24,4,6,15,0,3,6,7,14
359,42,0,0,0,5,4,0,3,4,0,0,2,0,20
360,127,0,0,0,8,34,18,37,9,0,0,10,9,2
361,86,0,0,0,22,18,2,17,4,0,0,3,7,8
362,58,0,0,0,10,16,3,11,0,0,1,2,7,2
363,209,0,0,0,66,55,18,30,2,3,5,13,9,7
364,218,0,0,0,37,37,23,76,8,5,4,7,11,8
365,100,0,0,0,23,18,6,9,2,2,0,13,11,9
366,66,0,0,0,17,13,3,7,0,0,2,1,6,17
367,152,0,14,0,30,28,13,20,5,0,3,5,10,23
368,91,0,13,0,17,15,7,11,0,0,1,3,8,16
369,81,0,0,0,14,24,7,17,0,0,2,5,0,12
370,103,0,8,0,23,11,4,6,0,0,0,7,6,38
371,51,0,0,0,8,5,9,5,3,0,4,8,3,8
372,289,0,24,0,70,76,23,31,27,0,2,14,5,16
373,105,0,7,0,23,19,8,20,0,0,2,11,3,10
374,56,0,0,0,5,18,2,11,0,0,0,4,4,7
375,475,0,0,0,84,163,40,62,21,0,0,5,16,14
376,111,0,3,0,14,48,8,3,5,0,0,2,3,18
377,254,0,0,0,51,94,20,26,8,0,0,10,19,11
378,91,0,0,0,3,11,11,15,4,0,0,3,12,11
379,93,0,0,0,28,23,4,2,1,0,0,9,13,8
380,80,0,0,0,36,33,3,1,2,0,0,0,0,5
381,62,0,0,0,17,21,3,0,7,0,0,4,5,5
382,31,0,0,0,11,5,0,1,0,0,0,3,2,6
383,309,0,4,0,8,33,58,61,21,4,0,0,14,38
384,284,0,5,0,21,74,30,36,16,5,7,22,13,34
385,210,0,6,0,70,55,8,24,8,0,0,9,13,7
386,295,0,0,0,82,108,14,23,7,0,5,8,19,19
387,155,0,0,0,34,58,6,17,0,2,0,7,9,18
388,572,0,15,0,126,212,48,61,24,3,1,14,17,25
389,536,0,0,0,25,83,67,115,36,7,0,52,24,35
390,224,0,0,0,18,41,17,28,16,0,0,41,19,8
391,45,0,0,0,8,26,5,4,0,0,0,0,0,0
392,290,0,0,0,66,87,29,47,20,0,0,12,7,8
393,658,0,0,0,168,169,49,142,24,8,5,31,14,19
394,320,0,0,0,81,71,28,37,22,2,7,19,15,23
395,81,0,0,0,0,6,16,7,2,0,0,2,12,21
396,380,0,0,0,141,93,19,23,16,1,0,24,10,3
397,168,0,0,0,67,34,110,130,50,0,0,9,0,19
398,197,0,0,0,7,53,21,39,15,0,0,14,10,4
399,167,0,0,0,16,43,14,30,9,0,2,13,11,4
400,914,0,0,0,102,141,85,123,117,3,5,51,63,30
401,115,0,0,0,8,36,4,7,14,0,3,12,11,8
402,155,0,0,0,3,20,17,21,8,8,5,15,20,6
403,116,0,0,0,22,29,3,9,12,0,0,10,2,15
404,139,0,0,0,61,36,6,6,3,0,0,8,3,6
405,203,0,0,0,63,35,4,14,11,2,3,44,0,6
406,127,0,0,0,38,38,0,11,4,0,0,21,0,2
407,177,0,0,0,66,40,5,5,12,0,3,14,9,7
408,119,0,0,0,49,21,6,9,8,2,0,8,2,5
409,109,0,0,0,26,38,7,11,8,0,0,5,0,4
410,100,0,0,0,19,26,8,5,19,0,0,8,0,19
411,95,0,0,0,28,29,3,7,7,0,0,4,0,6
412,95,0,0,0,21,37,8,8,3,0,0,3,3,6
413,174,0,0,0,23,64,8,6,12,0,0,8,4,3
414,326,0,0,0,30,122,37,46,20,0,0,0,4,23
415,317,0,0,0,37,127,30,45,30,0,0,10,7,14
416,38,0,0,0,16,13,2,0,0,0,0,1,0,4
417,36,0,0,0,5,7,0,10,3,0,0,4,1,4
418,19,0,0,0,0,10,0,1,1,0,0,2,0,3
419,343,0,0,0,4,53,40,39,29,0,4,20,10,82
420,223,0,0,0,0,5,9,61,20,7,0,15,26,53
421,53,0,0,0,0,2,1,9,5,1,0,7,17,7
422,93,0,0,0,0,11,2,28,7,0,0,9,7,14
423,114,0,0,0,2,7,2,22,7,0,3,30,5,21
424,205,0,0,0,0,21,4,53,26,4,2,31,18,38
425,39,0,0,0,0,0,1,11,2,0,0,8,8,7
426,123,0,0,0,0,8,7,33,26,0,0,18,12,12
427,9,0,0,0,0,1,4,0,0,1,0,0,0,0
428,63,0,0,0,0,6,6,7,7,0,0,9,10,12
429,349,0,0,0,0,54,24,87,20,5,10,66,10,36
430,83,1,0,1,0,8,9,13,0,0,0,3,6,41
431,199,0,0,0,3,33,21,7,19,0,0,17,16,70
432,91,0,0,0,0,23,10,20,12,0,0,9,0,15
433,568,0,0,0,0,158,111,111,63,4,0,20,25,32
434,228,0,0,0,4,25,32,32,29,0,27,33,14,5
435,238,0,0,0,10,40,30,30,36,0,28,23,10,6
436,548,0,0,0,23,59,28,81,21,0,13,19,213,18
437,189,0,0,0,0,45,28,35,21,0,8,12,4,9
438,176,0,0,0,2,28,21,20,33,0,4,22,6,5
439,173,0,0,0,6,24,20,10,14,3,5,56,12,11
440,239,0,0,0,10,25,8,17,1,0,9,81,53,11
441,251,0,0,0,7,26,18,40,12,0,10,56,21,7
442,315,0,0,0,2,16,31,43,19,7,0,4,85,57
443,25,0,0,0,2,4,4,4,0,2,4,4,0,1
444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
445,20,0,0,0,0,6,2,3,3,0,0,1,0,0
446,334,0,0,2,1,8,8,11,3,3,0,35,31,226
447,78,0,0,0,0,11,3,11,4,4,7,0,17,10
448,347,0,2,0,3,29,25,51,30,13,4,30,29,112
449,209,0,0,0,0,13,13,44,14,7,4,19,19,51
450,120,0,0,0,0,7,15,20,23,2,0,11,8,26
451,75,0,0,0,1,4,11,16,4,2,0,5,2,25
452,155,0,14,0,0,19,12,2,20,20,0,16,37,29
453,81,0,1,0,0,3,7,3,6,1,0,7,0,46
454,135,0,3,0,6,8,9,2,10,0,0,13,8,55
455,143,0,0,0,0,20,31,20,11,2,0,2,5,22
456,76,0,0,0,0,9,13,5,7,3,0,6,3,14
