SSN,Code,Variable,Where
21,5,func1McTl,NA
21,38,func1XlMe,NA
21,38,func1Oxto,NA
21,7,arch1PMic,NA
21,7,arch1McTl,NA
21,40,arch1XlMe,NA
21,40,arch1Oxto,NA
21,71,neighborhoodChar,NA
22,36,func1PMic,NA
22,36,func1McTl,NA
22,36,func1XlMe,NA
22,38,func1Oxto,NA
22,8,arch1PMic,NA
22,8,arch1McTl,NA
22,8,arch1XlMe,NA
22,40,arch1Oxto,NA
22,71,neighborhoodChar,NA
23,5,func1PMic,NA
23,5,func1McTl,NA
23,5,func1XlMe,NA
23,38,func1Oxto,NA
23,7,arch1PMic,NA
23,7,arch1McTl,NA
23,7,arch1XlMe,NA
23,40,arch1Oxto,NA
23,71,neighborhoodChar,NA
24,5,func1PMic,NA
24,5,func1McTl,NA
24,38,func1XlMe,NA
24,38,func1Oxto,NA
24,7,arch1PMic,NA
24,7,arch1McTl,NA
24,40,arch1XlMe,NA
24,40,arch1Oxto,NA
24,71,neighborhoodChar,NA
25,5,func1PMic,NA
25,38,func1McTl,NA
25,38,func1XlMe,NA
25,38,func1Oxto,NA
25,7,arch1PMic,NA
25,8,arch1McTl,NA
25,8,arch1XlMe,NA
25,40,arch1Oxto,NA
25,71,neighborhoodChar,NA
26,6,func1PMic,NA
26,4,func1McTl,NA
26,4,func1XlMe,NA
26,38,func1Oxto,NA
26,2,arch1PMic,NA
26,1,arch1McTl,NA
26,1,arch1XlMe,NA
26,40,arch1Oxto,NA
26,71,neighborhoodChar,NA
27,6,func1PMic,NA
27,6,func1McTl,NA
27,6,func1XlMe,NA
27,38,func1Oxto,NA
27,2,arch1PMic,NA
27,2,arch1McTl,NA
27,2,arch1XlMe,NA
27,40,arch1Oxto,NA
27,71,neighborhoodChar,NA
28,36,func1PMic,NA
28,36,func1McTl,NA
28,38,func1XlMe,NA
28,38,func1Oxto,NA
28,8,arch1PMic,NA
28,8,arch1McTl,NA
28,40,arch1XlMe,NA
28,40,arch1Oxto,NA
28,71,neighborhoodChar,NA
29,36,func1PMic,NA
29,38,func1McTl,NA
29,38,func1XlMe,NA
29,38,func1Oxto,NA
29,8,arch1PMic,NA
29,40,arch1McTl,NA
29,40,arch1XlMe,NA
29,40,arch1Oxto,NA
29,71,neighborhoodChar,NA
30,36,func1PMic,NA
30,36,func1McTl,NA
30,38,func1XlMe,NA
30,38,func1Oxto,NA
30,8,arch1PMic,NA
30,8,arch1McTl,NA
30,40,arch1XlMe,NA
30,40,arch1Oxto,NA
30,71,neighborhoodChar,NA
31,36,func1PMic,NA
31,36,func1McTl,NA
31,38,func1XlMe,NA
31,38,func1Oxto,NA
31,8,arch1PMic,NA
31,8,arch1McTl,NA
31,40,arch1XlMe,NA
31,40,arch1Oxto,NA
31,71,neighborhoodChar,NA
32,0,func1PMic,Missing
32,0,func1McTl,Missing
32,0,func1XlMe,Missing
32,0,func1Oxto,Missing
32,0,arch1PMic,Missing
32,42,arch1McTl,NA
32,42,arch1XlMe,NA
32,0,arch1Oxto,Missing
32,71,neighborhoodChar,NA
33,0,func1PMic,Missing
33,0,func1McTl,Missing
33,0,func1XlMe,Missing
33,0,func1Oxto,Missing
33,0,arch1PMic,Missing
33,40,arch1McTl,NA
33,40,arch1XlMe,NA
33,0,arch1Oxto,Missing
33,71,neighborhoodChar,NA
34,36,func1PMic,NA
34,38,func1McTl,NA
34,38,func1XlMe,NA
34,38,func1Oxto,NA
34,8,arch1PMic,NA
34,40,arch1McTl,NA
34,40,arch1XlMe,NA
34,40,arch1Oxto,NA
34,71,neighborhoodChar,NA
35,5,func1PMic,NA
35,38,func1McTl,NA
35,38,func1XlMe,NA
35,38,func1Oxto,NA
35,7,arch1PMic,NA
35,40,arch1McTl,NA
35,40,arch1XlMe,NA
35,40,arch1Oxto,NA
35,71,neighborhoodChar,NA
36,36,func1PMic,NA
36,38,func1McTl,NA
36,38,func1XlMe,NA
36,38,func1Oxto,NA
36,8,arch1PMic,NA
36,40,arch1McTl,NA
36,40,arch1XlMe,NA
36,40,arch1Oxto,NA
36,71,neighborhoodChar,NA
37,36,func1PMic,NA
37,36,func1McTl,NA
37,36,func1XlMe,NA
37,38,func1Oxto,NA
37,8,arch1PMic,NA
37,8,arch1McTl,NA
37,8,arch1XlMe,NA
37,40,arch1Oxto,NA
37,71,neighborhoodChar,NA
38,5,func1PMic,NA
38,38,func1McTl,NA
38,38,func1XlMe,NA
38,5,func1Oxto,NA
38,7,arch1PMic,NA
38,40,arch1McTl,NA
38,40,arch1XlMe,NA
38,7,arch1Oxto,NA
38,70,neighborhoodChar,NA
39,5,func1PMic,NA
39,38,func1McTl,NA
39,38,func1XlMe,NA
39,38,func1Oxto,NA
39,7,arch1PMic,NA
39,40,arch1McTl,NA
39,40,arch1XlMe,NA
39,40,arch1Oxto,NA
39,70,neighborhoodChar,NA
40,5,func1PMic,NA
40,38,func1McTl,NA
40,38,func1XlMe,NA
40,38,func1Oxto,NA
40,7,arch1PMic,NA
40,40,arch1McTl,NA
40,40,arch1XlMe,NA
40,40,arch1Oxto,NA
40,70,neighborhoodChar,NA
41,5,func1PMic,NA
41,38,func1McTl,NA
41,38,func1XlMe,NA
41,38,func1Oxto,NA
41,7,arch1PMic,NA
41,40,arch1McTl,NA
41,40,arch1XlMe,NA
41,40,arch1Oxto,NA
41,70,neighborhoodChar,NA
42,5,func1PMic,NA
42,38,func1McTl,NA
42,38,func1XlMe,NA
42,38,func1Oxto,NA
42,7,arch1PMic,NA
42,40,arch1McTl,NA
42,40,arch1XlMe,NA
42,40,arch1Oxto,NA
42,70,neighborhoodChar,NA
43,62,obsidianField,NA
43,5,func1PMic,NA
43,38,func1McTl,NA
43,38,func1XlMe,NA
43,38,func1Oxto,NA
43,7,arch1PMic,NA
43,40,arch1McTl,NA
43,40,arch1XlMe,NA
43,40,arch1Oxto,NA
43,66,obsidianSpencePhase1,NA
43,67,obsidianSpencePhase2,NA
43,70,neighborhoodChar,NA
44,62,obsidianField,NA
44,5,func1PMic,NA
44,38,func1McTl,NA
44,38,func1XlMe,NA
44,38,func1Oxto,NA
44,7,arch1PMic,NA
44,40,arch1McTl,NA
44,40,arch1XlMe,NA
44,40,arch1Oxto,NA
44,66,obsidianSpencePhase1,NA
44,67,obsidianSpencePhase2,NA
44,70,neighborhoodChar,NA
45,65,obsidianField,NA
45,5,func1PMic,NA
45,5,func1McTl,NA
45,38,func1XlMe,NA
45,38,func1Oxto,NA
45,7,arch1PMic,NA
45,40,arch1McTl,NA
45,40,arch1XlMe,NA
45,40,arch1Oxto,NA
45,66,obsidianSpencePhase1,NA
45,67,obsidianSpencePhase2,NA
45,70,neighborhoodChar,NA
46,6,func1PMic,NA
46,38,func1McTl,NA
46,38,func1XlMe,NA
46,38,func1Oxto,NA
46,2,arch1PMic,NA
46,40,arch1McTl,NA
46,40,arch1XlMe,NA
46,40,arch1Oxto,NA
46,21,arch2PMic,NA
46,70,neighborhoodChar,NA
47,5,func1PMic,NA
47,38,func1McTl,NA
47,38,func1XlMe,NA
47,38,func1Oxto,NA
47,7,arch1PMic,NA
47,40,arch1McTl,NA
47,40,arch1XlMe,NA
47,40,arch1Oxto,NA
47,70,neighborhoodChar,NA
48,62,obsidianField,NA
48,5,func1PMic,NA
48,38,func1McTl,NA
48,38,func1XlMe,NA
48,38,func1Oxto,NA
48,7,arch1PMic,NA
48,40,arch1McTl,NA
48,40,arch1XlMe,NA
48,40,arch1Oxto,NA
48,70,neighborhoodChar,NA
49,62,obsidianField,NA
49,5,func1PMic,NA
49,38,func1McTl,NA
49,38,func1XlMe,NA
49,38,func1Oxto,NA
49,7,arch1PMic,NA
49,40,arch1McTl,NA
49,40,arch1XlMe,NA
49,40,arch1Oxto,NA
49,66,obsidianSpencePhase1,NA
49,67,obsidianSpencePhase2,NA
49,70,neighborhoodChar,NA
50,62,obsidianField,NA
50,5,func1PMic,NA
50,38,func1McTl,NA
50,38,func1XlMe,NA
50,38,func1Oxto,NA
50,7,arch1PMic,NA
50,40,arch1McTl,NA
50,40,arch1XlMe,NA
50,40,arch1Oxto,NA
50,70,neighborhoodChar,NA
51,5,func1PMic,NA
51,38,func1McTl,NA
51,38,func1XlMe,NA
51,38,func1Oxto,NA
51,7,arch1PMic,NA
51,40,arch1McTl,NA
51,40,arch1XlMe,NA
51,40,arch1Oxto,NA
51,70,neighborhoodChar,NA
52,62,obsidianField,NA
52,5,func1PMic,NA
52,38,func1McTl,NA
52,38,func1XlMe,NA
52,38,func1Oxto,NA
52,7,arch1PMic,NA
52,40,arch1McTl,NA
52,40,arch1XlMe,NA
52,40,arch1Oxto,NA
52,66,obsidianSpencePhase1,NA
52,67,obsidianSpencePhase2,NA
52,70,neighborhoodChar,NA
53,62,obsidianField,NA
53,5,func1PMic,NA
53,38,func1McTl,NA
53,38,func1XlMe,NA
53,38,func1Oxto,NA
53,7,arch1PMic,NA
53,40,arch1McTl,NA
53,40,arch1XlMe,NA
53,40,arch1Oxto,NA
53,66,obsidianSpencePhase1,NA
53,67,obsidianSpencePhase2,NA
53,70,neighborhoodChar,NA
54,62,obsidianField,NA
54,5,func1PMic,NA
54,38,func1McTl,NA
54,38,func1XlMe,NA
54,38,func1Oxto,NA
54,7,arch1PMic,NA
54,40,arch1McTl,NA
54,40,arch1XlMe,NA
54,40,arch1Oxto,NA
54,66,obsidianSpencePhase1,NA
54,67,obsidianSpencePhase2,NA
54,70,neighborhoodChar,NA
55,65,obsidianField,NA
55,5,func1PMic,NA
55,38,func1McTl,NA
55,38,func1XlMe,NA
55,38,func1Oxto,NA
55,7,arch1PMic,NA
55,40,arch1McTl,NA
55,40,arch1XlMe,NA
55,40,arch1Oxto,NA
55,66,obsidianSpencePhase1,NA
55,67,obsidianSpencePhase2,NA
55,70,neighborhoodChar,NA
56,5,func1PMic,NA
56,38,func1McTl,NA
56,38,func1XlMe,NA
56,38,func1Oxto,NA
56,7,arch1PMic,NA
56,40,arch1McTl,NA
56,40,arch1XlMe,NA
56,40,arch1Oxto,NA
56,70,neighborhoodChar,NA
57,62,obsidianField,NA
57,5,func1PMic,NA
57,38,func1McTl,NA
57,38,func1XlMe,NA
57,38,func1Oxto,NA
57,7,arch1PMic,NA
57,40,arch1McTl,NA
57,40,arch1XlMe,NA
57,40,arch1Oxto,NA
57,66,obsidianSpencePhase1,NA
57,67,obsidianSpencePhase2,NA
57,70,neighborhoodChar,NA
58,5,func1PMic,NA
58,38,func1McTl,NA
58,38,func1XlMe,NA
58,38,func1Oxto,NA
58,7,arch1PMic,NA
58,40,arch1McTl,NA
58,40,arch1XlMe,NA
58,40,arch1Oxto,NA
58,70,neighborhoodChar,NA
59,5,func1PMic,NA
59,38,func1McTl,NA
59,38,func1XlMe,NA
59,38,func1Oxto,NA
59,7,arch1PMic,NA
59,40,arch1McTl,NA
59,40,arch1XlMe,NA
59,40,arch1Oxto,NA
59,70,neighborhoodChar,NA
60,5,func1PMic,NA
60,38,func1McTl,NA
60,38,func1XlMe,NA
60,38,func1Oxto,NA
60,7,arch1PMic,NA
60,40,arch1McTl,NA
60,40,arch1XlMe,NA
60,40,arch1Oxto,NA
60,70,neighborhoodChar,NA
61,22,func1PMic,NA
61,22,func1McTl,NA
61,38,func1XlMe,NA
61,38,func1Oxto,NA
61,21,arch1PMic,NA
61,26,arch1McTl,NA
61,26,arch1XlMe,NA
61,40,arch1Oxto,NA
61,43,funcTmpPaTz,NA
61,43,funcTmpMcTl,NA
61,43,funcTmpXlMt,NA
61,50,funcIntPaTz,NA
61,50,funcIntMcTl,NA
61,50,funcIntXlMt,NA
61,57,archInt1PaTz,NA
61,57,archInt1McTl,NA
61,57,archInt1XlMt,NA
61,70,neighborhoodChar,NA
61,100,complexNum,NA
62,6,func1PMic,NA
62,4,func1McTl,NA
62,38,func1XlMe,NA
62,38,func1Oxto,NA
62,21,arch1PMic,NA
62,21,arch1McTl,NA
62,21,arch1XlMe,NA
62,40,arch1Oxto,NA
62,43,funcTmpPaTz,NA
62,43,funcTmpMcTl,NA
62,43,funcTmpXlMt,NA
62,50,funcIntPaTz,NA
62,50,funcIntMcTl,NA
62,50,funcIntXlMt,NA
62,57,archInt1PaTz,NA
62,57,archInt1McTl,NA
62,57,archInt1XlMt,NA
62,70,neighborhoodChar,NA
62,100,complexNum,NA
63,5,func1PMic,NA
63,5,func1McTl,NA
63,5,func1XlMe,NA
63,38,func1Oxto,NA
63,7,arch1PMic,NA
63,7,arch1McTl,NA
63,7,arch1XlMe,NA
63,40,arch1Oxto,NA
63,70,neighborhoodChar,NA
64,5,func1PMic,NA
64,38,func1McTl,NA
64,38,func1XlMe,NA
64,38,func1Oxto,NA
64,7,arch1PMic,NA
64,40,arch1McTl,NA
64,40,arch1XlMe,NA
64,40,arch1Oxto,NA
64,70,neighborhoodChar,NA
65,6,func1PMic,NA
65,4,func1McTl,NA
65,4,func1XlMe,NA
65,38,func1Oxto,NA
65,2,arch1PMic,NA
65,1,arch1McTl,NA
65,1,arch1XlMe,NA
65,40,arch1Oxto,NA
65,70,neighborhoodChar,NA
66,6,func1PMic,NA
66,4,func1McTl,NA
66,4,func1XlMe,NA
66,38,func1Oxto,NA
66,2,arch1PMic,NA
66,1,arch1McTl,NA
66,1,arch1XlMe,NA
66,40,arch1Oxto,NA
66,70,neighborhoodChar,NA
67,6,func1PMic,NA
67,4,func1McTl,NA
67,4,func1XlMe,NA
67,38,func1Oxto,NA
67,2,arch1PMic,NA
67,1,arch1McTl,NA
67,1,arch1XlMe,NA
67,40,arch1Oxto,NA
67,70,neighborhoodChar,NA
68,6,func1PMic,NA
68,4,func1McTl,NA
68,4,func1XlMe,NA
68,38,func1Oxto,NA
68,2,arch1PMic,NA
68,1,arch1McTl,NA
68,1,arch1XlMe,NA
68,40,arch1Oxto,NA
68,70,neighborhoodChar,NA
69,5,func1PMic,NA
69,5,func1McTl,NA
69,5,func1XlMe,NA
69,38,func1Oxto,NA
69,7,arch1PMic,NA
69,7,arch1McTl,NA
69,7,arch1XlMe,NA
69,40,arch1Oxto,NA
69,70,neighborhoodChar,NA
70,62,groundstoneField,NA
70,6,func1PMic,NA
70,4,func1McTl,NA
70,4,func1XlMe,NA
70,38,func1Oxto,NA
70,2,arch1PMic,NA
70,1,arch1McTl,NA
70,1,arch1XlMe,NA
70,40,arch1Oxto,NA
70,70,neighborhoodChar,NA
71,5,func1PMic,NA
71,38,func1McTl,NA
71,38,func1XlMe,NA
71,38,func1Oxto,NA
71,7,arch1PMic,NA
71,40,arch1McTl,NA
71,40,arch1XlMe,NA
71,40,arch1Oxto,NA
71,70,neighborhoodChar,NA
72,5,func1PMic,NA
72,5,func1McTl,NA
72,5,func1XlMe,NA
72,38,func1Oxto,NA
72,7,arch1PMic,NA
72,7,arch1McTl,NA
72,7,arch1XlMe,NA
72,40,arch1Oxto,NA
72,70,neighborhoodChar,NA
73,5,func1PMic,NA
73,38,func1McTl,NA
73,38,func1XlMe,NA
73,38,func1Oxto,NA
73,7,arch1PMic,NA
73,40,arch1McTl,NA
73,40,arch1XlMe,NA
73,40,arch1Oxto,NA
73,70,neighborhoodChar,NA
74,62,obsidianField,NA
74,5,func1PMic,NA
74,38,func1McTl,NA
74,38,func1XlMe,NA
74,38,func1Oxto,NA
74,7,arch1PMic,NA
74,40,arch1McTl,NA
74,40,arch1XlMe,NA
74,40,arch1Oxto,NA
74,66,obsidianSpencePhase1,NA
74,67,obsidianSpencePhase2,NA
74,70,neighborhoodChar,NA
75,5,func1PMic,NA
75,38,func1McTl,NA
75,38,func1XlMe,NA
75,38,func1Oxto,NA
75,7,arch1PMic,NA
75,40,arch1McTl,NA
75,40,arch1XlMe,NA
75,40,arch1Oxto,NA
75,70,neighborhoodChar,NA
76,5,func1PMic,NA
76,38,func1McTl,NA
76,38,func1XlMe,NA
76,38,func1Oxto,NA
76,7,arch1PMic,NA
76,40,arch1McTl,NA
76,40,arch1XlMe,NA
76,40,arch1Oxto,NA
76,66,obsidianSpencePhase1,NA
76,67,obsidianSpencePhase2,NA
76,70,neighborhoodChar,NA
77,62,obsidianField,NA
77,5,func1PMic,NA
77,38,func1McTl,NA
77,38,func1XlMe,NA
77,38,func1Oxto,NA
77,7,arch1PMic,NA
77,40,arch1McTl,NA
77,40,arch1XlMe,NA
77,40,arch1Oxto,NA
77,66,obsidianSpencePhase1,NA
77,67,obsidianSpencePhase2,NA
77,70,neighborhoodChar,NA
78,5,func1PMic,NA
78,0,func1McTl,Missing
78,38,func1XlMe,NA
78,38,func1Oxto,NA
78,7,arch1PMic,NA
78,40,arch1McTl,NA
78,40,arch1XlMe,NA
78,40,arch1Oxto,NA
78,70,neighborhoodChar,NA
79,5,func1PMic,NA
79,38,func1McTl,NA
79,38,func1XlMe,NA
79,38,func1Oxto,NA
79,7,arch1PMic,NA
79,40,arch1McTl,NA
79,40,arch1XlMe,NA
79,40,arch1Oxto,NA
79,70,neighborhoodChar,NA
80,5,func1PMic,NA
80,38,func1McTl,NA
80,38,func1XlMe,NA
80,38,func1Oxto,NA
80,7,arch1PMic,NA
80,40,arch1McTl,NA
80,40,arch1XlMe,NA
80,40,arch1Oxto,NA
80,70,neighborhoodChar,NA
81,5,func1PMic,NA
81,38,func1McTl,NA
81,38,func1XlMe,NA
81,38,func1Oxto,NA
81,7,arch1PMic,NA
81,40,arch1McTl,NA
81,40,arch1XlMe,NA
81,40,arch1Oxto,NA
81,70,neighborhoodChar,NA
82,5,func1PMic,NA
82,38,func1McTl,NA
82,38,func1XlMe,NA
82,38,func1Oxto,NA
82,7,arch1PMic,NA
82,40,arch1McTl,NA
82,40,arch1XlMe,NA
82,40,arch1Oxto,NA
82,70,neighborhoodChar,NA
83,5,func1PMic,NA
83,38,func1McTl,NA
83,38,func1XlMe,NA
83,38,func1Oxto,NA
83,7,arch1PMic,NA
83,40,arch1McTl,NA
83,40,arch1XlMe,NA
83,40,arch1Oxto,NA
83,70,neighborhoodChar,NA
84,65,obsidianField,NA
84,65,ceramicField,NA
84,5,func1PMic,NA
84,38,func1McTl,NA
84,38,func1XlMe,NA
84,38,func1Oxto,NA
84,7,arch1PMic,NA
84,40,arch1McTl,NA
84,40,arch1XlMe,NA
84,40,arch1Oxto,NA
84,66,obsidianSpencePhase1,NA
84,67,obsidianSpencePhase2,NA
84,70,neighborhoodChar,NA
85,5,func1PMic,NA
85,38,func1McTl,NA
85,38,func1XlMe,NA
85,38,func1Oxto,NA
85,7,arch1PMic,NA
85,40,arch1McTl,NA
85,40,arch1XlMe,NA
85,40,arch1Oxto,NA
85,70,neighborhoodChar,NA
86,6,func1PMic,NA
86,4,func1McTl,NA
86,4,func1XlMe,NA
86,4,func1Oxto,NA
86,2,arch1PMic,NA
86,1,arch1McTl,NA
86,1,arch1XlMe,NA
86,2,arch1Oxto,NA
86,70,neighborhoodChar,NA
87,6,func1PMic,NA
87,4,func1McTl,NA
87,4,func1XlMe,NA
87,38,func1Oxto,NA
87,2,arch1PMic,NA
87,1,arch1McTl,NA
87,1,arch1XlMe,NA
87,40,arch1Oxto,NA
87,70,neighborhoodChar,NA
88,6,func1PMic,NA
88,4,func1McTl,NA
88,4,func1XlMe,NA
88,38,func1Oxto,NA
88,2,arch1PMic,NA
88,1,arch1McTl,NA
88,1,arch1XlMe,NA
88,40,arch1Oxto,NA
88,70,neighborhoodChar,NA
89,6,func1PMic,NA
89,4,func1McTl,NA
89,4,func1XlMe,NA
89,38,func1Oxto,NA
89,2,arch1PMic,NA
89,1,arch1McTl,NA
89,1,arch1XlMe,NA
89,40,arch1Oxto,NA
89,70,neighborhoodChar,NA
90,5,func1PMic,NA
90,5,func1McTl,NA
90,5,func1XlMe,NA
90,38,func1Oxto,NA
90,7,arch1PMic,NA
90,7,arch1McTl,NA
90,7,arch1XlMe,NA
90,40,arch1Oxto,NA
90,70,neighborhoodChar,NA
91,6,func1PMic,NA
91,4,func1McTl,NA
91,4,func1XlMe,NA
91,38,func1Oxto,NA
91,2,arch1PMic,NA
91,1,arch1McTl,NA
91,1,arch1XlMe,NA
91,70,neighborhoodChar,NA
92,6,func1PMic,NA
92,4,func1McTl,NA
92,4,func1XlMe,NA
92,38,func1Oxto,NA
92,2,arch1PMic,NA
92,1,arch1McTl,NA
92,1,arch1XlMe,NA
92,40,arch1Oxto,NA
92,70,neighborhoodChar,NA
93,5,func1PMic,NA
93,5,func1McTl,NA
93,5,func1XlMe,NA
93,38,func1Oxto,NA
93,7,arch1PMic,NA
93,7,arch1McTl,NA
93,7,arch1XlMe,NA
93,40,arch1Oxto,NA
93,70,neighborhoodChar,NA
94,5,func1PMic,NA
94,5,func1McTl,NA
94,5,func1XlMe,NA
94,38,func1Oxto,NA
94,7,arch1PMic,NA
94,7,arch1McTl,NA
94,7,arch1XlMe,NA
94,40,arch1Oxto,NA
94,2,arch2McTl,NA
94,70,neighborhoodChar,NA
95,5,func1PMic,NA
95,5,func1McTl,NA
95,5,func1XlMe,NA
95,38,func1Oxto,NA
95,7,arch1PMic,NA
95,7,arch1McTl,NA
95,7,arch1XlMe,NA
95,40,arch1Oxto,NA
95,70,neighborhoodChar,NA
96,5,func1PMic,NA
96,5,func1McTl,NA
96,38,func1XlMe,NA
96,38,func1Oxto,NA
96,7,arch1PMic,NA
96,7,arch1McTl,NA
96,40,arch1XlMe,NA
96,40,arch1Oxto,NA
96,70,neighborhoodChar,NA
97,5,func1PMic,NA
97,5,func1McTl,NA
97,38,func1XlMe,NA
97,38,func1Oxto,NA
97,7,arch1PMic,NA
97,7,arch1McTl,NA
97,40,arch1XlMe,NA
97,40,arch1Oxto,NA
97,70,neighborhoodChar,NA
98,5,func1PMic,NA
98,5,func1McTl,NA
98,5,func1XlMe,NA
98,38,func1Oxto,NA
98,7,arch1PMic,NA
98,7,arch1McTl,NA
98,7,arch1XlMe,NA
98,40,arch1Oxto,NA
98,70,neighborhoodChar,NA
99,5,func1PMic,NA
99,5,func1McTl,NA
99,38,func1XlMe,NA
99,38,func1Oxto,NA
99,7,arch1PMic,NA
99,7,arch1McTl,NA
99,40,arch1XlMe,NA
99,40,arch1Oxto,NA
99,70,neighborhoodChar,NA
100,5,func1PMic,NA
100,5,func1McTl,NA
100,38,func1XlMe,NA
100,38,func1Oxto,NA
100,7,arch1PMic,NA
100,7,arch1McTl,NA
100,40,arch1XlMe,NA
100,40,arch1Oxto,NA
100,70,neighborhoodChar,NA
101,23,func1PMic,NA
