SSN,Count,Variable,Where
17,1,nubbinTot,NA
17,1,foreignTot,NA
17,3,granTot,NA
18,11,obsidianTot,NA
18,13,figTot,NA
18,192,totAll,NA
18,5,totPatl,NA
18,13,totTzac,NA
18,6,totMicc,NA
18,36,totTlam,NA
18,13,totXola,NA
18,7,totMete,NA
18,3,censerTot,NA
18,16,toTot,NA
18,4,smoTot,NA
18,33,ollaTot,NA
18,4,comalTot,NA
19,3,obsidianTot,NA
19,0,basaltTot,Missing
19,0,figTot,Missing
19,0,candTot,Missing
19,0,totAll,Missing
19,3,totPatl,NA
19,5,totTzac,NA
19,0,totMicc,Missing
19,0,totTlam,Missing
19,0,totXola,Missing
19,0,totMete,Missing
19,0,censerTot,Missing
19,0,toTot,Missing
19,0,smoTot,Missing
19,0,ollaTot,Missing
19,0,comalTot,Missing
19,0,nubbinTot,Missing
19,0,granTot,Missing
20,1,obsidianTot,NA
20,0,basaltTot,Missing
20,0,figTot,Missing
20,0,candTot,Missing
20,0,totAll,Missing
20,2,totPatl,NA
20,5,totTzac,NA
20,0,totMicc,Missing
20,0,totTlam,Missing
20,0,totXola,Missing
20,0,totMete,Missing
20,0,censerTot,Missing
20,0,toTot,Missing
20,0,smoTot,Missing
20,0,ollaTot,Missing
20,0,comalTot,Missing
20,0,nubbinTot,Missing
20,0,granTot,Missing
21,2,obsidianTot,NA
21,0,basaltTot,Missing
21,0,slateTot,Missing
21,0,figTot,Missing
21,0,candTot,Missing
21,0,totAll,Missing
21,3,totPatl,NA
21,6,totTzac,NA
21,0,totMicc,Missing
21,0,totTlam,Missing
21,0,totXola,Missing
21,0,totMete,Missing
21,0,censerTot,Missing
21,0,toTot,Missing
21,0,smoTot,Missing
21,0,ollaTot,Missing
21,0,comalTot,Missing
21,0,nubbinTot,Missing
21,0,granTot,Missing
22,2,obsidianTot,NA
22,0,basaltTot,Missing
22,0,figTot,Missing
22,0,candTot,Missing
22,0,totAll,Missing
22,9,totPatl,NA
22,8,totTzac,NA
22,0,totMicc,Missing
22,0,totTlam,Missing
22,0,totXola,Missing
22,0,totMete,Missing
22,0,censerTot,Missing
22,0,toTot,Missing
22,0,smoTot,Missing
22,0,ollaTot,Missing
22,0,comalTot,Missing
22,0,nubbinTot,Missing
22,0,granTot,Missing
23,5,obsidianTot,NA
23,161,totAll,NA
23,29,totPatl,NA
23,24,totTzac,NA
23,10,totMicc,NA
23,29,totTlam,NA
23,14,totXola,NA
23,1,totMete,NA
23,14,toTot,NA
23,6,smoTot,NA
23,59,ollaTot,NA
23,3,comalTot,NA
23,1,nubbinTot,NA
23,1,granTot,NA
24,3,obsidianTot,NA
24,0,basaltTot,Missing
24,0,figTot,Missing
24,0,candTot,Missing
24,0,totAll,Missing
24,9,totPatl,NA
24,6,totTzac,NA
24,0,totMicc,Missing
24,0,totTlam,Missing
24,0,totXola,Missing
24,0,totMete,Missing
24,0,censerTot,Missing
24,0,toTot,Missing
24,0,smoTot,Missing
24,0,ollaTot,Missing
24,0,comalTot,Missing
24,1,nubbinTot,NA
24,0,granTot,Missing
25,7,obsidianTot,NA
25,2,basaltTot,NA
25,63,totAll,NA
25,8,totPatl,NA
25,24,totTzac,NA
25,4,totTlam,NA
25,14,toTot,NA
25,16,ollaTot,NA
25,1,nubbinTot,NA
26,0,obsidianTot,Missing
26,1,basaltTot,NA
26,16,figTot,NA
26,1,candTot,NA
26,324,totAll,NA
26,4,totPatl,NA
26,16,totTzac,NA
26,4,totMicc,NA
26,12,totTlam,NA
26,6,totXola,NA
26,8,totMete,NA
26,17,toTot,NA
26,2,smoTot,NA
26,3,ollaTot,NA
26,3,foreignTot,NA
27,10,obsidianTot,NA
27,1,basaltTot,NA
27,1,figTot,NA
27,86,totAll,NA
27,6,totTzac,NA
27,6,totMicc,NA
27,5,totXola,NA
27,29,toTot,NA
27,6,ollaTot,NA
27,1,granTot,NA
28,3,obsidianTot,NA
28,2,basaltTot,NA
28,1,figTot,NA
28,43,totAll,NA
28,4,totTzac,NA
28,6,totTlam,NA
28,1,toTot,NA
28,5,ollaTot,NA
28,1,granTot,NA
29,3,obsidianTot,NA
29,0,totAll,Missing
29,0,totPatl,Missing
29,0,totTzac,Missing
29,0,totMicc,Missing
29,0,totTlam,Missing
29,0,totXola,Missing
29,0,totMete,Missing
29,0,censerTot,Missing
29,0,toTot,Missing
29,0,smoTot,Missing
29,0,ollaTot,Missing
29,0,comalTot,Missing
29,0,nubbinTot,Missing
29,0,foreignTot,Missing
29,0,granTot,Missing
30,2,obsidianTot,NA
30,3,totAll,NA
30,0,totTzac,Missing
30,2,totTlam,NA
30,0,toTot,Missing
30,1,ollaTot,NA
31,6,obsidianTot,NA
31,1,basaltTot,NA
31,2,figTot,NA
31,42,totAll,NA
31,14,totPatl,NA
31,24,totTzac,NA
31,2,totMicc,NA
31,1,censerTot,NA
31,0,toTot,Missing
31,3,ollaTot,NA
32,0,obsidianTot,Missing
32,34,totAll,NA
32,2,totTzac,NA
32,7,totTlam,NA
32,4,toTot,NA
33,0,obsidianTot,Missing
33,0,basaltTot,Missing
33,0,figTot,Missing
33,0,candTot,Missing
33,0,totAll,Missing
33,0,totMicc,Missing
33,0,totTlam,Missing
33,0,totXola,Missing
33,0,totMete,Missing
33,0,censerTot,Missing
33,0,toTot,Missing
33,0,smoTot,Missing
33,0,ollaTot,Missing
33,0,comalTot,Missing
33,0,nubbinTot,Missing
33,0,granTot,Missing
34,0,obsidianTot,Missing
34,70,totAll,NA
34,10,totPatl,NA
34,30,totTzac,NA
34,2,toTot,NA
35,1,figTot,NA
35,35,totAll,NA
35,11,totPatl,NA
35,20,totTzac,NA
35,0,toTot,Missing
35,4,ollaTot,NA
36,16,obsidianTot,NA
36,1,basaltTot,NA
36,9,figTot,NA
36,354,totAll,NA
36,5,totPatl,NA
36,2,totTzac,NA
36,2,totXola,NA
36,1,toTot,NA
36,2,smoTot,NA
36,1,foreignTot,NA
37,15,obsidianTot,NA
37,2,basaltTot,NA
37,3,figTot,NA
37,1,candTot,NA
37,193,totAll,NA
37,5,totTzac,NA
37,2,totTlam,NA
37,4,totXola,NA
37,1,censerTot,NA
37,1,toTot,NA
37,2,smoTot,NA
37,1,ollaTot,NA
37,1,foreignTot,NA
38,0,obsidianTot,Missing
38,4,basaltTot,NA
38,5,figTot,NA
38,133,totAll,NA
38,43,totPatl,NA
38,26,totTzac,NA
38,5,ollaTot,NA
39,9,obsidianTot,NA
39,1,basaltTot,NA
39,29,totAll,NA
39,7,totPatl,NA
39,8,totTzac,NA
39,2,totMicc,NA
39,2,ollaTot,NA
40,5,figTot,NA
40,75,totAll,NA
40,8,totPatl,NA
40,3,totTzac,NA
41,6,obsidianTot,NA
41,5,figTot,NA
41,71,totAll,NA
41,14,totPatl,NA
41,15,totTzac,NA
41,4,ollaTot,NA
42,20,obsidianTot,NA
42,1,basaltTot,NA
42,3,figTot,NA
42,104,totAll,NA
42,47,totPatl,NA
42,17,totTzac,NA
42,4,totMicc,NA
42,1,totMete,NA
42,4,ollaTot,NA
42,1,granTot,NA
43,24,obsidianTot,NA
43,0,basaltTot,Missing
43,1,shellTot,NA
43,5,figTot,NA
43,337,totAll,NA
43,193,totPatl,NA
43,60,totTzac,NA
43,2,toTot,NA
43,15,ollaTot,NA
44,139,obsidianTot,NA
44,0,basaltTot,Missing
44,11,figTot,NA
44,439,totAll,NA
44,257,totPatl,NA
44,38,totTzac,NA
44,2,totMicc,NA
44,5,totTlam,NA
44,1,toTot,NA
44,12,ollaTot,NA
44,1,nubbinTot,NA
45,151,obsidianTot,NA
45,0,basaltTot,Missing
45,12,figTot,NA
45,873,totAll,NA
45,528,totPatl,NA
45,93,totTzac,NA
45,7,totMicc,NA
45,4,toTot,NA
45,10,ollaTot,NA
46,32,obsidianTot,NA
46,2,basaltTot,NA
46,5,figTot,NA
46,232,totAll,NA
46,148,totPatl,NA
46,20,totTzac,NA
46,1,ollaTot,NA
47,7,obsidianTot,NA
47,4,figTot,NA
47,134,totAll,NA
47,83,totPatl,NA
47,11,totTzac,NA
47,3,ollaTot,NA
48,127,obsidianTot,NA
48,3,basaltTot,NA
48,5,figTot,NA
48,234,totAll,NA
48,121,totPatl,NA
48,22,totTzac,NA
48,2,totMicc,NA
48,2,totTlam,NA
48,29,toTot,NA
48,8,ollaTot,NA
48,1,nubbinTot,NA
48,1,granTot,NA
49,180,obsidianTot,NA
49,1,basaltTot,NA
49,1,slateTot,NA
49,8,figTot,NA
49,402,totAll,NA
49,196,totPatl,NA
49,164,totTzac,NA
49,1,totMicc,NA
49,2,totTlam,NA
49,1,totXola,NA
49,15,toTot,NA
49,23,ollaTot,NA
49,1,granTot,NA
50,100,obsidianTot,NA
50,1,figTot,NA
50,297,totAll,NA
50,169,totPatl,NA
50,78,totTzac,NA
50,2,totTlam,NA
50,15,ollaTot,NA
51,72,obsidianTot,NA
51,4,figTot,NA
51,85,totAll,NA
51,38,totPatl,NA
51,13,totTzac,NA
51,3,totTlam,NA
51,8,ollaTot,NA
52,148,obsidianTot,NA
52,4,figTot,NA
52,99,totAll,NA
52,80,totPatl,NA
52,9,totTzac,NA
52,2,totTlam,NA
52,2,toTot,NA
52,3,ollaTot,NA
53,188,obsidianTot,NA
53,1,basaltTot,NA
53,1,figTot,NA
53,278,totAll,NA
53,205,totPatl,NA
53,48,totTzac,NA
53,2,toTot,NA
53,6,ollaTot,NA
54,122,obsidianTot,NA
54,3,figTot,NA
54,210,totAll,NA
54,117,totPatl,NA
54,56,totTzac,NA
54,8,ollaTot,NA
55,258,obsidianTot,NA
55,5,basaltTot,NA
55,12,figTot,NA
55,418,totAll,NA
55,284,totPatl,NA
55,93,totTzac,NA
55,1,toTot,NA
55,8,ollaTot,NA
56,57,obsidianTot,NA
56,6,figTot,NA
56,115,totAll,NA
56,65,totPatl,NA
56,36,totTzac,NA
56,1,toTot,NA
56,4,ollaTot,NA
57,106,obsidianTot,NA
57,1,basaltTot,NA
57,5,figTot,NA
57,150,totAll,NA
57,94,totPatl,NA
57,38,totTzac,NA
57,1,toTot,NA
57,6,ollaTot,NA
58,80,obsidianTot,NA
58,3,basaltTot,NA
58,8,figTot,NA
58,142,totAll,NA
58,49,totPatl,NA
58,35,totTzac,NA
58,2,totMicc,NA
58,2,toTot,NA
58,4,ollaTot,NA
58,1,nubbinTot,NA
58,2,foreignTot,NA
58,1,granTot,NA
59,68,obsidianTot,NA
59,3,basaltTot,NA
59,7,figTot,NA
59,158,totAll,NA
59,62,totPatl,NA
59,54,totTzac,NA
59,2,totTlam,NA
59,4,toTot,NA
59,14,ollaTot,NA
59,1,granTot,NA
60,51,obsidianTot,NA
60,109,totAll,NA
60,19,totPatl,NA
60,14,totTzac,NA
60,1,totTlam,NA
60,5,ollaTot,NA
61,9,obsidianTot,NA
61,1,basaltTot,NA
61,1,shellTot,NA
61,1,figTot,NA
61,79,totAll,NA
61,7,totPatl,NA
61,8,totTzac,NA
61,14,totMicc,NA
61,11,totTlam,NA
61,3,censerTot,NA
61,20,toTot,NA
62,15,obsidianTot,NA
62,1,basaltTot,NA
62,2,figTot,NA
62,98,totAll,NA
62,24,totPatl,NA
62,4,totTzac,NA
62,5,totMicc,NA
62,1,censerTot,NA
62,12,toTot,NA
62,0,ollaTot,Missing
63,13,obsidianTot,NA
63,1,basaltTot,NA
63,7,figTot,NA
63,2,candTot,NA
63,102,totAll,NA
63,24,totPatl,NA
63,8,totTzac,NA
63,18,totMicc,NA
63,8,totTlam,NA
63,5,totXola,NA
63,2,totMete,NA
63,18,toTot,NA
63,1,smoTot,NA
63,2,ollaTot,NA
63,4,comalTot,NA
63,1,nubbinTot,NA
64,86,obsidianTot,NA
64,1,basaltTot,NA
64,9,figTot,NA
64,1,candTot,NA
64,335,totAll,NA
64,110,totPatl,NA
64,124,totTzac,NA
64,2,totMicc,NA
64,6,totTlam,NA
64,3,totXola,NA
64,2,censerTot,NA
64,9,toTot,NA
64,36,ollaTot,NA
64,1,granTot,NA
65,6,obsidianTot,NA
65,1,basaltTot,NA
65,7,figTot,NA
65,181,totAll,NA
65,20,totPatl,NA
65,14,totTzac,NA
65,23,totMicc,NA
65,10,totTlam,NA
65,36,totXola,NA
65,2,censerTot,NA
65,39,toTot,NA
65,4,smoTot,NA
65,15,ollaTot,NA
65,1,foreignTot,NA
66,18,obsidianTot,NA
66,4,basaltTot,NA
66,1,slateTot,NA
66,1,figTot,NA
66,82,totAll,NA
66,5,totTzac,NA
66,20,totMicc,NA
66,20,totTlam,NA
66,8,totXola,NA
66,12,toTot,NA
66,2,smoTot,NA
66,7,ollaTot,NA
67,13,obsidianTot,NA
67,5,figTot,NA
67,154,totAll,NA
67,22,totPatl,NA
67,9,totTzac,NA
67,18,totMicc,NA
67,26,totTlam,NA
67,27,totXola,NA
67,4,censerTot,NA
67,25,toTot,NA
67,3,smoTot,NA
67,14,ollaTot,NA
67,1,nubbinTot,NA
68,22,obsidianTot,NA
68,3,basaltTot,NA
68,1,slateTot,NA
68,21,figTot,NA
68,1,candTot,NA
68,276,totAll,NA
68,27,totPatl,NA
68,15,totTzac,NA
68,25,totMicc,NA
68,39,totTlam,NA
68,42,totXola,NA
68,25,totMete,NA
68,2,censerTot,NA
68,54,toTot,NA
68,18,smoTot,NA
68,19,ollaTot,NA
68,5,nubbinTot,NA
68,2,foreignTot,NA
69,9,obsidianTot,NA
69,0,basaltTot,Missing
69,9,figTot,NA
69,1,candTot,NA
69,140,totAll,NA
69,5,totPatl,NA
69,36,totTzac,NA
69,11,totMicc,NA
69,14,totTlam,NA
69,41,totXola,NA
69,15,toTot,NA
69,7,smoTot,NA
69,24,ollaTot,NA
69,1,comalTot,NA
70,10,obsidianTot,NA
70,1,basaltTot,NA
70,14,figTot,NA
70,220,totAll,NA
70,18,totPatl,NA
70,25,totTzac,NA
70,24,totMicc,NA
70,26,totTlam,NA
70,56,totXola,NA
70,9,totMete,NA
70,2,censerTot,NA
70,44,toTot,NA
70,20,smoTot,NA
70,39,ollaTot,NA
70,6,nubbinTot,NA
71,26,obsidianTot,NA
71,1,figTot,NA
71,60,totAll,NA
71,16,totPatl,NA
71,36,totTzac,NA
71,3,toTot,NA
71,12,ollaTot,NA
72,75,obsidianTot,NA
72,3,basaltTot,NA
72,3,figTot,NA
72,156,totAll,NA
72,33,totPatl,NA
72,56,totTzac,NA
72,5,totMicc,NA
72,8,totTlam,NA
72,6,totXola,NA
72,3,censerTot,NA
72,41,toTot,NA
72,1,smoTot,NA
72,19,ollaTot,NA
72,2,granTot,NA
73,52,obsidianTot,NA
73,2,basaltTot,NA
73,5,figTot,NA
73,148,totAll,NA
73,82,totPatl,NA
73,57,totTzac,NA
73,2,totMicc,NA
73,1,totTlam,NA
73,6,toTot,NA
73,12,ollaTot,NA
74,127,obsidianTot,NA
74,1,basaltTot,NA
74,2,figTot,NA
74,189,totAll,NA
74,98,totPatl,NA
74,82,totTzac,NA
74,2,totMicc,NA
74,3,totXola,NA
74,3,toTot,NA
74,1,smoTot,NA
74,15,ollaTot,NA
75,53,obsidianTot,NA
75,0,basaltTot,Missing
75,3,figTot,NA
75,79,totAll,NA
75,32,totPatl,NA
75,22,totTzac,NA
75,3,totTlam,NA
75,6,toTot,NA
75,5,ollaTot,NA
76,95,obsidianTot,NA
76,4,figTot,NA
76,205,totAll,NA
76,138,totPatl,NA
76,44,totTzac,NA
76,4,ollaTot,NA
77,126,obsidianTot,NA
77,2,figTot,NA
77,109,totAll,NA
77,57,totPatl,NA
77,36,totTzac,NA
77,2,totMicc,NA
77,2,totTlam,NA
77,2,totXola,NA
77,2,toTot,NA
77,5,ollaTot,NA
78,86,obsidianTot,NA
78,1,basaltTot,NA
78,117,totAll,NA
78,51,totPatl,NA
78,51,totTzac,NA
78,4,totTlam,NA
78,8,ollaTot,NA
79,63,obsidianTot,NA
79,4,figTot,NA
79,188,totAll,NA
79,113,totPatl,NA
79,70,totTzac,NA
79,16,ollaTot,NA
80,42,obsidianTot,NA
80,1,slateTot,NA
80,4,figTot,NA
80,271,totAll,NA
80,118,totPatl,NA
80,140,totTzac,NA
80,7,toTot,NA
80,23,ollaTot,NA
81,30,obsidianTot,NA
81,1,basaltTot,NA
81,3,figTot,NA
81,233,totAll,NA
81,108,totPatl,NA
81,82,totTzac,NA
81,5,totTlam,NA
81,1,totXola,NA
81,1,censerTot,NA
81,2,toTot,NA
81,15,ollaTot,NA
81,1,nubbinTot,NA
82,59,obsidianTot,NA
82,8,figTot,NA
82,311,totAll,NA
82,177,totPatl,NA
82,125,totTzac,NA
82,23,ollaTot,NA
83,34,obsidianTot,NA
83,4,figTot,NA
83,156,totAll,NA
83,57,totPatl,NA
83,47,totTzac,NA
83,2,totTlam,NA
83,3,totXola,NA
83,1,toTot,NA
83,2,smoTot,NA
83,8,ollaTot,NA
83,1,granTot,NA
84,258,obsidianTot,NA
84,9,figTot,NA
84,288,totAll,NA
84,143,totPatl,NA
84,89,totTzac,NA
84,3,totTlam,NA
84,5,totXola,NA
84,1,toTot,NA
84,1,smoTot,NA
84,10,ollaTot,NA
85,94,obsidianTot,NA
85,1,basaltTot,NA
85,1,figTot,NA
85,100,totAll,NA
85,43,totPatl,NA
85,24,totTzac,NA
85,4,ollaTot,NA
86,37,obsidianTot,NA
86,2,basaltTot,NA
86,1,shellTot,NA
86,29,figTot,NA
86,4,candTot,NA
86,369,totAll,NA
86,8,totPatl,NA
86,67,totTzac,NA
86,29,totMicc,NA
86,91,totTlam,NA
86,40,totXola,NA
86,7,totMete,NA
86,2,censerTot,NA
86,31,toTot,NA
86,29,smoTot,NA
86,49,ollaTot,NA
86,4,comalTot,NA
86,8,nubbinTot,NA
86,3,granTot,NA
87,71,obsidianTot,NA
87,1,basaltTot,NA
87,12,figTot,NA
87,1,candTot,NA
87,319,totAll,NA
87,14,totPatl,NA
87,113,totTzac,NA
87,27,totMicc,NA
87,72,totTlam,NA
87,32,totXola,NA
87,9,totMete,NA
87,3,censerTot,NA
87,1,toTot,NA
87,18,smoTot,NA
87,41,ollaTot,NA
87,5,comalTot,NA
87,1,nubbinTot,NA
87,4,granTot,NA
88,38,obsidianTot,NA
88,0,basaltTot,Missing
88,7,figTot,NA
88,125,totAll,NA
88,16,totPatl,NA
88,46,totTzac,NA
88,9,totMicc,NA
88,26,totTlam,NA
88,7,totXola,NA
88,2,censerTot,NA
88,1,toTot,NA
88,3,smoTot,NA
88,23,ollaTot,NA
88,2,comalTot,NA
88,3,nubbinTot,NA
89,37,obsidianTot,NA
89,2,figTot,NA
89,1,candTot,NA
89,122,totAll,NA
89,13,totPatl,NA
89,53,totTzac,NA
89,12,totMicc,NA
89,15,totTlam,NA
89,13,totXola,NA
89,1,censerTot,NA
89,3,toTot,NA
89,8,smoTot,NA
89,19,ollaTot,NA
89,4,comalTot,NA
89,1,granTot,NA
90,9,obsidianTot,NA
90,3,figTot,NA
90,71,totAll,NA
90,6,totPatl,NA
90,30,totTzac,NA
90,20,totTlam,NA
90,11,totXola,NA
90,0,toTot,Missing
90,4,smoTot,NA
90,13,ollaTot,NA
90,2,comalTot,NA
90,1,granTot,NA
91,37,obsidianTot,NA
91,11,figTot,NA
91,1,candTot,NA
91,182,totAll,NA
91,9,totPatl,NA
91,44,totTzac,NA
91,16,totMicc,NA
91,52,totTlam,NA
91,18,totXola,NA
91,8,totMete,NA
91,3,censerTot,NA
91,3,toTot,NA
91,8,smoTot,NA
91,19,ollaTot,NA
91,3,comalTot,NA
91,3,nubbinTot,NA
91,2,granTot,NA
92,33,obsidianTot,NA
92,1,basaltTot,NA
92,23,figTot,NA
92,235,totAll,NA
92,18,totPatl,NA
92,93,totTzac,NA
92,17,totMicc,NA
92,71,totTlam,NA
92,8,totXola,NA
92,7,totMete,NA
92,2,censerTot,NA
92,1,toTot,NA
92,5,smoTot,NA
92,37,ollaTot,NA
92,8,comalTot,NA
92,3,nubbinTot,NA
92,5,granTot,NA
93,41,obsidianTot,NA
93,37,figTot,NA
93,386,totAll,NA
93,21,totPatl,NA
93,131,totTzac,NA
93,33,totMicc,NA
93,122,totTlam,NA
93,8,totXola,NA
93,5,totMete,NA
93,3,censerTot,NA
93,18,toTot,NA
93,71,ollaTot,NA
93,11,comalTot,NA
93,7,nubbinTot,NA
93,1,foreignTot,NA
93,9,granTot,NA
94,42,obsidianTot,NA
94,5,basaltTot,NA
94,21,figTot,NA
94,1,candTot,NA
94,190,totAll,NA
94,20,totPatl,NA
94,59,totTzac,NA
94,9,totMicc,NA
94,56,totTlam,NA
94,14,totXola,NA
94,3,totMete,NA
94,2,censerTot,NA
94,1,toTot,NA
94,7,smoTot,NA
94,21,ollaTot,NA
94,3,comalTot,NA
94,3,nubbinTot,NA
94,1,granTot,NA
95,2,obsidianTot,NA
95,1,basaltTot,NA
95,3,figTot,NA
95,73,totAll,NA
95,4,totPatl,NA
95,28,totTzac,NA
95,6,totMicc,NA
95,19,totTlam,NA
95,6,totXola,NA
95,4,toTot,NA
95,4,smoTot,NA
95,16,ollaTot,NA
95,6,comalTot,NA
95,1,foreignTot,NA
95,3,granTot,NA
96,4,obsidianTot,NA
96,1,basaltTot,NA
96,2,figTot,NA
96,34,totAll,NA
96,2,totPatl,NA
96,12,totTzac,NA
96,5,totTlam,NA
96,2,totXola,NA
96,2,totMete,NA
96,8,toTot,NA
96,2,smoTot,NA
96,6,ollaTot,NA
96,3,comalTot,NA
96,1,nubbinTot,NA
97,4,obsidianTot,NA
97,1,basaltTot,NA
97,6,figTot,NA
97,1,candTot,NA
97,167,totAll,NA
97,23,totPatl,NA
97,59,totTzac,NA
97,4,totMicc,NA
97,24,totTlam,NA
97,4,totXola,NA
97,1,censerTot,NA
97,10,toTot,NA
97,4,smoTot,NA
97,24,ollaTot,NA
97,7,comalTot,NA
97,3,granTot,NA
98,9,obsidianTot,NA
98,26,figTot,NA
98,2,candTot,NA
98,408,totAll,NA
98,52,totPatl,NA
98,137,totTzac,NA
98,28,totMicc,NA
98,68,totTlam,NA
98,25,totXola,NA
98,2,censerTot,NA
98,9,toTot,NA
98,15,smoTot,NA
98,67,ollaTot,NA
98,9,comalTot,NA
98,4,nubbinTot,NA
98,2,foreignTot,NA
98,10,granTot,NA
99,5,obsidianTot,NA
99,15,figTot,NA
99,155,totAll,NA
99,17,totPatl,NA
99,60,totTzac,NA
99,5,totMicc,NA
99,22,totTlam,NA
99,1,totXola,NA
99,1,toTot,NA
99,3,smoTot,NA
99,21,ollaTot,NA
99,1,foreignTot,NA
99,5,granTot,NA
100,6,obsidianTot,NA
100,0,basaltTot,Missing
100,6,figTot,NA
100,86,totAll,NA
100,24,totPatl,NA
100,22,totTzac,NA
100,4,totMicc,NA
100,12,totTlam,NA
100,2,totXola,NA
100,1,censerTot,NA
100,11,ollaTot,NA
100,1,comalTot,NA
100,1,nubbinTot,NA
101,152,obsidianTot,NA
101,2,figTot,NA
101,93,totAll,NA
101,13,totPatl,NA
101,16,totTzac,NA
101,5,totMicc,NA
101,14,totTlam,NA
101,21,totXola,NA
101,7,totMete,NA
101,9,smoTot,NA
101,32,ollaTot,NA
101,1,comalTot,NA
101,1,nubbinTot,NA
101,1,granTot,NA
102,144,obsidianTot,NA
102,2,basaltTot,NA
102,9,figTot,NA
102,103,totAll,NA
102,10,totPatl,NA
102,21,totTzac,NA
102,17,totTlam,NA
102,22,totXola,NA
102,6,totMete,NA
102,14,toTot,NA
102,10,smoTot,NA
102,21,ollaTot,NA
102,1,comalTot,NA
102,1,nubbinTot,NA
102,1,granTot,NA
103,24,obsidianTot,NA
103,4,basaltTot,NA
103,10,figTot,NA
103,154,totAll,NA
103,26,totPatl,NA
103,64,totTzac,NA
103,5,totMicc,NA
103,21,totTlam,NA
103,9,totXola,NA
103,2,totMete,NA
103,8,toTot,NA
103,5,smoTot,NA
103,26,ollaTot,NA
103,2,comalTot,NA
103,1,nubbinTot,NA
103,3,granTot,NA
104,82,obsidianTot,NA
104,3,figTot,NA
104,138,totAll,NA
104,34,totPatl,NA
104,61,totTzac,NA
104,7,totMicc,NA
104,8,totTlam,NA
104,3,totXola,NA
104,3,censerTot,NA
104,1,toTot,NA
