ArtCode1,ArtCode2,ArtCode3,SSN,Count,Where
1,12,79,1001,0,Missing
1,12,80,1001,1,NA
1,12,81,1001,0,Missing
1,12,82,1001,0,Missing
1,12,46,1001,0,Missing
2,7,31,1001,1,NA
2,7,32,1001,1,NA
2,9,53,1001,1,NA
2,9,45,1001,5,NA
2,9,46,1001,2,NA
2,8,36,1001,1,NA
2,8,37,1001,1,NA
2,8,38,1001,1,NA
2,8,39,1001,0,Missing
2,8,40,1001,0,Missing
1,16,107,1001,1,NA
1,15,101,1001,7,NA
1,15,102,1001,6,NA
1,15,103,1001,6,NA
1,15,104,1001,2,NA
1,11,69,1001,1,NA
1,11,70,1001,1,NA
1,14,95,1001,2,NA
1,14,96,1001,4,NA
1,14,97,1001,0,Missing
2,9,58,1001,1,NA
2,9,62,1001,3,NA
1,10,65,1001,27,NA
2,9,44,1001,3,NA
0,0,146,1001,750,NA
0,0,147,1001,10,NA
6,22,124,1002,2,NA
6,22,125,1002,1,NA
6,22,136,1002,0,Missing
1,19,112,1002,9,NA
1,19,113,1002,14,NA
1,19,114,1002,3,NA
1,19,115,1002,1,NA
1,19,116,1002,1,NA
1,12,75,1002,0,Missing
1,12,76,1002,0,Missing
1,12,77,1002,0,Missing
1,12,78,1002,0,Missing
1,12,79,1002,0,Missing
1,12,80,1002,0,Missing
1,12,81,1002,0,Missing
1,12,82,1002,0,Missing
1,12,46,1002,0,Missing
1,12,84,1002,1,NA
2,9,46,1002,1,NA
2,8,38,1002,1,NA
1,15,101,1002,2,NA
1,15,102,1002,2,NA
2,9,62,1002,1,NA
2,9,63,1002,2,NA
1,10,65,1002,10,NA
0,0,146,1002,2550,NA
0,0,148,1002,1244,NA
6,22,124,1003,0,Missing
6,22,125,1003,0,Missing
6,22,126,1003,0,Missing
6,22,127,1003,0,Missing
6,22,128,1003,0,Missing
6,22,129,1003,0,Missing
6,22,130,1003,0,Missing
6,23,142,1003,0,Missing
6,23,143,1003,0,Missing
6,22,131,1003,0,Missing
6,22,132,1003,0,Missing
1,16,133,1003,0,Missing
6,22,134,1003,0,Missing
6,22,135,1003,0,Missing
6,22,136,1003,0,Missing
6,22,137,1003,0,Missing
6,22,138,1003,0,Missing
6,22,139,1003,0,Missing
6,22,140,1003,0,Missing
6,22,141,1003,0,Missing
1,19,112,1003,0,Missing
1,19,113,1003,0,Missing
1,19,114,1003,0,Missing
1,19,115,1003,0,Missing
1,19,116,1003,0,Missing
1,19,117,1003,0,Missing
1,19,118,1003,0,Missing
1,19,119,1003,0,Missing
1,19,120,1003,0,Missing
1,17,111,1003,0,Missing
1,18,18,1003,0,Missing
6,24,144,1003,0,Missing
6,21,122,1003,0,Missing
6,21,123,1003,0,Missing
1,1,25,1003,0,Missing
5,5,121,1003,0,Missing
1,12,74,1003,0,Missing
1,12,75,1003,0,Missing
1,12,76,1003,0,Missing
1,12,77,1003,0,Missing
1,12,78,1003,0,Missing
1,12,79,1003,0,Missing
1,12,80,1003,0,Missing
1,12,81,1003,0,Missing
1,12,82,1003,0,Missing
1,12,46,1003,0,Missing
1,12,84,1003,0,Missing
2,9,47,1003,0,Missing
2,9,48,1003,0,Missing
2,9,49,1003,0,Missing
2,9,50,1003,0,Missing
2,9,51,1003,0,Missing
2,7,27,1003,0,Missing
2,7,28,1003,0,Missing
2,7,29,1003,0,Missing
2,7,30,1003,0,Missing
2,7,31,1003,0,Missing
2,7,32,1003,0,Missing
2,9,52,1003,0,Missing
2,9,53,1003,0,Missing
2,9,41,1003,0,Missing
2,9,42,1003,0,Missing
2,9,43,1003,0,Missing
2,9,45,1003,0,Missing
2,9,46,1003,0,Missing
2,8,33,1003,0,Missing
2,8,34,1003,0,Missing
2,8,35,1003,0,Missing
2,8,36,1003,0,Missing
2,8,37,1003,0,Missing
2,8,38,1003,0,Missing
2,8,40,1003,0,Missing
1,10,64,1003,0,Missing
1,16,106,1003,0,Missing
1,16,107,1003,0,Missing
1,16,108,1003,0,Missing
1,15,100,1003,0,Missing
1,15,101,1003,0,Missing
1,15,102,1003,0,Missing
1,15,103,1003,0,Missing
1,15,104,1003,0,Missing
1,15,105,1003,0,Missing
1,11,66,1003,0,Missing
1,11,67,1003,0,Missing
1,11,68,1003,0,Missing
1,11,69,1003,0,Missing
1,11,70,1003,0,Missing
1,11,71,1003,0,Missing
1,11,72,1003,0,Missing
1,11,73,1003,0,Missing
1,14,93,1003,0,Missing
1,14,94,1003,0,Missing
1,14,95,1003,0,Missing
1,14,96,1003,0,Missing
1,14,97,1003,0,Missing
1,14,98,1003,0,Missing
1,14,99,1003,0,Missing
2,9,54,1003,0,Missing
2,9,55,1003,0,Missing
2,9,56,1003,0,Missing
2,9,57,1003,0,Missing
1,13,85,1003,0,Missing
1,13,86,1003,0,Missing
1,13,87,1003,0,Missing
1,13,88,1003,0,Missing
1,13,89,1003,0,Missing
1,13,90,1003,0,Missing
1,13,91,1003,0,Missing
1,13,92,1003,0,Missing
2,9,58,1003,0,Missing
2,9,59,1003,0,Missing
2,9,60,1003,0,Missing
2,9,61,1003,0,Missing
2,9,62,1003,0,Missing
2,9,63,1003,0,Missing
1,10,65,1003,0,Missing
2,9,44,1003,5,NA
0,0,146,1003,1680,NA
0,0,148,1003,0,Missing
6,22,124,1004,12,NA
6,22,125,1004,12,NA
6,22,126,1004,2,NA
6,22,128,1004,7,NA
6,22,131,1004,10,NA
6,22,136,1004,0,Missing
6,22,141,1004,1,NA
1,19,112,1004,105,NA
1,19,113,1004,201,NA
1,19,114,1004,38,NA
1,19,115,1004,53,NA
1,19,116,1004,6,NA
1,17,111,1004,6,NA
6,21,122,1004,1,NA
1,12,74,1004,3,NA
1,12,75,1004,0,Missing
1,12,76,1004,1,NA
1,12,77,1004,0,Missing
1,12,78,1004,1,NA
1,12,79,1004,0,Missing
1,12,80,1004,1,NA
1,12,81,1004,0,Missing
1,12,82,1004,0,Missing
1,12,46,1004,0,Missing
1,12,84,1004,6,NA
2,7,27,1004,0,Missing
2,7,28,1004,0,Missing
2,7,29,1004,0,Missing
2,7,30,1004,0,Missing
2,7,31,1004,3,NA
2,7,32,1004,3,NA
2,9,52,1004,5,NA
2,9,42,1004,7,NA
2,9,45,1004,28,NA
2,9,46,1004,15,NA
2,8,36,1004,5,NA
2,8,37,1004,4,NA
2,8,38,1004,3,NA
1,10,64,1004,3,NA
1,16,106,1004,3,NA
1,16,107,1004,19,NA
1,15,101,1004,30,NA
1,15,102,1004,11,NA
1,15,103,1004,10,NA
1,15,104,1004,3,NA
1,11,68,1004,1,NA
1,11,69,1004,3,NA
1,11,70,1004,10,NA
1,14,95,1004,9,NA
1,14,96,1004,8,NA
1,14,97,1004,0,Missing
2,9,57,1004,1,NA
1,13,92,1004,3,NA
2,9,58,1004,2,NA
2,9,60,1004,1,NA
2,9,62,1004,27,NA
2,9,63,1004,7,NA
1,10,65,1004,81,NA
2,9,44,1004,28,NA
2,9,145,1004,1,NA
0,0,146,1004,7200,NA
0,0,147,1004,12,NA
0,0,148,1004,3100,NA
6,22,124,1005,7,NA
6,22,125,1005,14,NA
6,22,126,1005,1,NA
6,22,128,1005,2,NA
6,22,131,1005,3,NA
1,16,133,1005,1,NA
6,22,136,1005,0,Missing
1,19,112,1005,60,NA
1,19,113,1005,373,NA
1,19,114,1005,30,NA
1,19,115,1005,27,NA
1,19,116,1005,3,NA
1,17,111,1005,5,NA
1,12,75,1005,0,Missing
1,12,76,1005,0,Missing
1,12,77,1005,0,Missing
1,12,78,1005,0,Missing
1,12,79,1005,0,Missing
1,12,80,1005,0,Missing
1,12,81,1005,0,Missing
1,12,82,1005,0,Missing
1,12,46,1005,0,Missing
1,12,84,1005,2,NA
2,7,31,1005,1,NA
2,7,32,1005,1,NA
2,9,42,1005,4,NA
2,9,45,1005,10,NA
2,9,46,1005,4,NA
2,8,36,1005,2,NA
2,8,37,1005,1,NA
2,8,38,1005,2,NA
1,16,107,1005,12,NA
1,15,101,1005,9,NA
1,15,102,1005,5,NA
1,15,103,1005,6,NA
1,15,104,1005,2,NA
1,11,70,1005,5,NA
1,14,95,1005,3,NA
1,14,96,1005,1,NA
1,14,97,1005,0,Missing
2,9,56,1005,1,NA
2,9,59,1005,1,NA
2,9,62,1005,9,NA
2,9,63,1005,1,NA
1,10,65,1005,29,NA
2,9,44,1005,52,NA
0,0,146,1005,1960,NA
0,0,147,1005,7,NA
0,0,148,1005,1488,NA
6,22,124,1006,6,NA
6,22,125,1006,7,NA
6,22,126,1006,3,NA
6,22,127,1006,1,NA
6,22,128,1006,1,NA
6,22,131,1006,1,NA
6,22,136,1006,0,Missing
1,19,112,1006,69,NA
1,19,113,1006,94,NA
1,19,114,1006,31,NA
1,19,115,1006,20,NA
1,19,116,1006,7,NA
1,17,111,1006,3,NA
6,21,122,1006,1,NA
1,12,75,1006,0,Missing
1,12,76,1006,0,Missing
1,12,77,1006,0,Missing
1,12,78,1006,0,Missing
1,12,79,1006,0,Missing
1,12,80,1006,0,Missing
1,12,81,1006,0,Missing
1,12,82,1006,0,Missing
1,12,46,1006,0,Missing
1,12,84,1006,5,NA
2,7,27,1006,0,Missing
2,7,28,1006,0,Missing
2,7,29,1006,0,Missing
2,7,30,1006,0,Missing
2,7,31,1006,1,NA
2,7,32,1006,1,NA
2,9,53,1006,2,NA
2,9,45,1006,7,NA
2,9,46,1006,3,NA
2,8,36,1006,5,NA
2,8,37,1006,2,NA
1,10,64,1006,3,NA
1,16,107,1006,11,NA
1,15,101,1006,23,NA
1,15,102,1006,7,NA
1,15,103,1006,15,NA
1,15,104,1006,2,NA
1,11,69,1006,2,NA
1,11,70,1006,3,NA
1,14,95,1006,2,NA
1,14,96,1006,4,NA
2,9,60,1006,2,NA
2,9,62,1006,8,NA
2,9,63,1006,4,NA
1,10,65,1006,15,NA
2,9,145,1006,2,NA
0,0,146,1006,2740,NA
0,0,147,1006,9,NA
0,0,148,1006,1857,NA
6,22,124,1007,2,NA
6,22,125,1007,4,NA
6,22,126,1007,1,NA
6,22,128,1007,3,NA
6,22,130,1007,1,NA
6,22,131,1007,8,NA
6,22,136,1007,0,Missing
1,19,112,1007,70,NA
1,19,113,1007,182,NA
1,19,114,1007,35,NA
1,19,115,1007,21,NA
1,19,116,1007,2,NA
1,17,111,1007,3,NA
1,18,18,1007,0,Missing
1,12,74,1007,4,NA
1,12,75,1007,0,Missing
1,12,76,1007,0,Missing
1,12,77,1007,0,Missing
1,12,78,1007,4,NA
1,12,79,1007,0,Missing
1,12,80,1007,0,Missing
1,12,81,1007,0,Missing
1,12,82,1007,0,Missing
1,12,46,1007,0,Missing
1,12,84,1007,4,NA
2,9,47,1007,2,NA
2,7,27,1007,0,Missing
2,7,28,1007,0,Missing
2,7,29,1007,0,Missing
2,7,30,1007,0,Missing
2,7,31,1007,1,NA
2,7,32,1007,1,NA
2,9,52,1007,6,NA
2,9,53,1007,1,NA
2,9,45,1007,10,NA
2,9,46,1007,5,NA
2,8,36,1007,3,NA
2,8,37,1007,3,NA
2,8,38,1007,4,NA
1,10,64,1007,3,NA
1,16,107,1007,12,NA
1,15,101,1007,20,NA
1,15,102,1007,6,NA
1,15,103,1007,10,NA
1,15,104,1007,2,NA
1,11,68,1007,2,NA
1,11,69,1007,3,NA
1,11,70,1007,6,NA
1,14,95,1007,2,NA
2,9,54,1007,2,NA
1,13,92,1007,1,NA
2,9,58,1007,1,NA
2,9,59,1007,2,NA
2,9,60,1007,1,NA
2,9,62,1007,19,NA
2,9,63,1007,1,NA
1,10,65,1007,38,NA
2,9,44,1007,26,NA
2,9,145,1007,2,NA
0,0,146,1007,2800,NA
0,0,147,1007,2,NA
0,0,148,1007,960,NA
3,3,109,1008,0,Missing
3,3,110,1008,0,Missing
6,22,125,1008,4,NA
6,22,128,1008,3,NA
6,22,136,1008,0,Missing
6,22,140,1008,1,NA
1,19,112,1008,16,NA
1,19,113,1008,55,NA
1,19,114,1008,8,NA
1,19,115,1008,7,NA
1,19,116,1008,6,NA
1,17,111,1008,3,NA
1,12,74,1008,0,Missing
1,12,75,1008,0,Missing
1,12,76,1008,0,Missing
1,12,77,1008,0,Missing
1,12,78,1008,0,Missing
1,12,79,1008,0,Missing
1,12,80,1008,0,Missing
1,12,81,1008,0,Missing
1,12,82,1008,0,Missing
1,12,46,1008,0,Missing
2,7,27,1008,0,Missing
2,7,28,1008,0,Missing
2,7,29,1008,0,Missing
2,7,30,1008,0,Missing
2,9,45,1008,3,NA
2,9,46,1008,2,NA
2,8,36,1008,1,NA
2,8,37,1008,1,NA
1,10,64,1008,1,NA
1,16,107,1008,5,NA
1,15,101,1008,7,NA
1,15,103,1008,6,NA
1,15,104,1008,1,NA
1,11,70,1008,6,NA
1,14,96,1008,2,NA
1,14,97,1008,0,Missing
2,9,62,1008,9,NA
2,9,63,1008,1,NA
1,10,65,1008,11,NA
2,9,44,1008,58,NA
0,0,146,1008,1640,NA
0,0,148,1008,0,Missing
6,22,124,1009,12,NA
6,22,125,1009,5,NA
6,22,126,1009,5,NA
6,22,127,1009,1,NA
6,22,128,1009,6,NA
6,22,131,1009,7,NA
6,22,136,1009,0,Missing
6,22,141,1009,2,NA
1,19,112,1009,42,NA
1,19,113,1009,130,NA
1,19,114,1009,46,NA
1,19,115,1009,17,NA
1,19,116,1009,8,NA
1,17,111,1009,13,NA
6,21,122,1009,1,NA
1,12,74,1009,1,NA
1,12,75,1009,0,Missing
1,12,76,1009,0,Missing
1,12,77,1009,0,Missing
1,12,78,1009,0,Missing
1,12,79,1009,0,Missing
1,12,80,1009,0,Missing
1,12,81,1009,0,Missing
1,12,82,1009,0,Missing
1,12,46,1009,1,NA
1,12,84,1009,4,NA
2,7,27,1009,0,Missing
2,7,28,1009,0,Missing
2,7,29,1009,0,Missing
2,7,30,1009,0,Missing
2,9,52,1009,1,NA
2,9,53,1009,3,NA
2,9,45,1009,8,NA
2,9,46,1009,2,NA
2,8,36,1009,3,NA
2,8,37,1009,3,NA
2,8,38,1009,2,NA
2,8,39,1009,1,NA
1,10,64,1009,11,NA
1,16,107,1009,27,NA
1,15,101,1009,12,NA
1,15,102,1009,6,NA
1,15,103,1009,15,NA
1,15,104,1009,11,NA
1,15,105,1009,2,NA
1,11,69,1009,4,NA
1,11,70,1009,2,NA
1,14,96,1009,1,NA
1,14,97,1009,0,Missing
1,13,92,1009,4,NA
2,9,58,1009,2,NA
2,9,60,1009,2,NA
2,9,62,1009,22,NA
2,9,63,1009,2,NA
1,10,65,1009,37,NA
2,9,44,1009,2,NA
0,0,146,1009,3160,NA
0,0,147,1009,6,NA
0,0,148,1009,2430,NA
3,3,109,101,0,Missing
6,22,136,101,0,Missing
1,19,113,101,55,NA
1,12,74,101,2,NA
1,12,77,101,2,NA
2,9,52,101,2,NA
2,9,46,101,10,NA
1,16,107,101,9,NA
1,15,101,101,7,NA
1,15,102,101,4,NA
1,15,103,101,9,NA
1,15,104,101,10,NA
1,15,105,101,2,NA
1,11,70,101,1,NA
1,14,96,101,1,NA
2,9,57,101,1,NA
2,9,62,101,1,NA
2,9,63,101,2,NA
2,9,44,101,53,NA
0,0,146,101,2700,NA
0,0,148,101,336,NA
6,22,124,1010,1,NA
6,22,125,1010,2,NA
6,22,126,1010,1,NA
6,22,128,1010,5,NA
6,22,136,1010,0,Missing
1,19,112,1010,29,NA
1,19,113,1010,135,NA
1,19,114,1010,21,NA
1,19,115,1010,2,NA
1,19,116,1010,4,NA
1,19,117,1010,1,NA
1,17,111,1010,6,NA
1,12,74,1010,2,NA
1,12,75,1010,0,Missing
1,12,76,1010,0,Missing
1,12,77,1010,1,NA
1,12,78,1010,0,Missing
1,12,79,1010,1,NA
1,12,80,1010,0,Missing
1,12,81,1010,0,Missing
1,12,82,1010,0,Missing
1,12,46,1010,0,Missing
1,12,84,1010,1,NA
2,7,27,1010,0,Missing
2,7,28,1010,0,Missing
2,7,29,1010,0,Missing
2,7,30,1010,0,Missing
2,9,46,1010,1,NA
2,8,38,1010,3,NA
1,10,64,1010,1,NA
1,16,107,1010,13,NA
1,15,101,1010,5,NA
1,15,102,1010,1,NA
1,15,103,1010,6,NA
1,15,104,1010,4,NA
1,11,69,1010,2,NA
1,14,96,1010,2,NA
1,14,97,1010,0,Missing
2,9,58,1010,1,NA
2,9,62,1010,3,NA
2,9,63,1010,4,NA
1,10,65,1010,8,NA
0,0,146,1010,2820,NA
6,22,124,1011,5,NA
6,22,125,1011,4,NA
6,22,126,1011,2,NA
6,22,128,1011,3,NA
6,22,131,1011,2,NA
6,22,136,1011,0,Missing
1,19,112,1011,15,NA
1,19,113,1011,62,NA
1,19,114,1011,12,NA
1,19,115,1011,9,NA
1,19,116,1011,3,NA
1,17,111,1011,1,NA
1,18,18,1011,0,Missing
6,21,123,1011,1,NA
1,12,74,1011,0,Missing
1,12,75,1011,0,Missing
1,12,76,1011,0,Missing
1,12,77,1011,0,Missing
1,12,78,1011,0,Missing
1,12,79,1011,0,Missing
1,12,80,1011,0,Missing
1,12,81,1011,0,Missing
1,12,82,1011,0,Missing
1,12,46,1011,0,Missing
1,12,84,1011,4,NA
2,9,45,1011,7,NA
2,8,37,1011,1,NA
1,10,64,1011,1,NA
1,16,107,1011,3,NA
1,15,101,1011,5,NA
1,15,102,1011,3,NA
1,11,70,1011,2,NA
1,13,92,1011,1,NA
2,9,62,1011,5,NA
2,9,63,1011,3,NA
1,10,65,1011,20,NA
2,9,44,1011,7,NA
0,0,146,1011,1080,NA
0,0,147,1011,3,NA
0,0,148,1011,486,NA
3,3,109,1012,0,Missing
3,3,110,1012,0,Missing
6,22,124,1012,3,NA
6,22,125,1012,2,NA
6,22,128,1012,2,NA
6,22,131,1012,6,NA
6,22,136,1012,0,Missing
1,19,112,1012,20,NA
1,19,113,1012,50,NA
1,19,114,1012,21,NA
1,19,115,1012,6,NA
1,19,116,1012,2,NA
1,17,111,1012,9,NA
1,12,75,1012,0,Missing
1,12,76,1012,0,Missing
1,12,77,1012,0,Missing
1,12,78,1012,0,Missing
1,12,79,1012,0,Missing
1,12,80,1012,0,Missing
1,12,81,1012,0,Missing
1,12,82,1012,0,Missing
1,12,46,1012,0,Missing
1,12,84,1012,3,NA
2,7,27,1012,0,Missing
2,7,28,1012,0,Missing
2,7,29,1012,0,Missing
2,7,30,1012,0,Missing
2,7,31,1012,2,NA
2,7,32,1012,2,NA
2,9,52,1012,2,NA
2,9,53,1012,1,NA
2,9,45,1012,3,NA
2,8,37,1012,2,NA
2,8,38,1012,2,NA
1,10,64,1012,6,NA
1,16,107,1012,40,NA
1,15,101,1012,11,NA
1,15,102,1012,3,NA
1,15,103,1012,19,NA
1,15,104,1012,19,NA
1,11,70,1012,1,NA
1,14,95,1012,1,NA
1,14,96,1012,2,NA
1,14,97,1012,0,Missing
2,9,57,1012,9,NA
1,13,92,1012,4,NA
2,9,58,1012,1,NA
2,9,62,1012,35,NA
2,9,63,1012,1,NA
1,10,65,1012,54,NA
2,9,44,1012,13,NA
0,0,146,1012,3450,NA
0,0,147,1012,6,NA
0,0,148,1012,2508,NA
3,3,109,1013,8,NA
6,22,124,1013,7,NA
6,22,125,1013,8,NA
6,22,128,1013,7,NA
6,22,131,1013,8,NA
6,22,136,1013,0,Missing
1,19,112,1013,76,NA
1,19,113,1013,180,NA
1,19,114,1013,31,NA
1,19,115,1013,27,NA
1,19,116,1013,5,NA
1,18,18,1013,1,NA
6,21,122,1013,1,NA
1,12,75,1013,0,Missing
1,12,76,1013,0,Missing
1,12,77,1013,0,Missing
1,12,78,1013,0,Missing
1,12,79,1013,0,Missing
1,12,80,1013,0,Missing
1,12,81,1013,0,Missing
1,12,82,1013,0,Missing
1,12,46,1013,0,Missing
1,12,84,1013,7,NA
2,7,27,1013,0,Missing
2,7,28,1013,0,Missing
2,7,29,1013,0,Missing
2,7,30,1013,0,Missing
2,7,31,1013,4,NA
2,7,32,1013,4,NA
2,9,52,1013,1,NA
2,9,45,1013,22,NA
2,9,46,1013,7,NA
2,8,36,1013,1,NA
2,8,38,1013,3,NA
1,10,64,1013,5,NA
1,16,107,1013,25,NA
1,15,101,1013,15,NA
1,15,102,1013,2,NA
1,15,103,1013,7,NA
1,15,104,1013,7,NA
1,15,105,1013,1,NA
1,11,70,1013,4,NA
1,14,95,1013,4,NA
1,14,96,1013,3,NA
1,14,97,1013,0,Missing
2,9,57,1013,1,NA
2,9,60,1013,1,NA
2,9,62,1013,17,NA
2,9,63,1013,5,NA
1,10,65,1013,70,NA
2,9,44,1013,10,NA
0,0,146,1013,6690,NA
0,0,147,1013,16,NA
0,0,148,1013,5008,NA
3,3,109,1014,0,Missing
3,3,110,1014,0,Missing
6,22,124,1014,1,NA
6,22,125,1014,1,NA
6,22,136,1014,0,Missing
1,19,112,1014,14,NA
1,19,113,1014,48,NA
1,19,114,1014,9,NA
1,19,115,1014,7,NA
1,19,116,1014,1,NA
1,17,111,1014,2,NA
1,12,75,1014,0,Missing
1,12,76,1014,0,Missing
1,12,77,1014,0,Missing
1,12,78,1014,0,Missing
1,12,79,1014,0,Missing
1,12,80,1014,0,Missing
1,12,81,1014,0,Missing
1,12,82,1014,0,Missing
1,12,46,1014,0,Missing
1,12,84,1014,2,NA
2,7,27,1014,0,Missing
2,7,28,1014,0,Missing
2,7,29,1014,0,Missing
2,7,30,1014,0,Missing
2,7,31,1014,2,NA
2,7,32,1014,2,NA
2,9,52,1014,1,NA
2,9,46,1014,18,NA
2,8,37,1014,1,NA
1,16,107,1014,4,NA
1,15,101,1014,4,NA
1,15,102,1014,8,NA
1,15,103,1014,7,NA
1,15,104,1014,2,NA
1,11,69,1014,1,NA
1,14,95,1014,1,NA
2,9,62,1014,7,NA
2,9,63,1014,4,NA
1,10,65,1014,14,NA
2,9,44,1014,6,NA
0,0,146,1014,2790,NA
0,0,147,1014,4,NA
0,0,148,1014,1848,NA
3,3,109,1015,0,Missing
3,3,110,1015,0,Missing
6,22,124,1015,2,NA
6,22,125,1015,10,NA
6,22,128,1015,3,NA
6,22,131,1015,8,NA
6,22,136,1015,0,Missing
1,19,112,1015,54,NA
1,19,113,1015,114,NA
1,19,114,1015,28,NA
1,19,115,1015,15,NA
1,19,116,1015,5,NA
1,17,111,1015,3,NA
1,18,18,1015,1,NA
1,12,74,1015,1,NA
1,12,75,1015,0,Missing
1,12,76,1015,0,Missing
1,12,77,1015,0,Missing
1,12,78,1015,0,Missing
1,12,79,1015,1,NA
1,12,80,1015,0,Missing
1,12,81,1015,0,Missing
1,12,82,1015,0,Missing
1,12,46,1015,0,Missing
1,12,84,1015,4,NA
2,7,27,1015,0,Missing
2,7,28,1015,0,Missing
2,7,29,1015,0,Missing
2,7,30,1015,0,Missing
2,7,31,1015,1,NA
2,7,32,1015,1,NA
2,9,52,1015,1,NA
2,9,53,1015,1,NA
2,9,45,1015,7,NA
2,9,46,1015,11,NA
2,8,36,1015,4,NA
2,8,37,1015,5,NA
2,8,38,1015,2,NA
1,10,64,1015,18,NA
1,16,107,1015,34,NA
1,15,101,1015,19,NA
1,15,102,1015,27,NA
1,15,103,1015,31,NA
1,15,104,1015,20,NA
1,11,68,1015,2,NA
1,11,69,1015,1,NA
1,11,70,1015,3,NA
1,14,95,1015,4,NA
2,9,57,1015,1,NA
1,13,90,1015,2,NA
2,9,62,1015,23,NA
2,9,63,1015,2,NA
1,10,65,1015,66,NA
2,9,44,1015,19,NA
2,9,145,1015,1,NA
0,0,146,1015,7900,NA
0,0,147,1015,26,NA
0,0,148,1015,5287,NA
6,22,124,1016,1,NA
6,22,125,1016,3,NA
6,22,126,1016,1,NA
6,22,128,1016,1,NA
6,22,131,1016,2,NA
6,22,136,1016,0,Missing
1,19,112,1016,18,NA
1,19,113,1016,30,NA
1,19,114,1016,9,NA
1,19,115,1016,5,NA
1,19,116,1016,1,NA
1,17,111,1016,1,NA
1,12,75,1016,0,Missing
1,12,76,1016,0,Missing
1,12,77,1016,0,Missing
1,12,78,1016,0,Missing
1,12,79,1016,0,Missing
