VarID,DF9b_VarName,VarName,Table,DataType,CovertToFactorVar,NAValue,CodedVar,CodesTable,DF8_VarName,Var_Description_Short,Var_Description_Long,VarValuesDomain,Changes,Comments,
10,fieldWorker5,fieldWorkers,Data_fieldWorkers,Integer,TRUE,-1,TRUE,Codes_personnel,FLDWRK5,Field workers,,"domain set:
[-1,1..32]
1=René Millon
2=Bruce Drewitt
3=James A. Bennyhoff
4=Pedro Baños
5=George L. Cowgill
6=Michael W. Spence
7=Matthew Wallrath
8=Joseph D. Marino
9=Warren T. D. Barbour
10=Arnulfo de Lucio
11=José de Lucio
12=Darlena K. Blucher
13=Daniel W. Hungerford
14=Donald R. Sutherland
15=S. Jeffrey K. Wilkerson
16=Steve M. Sharnoff
17=Silvestre Sánchez
18=Charles K. Fletcher
19=Charles C. Kolb
20=Clara Millon
21=Wendy Drewitt
22=James W. Dow
23=Mario de Lucio
24=Paul Shankman
25=Chris D. Dodds
26=G. Raymond Krotser
27=A. Jane Quisenberry
28=Michael S. West
29=Dan B. Bruhns
30=Karen O. Bruhns
31=Silvia G. Duran
32=Erica West",,,
11,collectionYear,collectionYear,Data_admin,Integer,FALSE,-1,FALSE,,COLLYEAR,Collection year,The last two digits of the year within which the collection was made.,"domain set:
[-1,62..70]
-1=missing data",,Collections made in December are coded for the following year.,
12,collectionQuarter,collectionQuarter,Data_admin,Integer,TRUE,-1,TRUE,Codes_quarter,COLLQURT,Collection quarter,Quarter within which the collection was made.,"domain set:
[-1,1..4]
1=December-February
2=March-May
3=June-August
4=September-November",,,
13,lastBuildPhase,lastBuildPhase,Data_description,Integer,TRUE,-1,TRUE,Codes_lastBuildPhase,LSTBUILD,Last major Teotihuacan building phase,This field records the last Teotihuacan occupation phase (Patlachique to Oxtoticpac) for which there was major evidence of building.,"domain set:
[-1,0..6]
-1=missing data
0=insufficient basis for judgement, or Patlachique
1=Tzacualli
2=Miccaotli
3=Tlamimilolpa
4=Xolalpan
5=Metepec
6=Oxtoticpac","A programming error in creating DF8 changed all ""-1""s for this field to ""0""s, thus mixing sites judged to have no Teotihuacan building phase later than Patlachique with those designated ""insufficient basis for judgement"".",DO NOT RELY ON VAR.13!!,
14,burials,burials,Data_description,Integer,TRUE,-1,TRUE,Codes_burials,BURIALS,Burials,"Combined observations bearing simultaneously on evidence for burials, looting, and the nature of collected artifacts.","domain set:
[-1,0..9]
-1=missing data
0=none observed
1=possibly present; evidence destroyed by looting
2=present, looted; collection not mainly grave material
3=present, not looted; collection not mainly grave material
4=present, looted; collection mainly grave material
5=present, not looted; collection mainly grave material
6=present, looted; collection entirely grave material
7=present, not looted; collection entirely grave material
8=burials possibly present
9=other",,Needs to be checked by referring to original site records.,
15,midden,midden,Data_description,Integer,TRUE,-1,TRUE,Codes_midden,MIDDEN,Midden deposits on site,Evidence for the existence of midden deposits on the site.,"domain set:
[-1,0..3]
-1=missing data
0=not observed
1=possibly
2=probably
3=definitely",,"Very limited utility for analysis. This field is not very useful for judging where middens might be encountered upon excavation. Almost all cases were recorded as ""middens not observed"", indicating that surface evidence for middens is very rare at Teotihuacan.",
16,stoneQuant,stoneQuant,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_stoneQuant,QNTSTONE,Quantity of stone on site,Quantity of stone observed on site.,"domain set:
[-1,0..9]
-1=missing data
0=absent
1=very sparse
2=sparse to very sparse
3=sparse
4=sparse to moderate
5=moderate
6=moderate to abundant
7=abundant
8=abundant to very abundant
9=very abundant",,Much of this stone is likely to be the remains of ancient buildings.,
17,stoneDist,stoneDist,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_stoneDist,DSTSTONE,Distribution of stone,Distributional patterns observed in stone on site.,"domain set:
[-1,1..4]
-1=missing data
1=relatively uniform
2=localized
3=variable
4=heavily modified due to clearing",,,
18,stoneCut,stoneCut,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,CUTSTONE,Cut stone,Quantity of cut stone observed.,"domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
19,lajas,lajas,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,LAJAS,Lajas,"Quantity of ""lajas"" observed. Lajas are tabular building stones used for a variety of purposes at Teotihuacan, including the construction of talud-tablero facades.","domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
20,tepetate,tepetate,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,TEPETATE,Tepetate,"Quantity of ""tepetate"" observed. Tepetate is the sterile volcanic bedrock that characteristically underlies surface sediments at Teotihuacan, but is also exposed on the surface in many areas. Tepetate was often used as a building material by the prehispanic peoples of this area.","domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
21,adobe,adobe,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,ADOBE,Adobe,"Quantity of ""adobe"" observed. Adobe is unfired mud and/or clay used as a building material.","domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
22,xalnene,xalnene,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,XALNENE,Xalnene,"Quantity of ""xalnene"" observed. [I don't know what xalnene is… (a type of sand??) George?]","domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
23,cascajo,cascajo,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,CASCAJO,Cascajo,"Quantity of ""cascajo"" observed. [I don't know what cascajo/crushed tezontli is; George?]","domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,Crushed Tezontli,
24,concrete,concrete,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,CONCRETE,Concrete fragments,"Quantity of concrete fragments observed. ""Teotihuacan concrete"" (quicklime) was a common building material at Teotihuacan.","domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
25,plasterUnpaint,plasterUnpaint,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,PLSTRUNP,Unpainted plaster fragments,Quantity of unpainted plaster fragments observed.,"domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
26,plasterPaint,plasterPaint,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,PLSTRPNT,Painted plaster fragments,Quantity of painted plaster observed.,"domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
27,burntClay,burntClay,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_materials,BURNCLAY,Burnt clay,Quantity of burnt clay observed.,"domain set:
[-1,0..6]
-1=missing data
0=none observed
1=very sparse
2=sparse
3=present in unspecified quantity
4=moderate
5=abundant
6=very abundant",,,
28,almena,almena,Data_archMaterial,Integer,FALSE,-1,FALSE,,ALMENA,Number of almena fragments collected,"Counts of ""almena"" fragments collected. Almenas are a type of roof decoration, typically made of stone, but also made of pottery, particularly granular ware.","domain set:
[-1,0..]
-1=missing data",,,
29,burnedStruct,burnedStruct,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_burnedStruct,BRNDSTRC,Evidence of burned ancient structure,Assessment of evidence for burning of ancient architectural features.,"domain set:
[-1,0..3]
-1=missing data
0=absent
1=present
2=strong
3=possible",,"The intent of this field was to gather information pertaining to the deliberate destruction by fire of much of Teotihuacan late in its Classic Period history; presumably, an attempt was made to record evidence for burning at a scale compatible with such an event, and not related to cooking, pottery firing, or similarly mundane activities.",
30,floors,floors,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,FLOORS,Floors,Evidence for in situ floor remains.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of floor
2=possible floor, evidence indirect or ambiguous
3=one floor
4=two or three floors
5=four or more floors
6=floor present, count unspecified
9=other",,,
31,walls,walls,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,WALLS,Walls,Evidence for in situ walls.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of wall
2=possible wall, evidence indirect or ambiguous
3=one wall
4=two or three walls
5=four or more walls
6=wall present, count unspecified
9=other",,,
32,drainSitu,drains,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,DRAINS,Drains,Evidence for in situ drain features.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of drain
2=possible drain, evidence indirect or ambiguous
3=one drain
4=two or three drains
5=four or more drains
6=drain present, count unspecified
9=other",,,
33,wallFixSitu,wallFixtures,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,WALLFIXT,Wall fixtures,Evidence for in situ wall fixtures.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of wall fixture
2=possible wall fixture, evidence indirect or ambiguous
3=one wall fixture
4=two or three wall fixtures
5=four or more wall fixtures
6=wall fixture present, count unspecified
9=other",,,
34,murals,murals,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,MURALS,Murals,Evidence for in situ murals.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of mural
2=possible mural, evidence indirect or ambiguous
3=one mural
4=two or three murals
5=four or more murals
6=mural present, count unspecified
9=other",,,
35,columns,columns,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,COLUMNS,Columns,Evidence for in situ columns.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of column
2=possible column, evidence indirect or ambiguous
3=one column
4=two or three columns
5=four or more columns
6=column present, count unspecified
9=other",,,
36,taludes,taludes,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,TALUDES,Taludes,Evidence for in situ taludes.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of talud
2=possible talud, evidence indirect or ambiguous
3=one talud
4=two or three taludes
5=four or more taludes
6=talud present, count unspecified
9=other",,,
37,tableros,tableros,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_archFeatures,TABLEROS,Tableros,Evidence for in situ tableros.,"domain set:
[-1,0..6,9]
-1=missing data
0=problematic object that could be part of tablero
2=possible tablero, evidence indirect or ambiguous
3=one tablero
4=two or three tableros
5=four or more tableros
6=tablero present, count unspecified
9=other",,,
38,floorMaterial,floorMaterial,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_FloorMat,SITUFLRS,In situ floor materials,Materials recorded for in situ floors.,"domain set:
[-1,1..9]
-1=missing data
1=floors present, materials unspecified
2=earth only
3=concrete only
4=concrete, plastered at least in part
5=some floors of earth and some of unplastered concrete
6=some of earth, some of concrete with plaster
7=crushed tezontli
8=cobble paving
9=other, including floors with red plaster",,,
39,wallCoreStone,wallCoreStone,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_wallCoreStone,TALUDSTN,Stone in wall cores,Stone (including tezontli) in cores of walls or taludes.,"domain set:
[-1,0..5]
-1=missing data
0=walls present, but no stone observed in them
1=small stones
2=medium stones
3=stones present, unspecified size
4=stones of mixed sizes
5=large stones",,,
40,wallCoreOthMat,wallCoreOthMat,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_wallCoreOther,WALLMATR,Other wall core materials,"Materials in cores of walls, instead of or in addition to stone.","domain set:
[-1,0..3]
-1=no walls, or walls but no data on materials present in wall core
0=walls present but nothing except stone and/or tezontli observed
1=tepetate is the only recorded additional material
2=adobes present, plus possibly other materials
3=other, including xalnene or tepetate and xalnene, but not adobes",,,
41,wallFacing,wallFacing,Data_archMaterial,Integer,TRUE,-1,TRUE,Codes_wallFacing,WALLFACE,Wall facing materials,Facing materials of walls or taludes.,"domain set:
[-1,0..6,9]
-1=missing data
0=apparently had no facing
1=concrete
2=concrete plus plaster
3=mud
4=plaster on mud
5=facing material lost or uncertain
6=concrete plus painted plaster
9=other",,,
42,intrusiveSherd,intrusiveSherd,Data_description,Integer,TRUE,-1,TRUE,Codes_intrusiveSherd,INTRUSHD,Intrusive sherds,Judgment on intrusion of sherds from other sites/phases.This data field was intended to help identify cases where there was reason to think that the ceramic collection was unlikely to be representative of what would be found upon excavation. ,"domain set:
[-1,0..3,9]
0=isolated site
1=average
2=probably considerable
3=probably primarily intrusive material
9=other",,This data field was intended to help identify cases where there was reason to think that the ceramic collection was unlikely to be representative of what would be found upon excavation. ,
43,height,height,Data_description,Integer,FALSE,-1,FALSE,,HEIGHT,Height of site,Height of site to nearest decametre.,"domain set:
[-1,0..99]
-1=missing data
0-98=height to nearest multiple of 10cm
99=over 9.85m high",,"Multiply by 10 to get an estimate of the height of the site, plus or minus 5cm. Ex. ""5"" indicates a height estimate between 45 and 55 cm.",
44,arch1PMic,arch1PMic,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpPrim,PMICARC1,Pre-Miccaotli primary architectural interpretation,Primary architectural interpretation for Pre-Miccaotli occupation.,"domain set:
[-1,1..21,99]
-1=missing data
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
99=other",,Not reliable.,
45,arch1McTl,arch1McTl,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpPrim,MCTLARC1,Miccaotli-Tlamimilolpa primary architectural interpretation,Primary architectural interpretation for Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,1..21,99]
-1=missing data
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
99=other",,,
46,arch1XlMe,arch1XlMe,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpPrim,XLMEARC1,Xolalpan-Metepec primary architectural interpretation,Primary architectural interpretation for Xolalpan-Metepec occupation.,"domain set:
[-1,1..21,99]
-1=missing data
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
99=other",,,
47,arch1Oxto,arch1Oxto,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpPrim,OXTOARC1,Oxtoticpac primary architectural interpretation,Primary architectural interpretation for Oxtoticpac occupation.,"domain set:
[-1,1..21,99]
-1=missing data
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
99=other",,Should not be used at all.,
48,arch2PMic,arch2PMic,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpAltern,PMICARC2,Pre-Miccaotli alternative architectural interpretation,Alternative architectural interpretation for Pre-Miccaotli occupation.,"domain set:
[-1,1..21,77,88,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
77=no plausible alternative to the primary interpretation
88=primary interpretation is the best assessment of a very ambiguous situation
99=other

Code 77 is used when the primary interpretation appears quite certain. Codes 1-21 and 99 are used when there is a plausible alternative to the primary interpretation. Code -1 is used when the primary interpretation is uncertain, and there is no specific alternative interpretation that appears more probable than others.",,,
49,arch2McTl,arch2McTl,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpAltern,MCTLARC2,Miccaotli-Tlamimilolpa alternative architectural interpretation,Alternative architectural interpretation for Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,1..21,77,88,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
77=no plausible alternative to the primary interpretation
88=primary interpretation is the best assessment of a very ambiguous situation
99=other

Code 77 is used when the primary interpretation appears quite certain. Codes 1-21 and 99 are used when there is a plausible alternative to the primary interpretation. Code -1 is used when the primary interpretation is uncertain, and there is no specific alternative interpretation that appears more probable than others.",,,
50,arch2XlMe,arch2XlMe,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpAltern,XLMEARC2,Xolalpan-Metepec alternative architectural interpretation,Alternative architectural interpretation for Xolalpan-Metepec occupation.,"domain set:
[-1,1..21,77,88,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
77=no plausible alternative to the primary interpretation
88=primary interpretation is the best assessment of a very ambiguous situation
99=other

Code 77 is used when the primary interpretation appears quite certain. Codes 1-21 and 99 are used when there is a plausible alternative to the primary interpretation. Code -1 is used when the primary interpretation is uncertain, and there is no specific alternative interpretation that appears more probable than others.",,,
51,arch2Oxto,arch2Oxto,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ArchInterpAltern,OXTOARC2,Oxtoticpac alternative architectural interpretation,Alternative architectural interpretation for Oxtoticpac occupation.,"domain set:
[-1,1..21,77,88,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=room group
2=room group
3=casa humilde
4=apartment compound
5=temple base (incl. platforms & multi-tiered platforms)
6=pyramid (more than ca. 10m high)
7=simple platform
8=platform with other structures on it
9=platform with other structures on it
10=platform with other structures on it
11=platform in plaza (momoztli)
12=plaza
13=free-standing wall or segment of wall
14=access-way (alley, street, avenue, etc.)
15=avenue divider or possible avenue divider
16=avenue divider or possible avenue divider
17=cemetery
18=dam
19=occupation without durable structures
20=probably not occupied or utilized in this period
21=cave
77=no plausible alternative to the primary interpretation
88=primary interpretation is the best assessment of a very ambiguous situation
99=other

Code 77 is used when the primary interpretation appears quite certain. Codes 1-21 and 99 are used when there is a plausible alternative to the primary interpretation. Code -1 is used when the primary interpretation is uncertain, and there is no specific alternative interpretation that appears more probable than others.",,,
52,constructQual,constructQual,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_ConstructQual,QUALCNST,Construction quality,Construction quality associated with the latest Teotihuacan Period occupation.,"domain set:
[-1,0..4]
-1=missing data
0=probably only perishable materials
1=very simple or below average
2=ordinary, nothing special noted
3=elaborate or very fine
4=""both perishable and ""permanent"" architecture, perhaps pertaining to different periods""",,,
