"","SSN","site","subsite","unit","northing","easting","fieldWorker1","fieldWorker2","fieldWorker3","fieldWorker4","fieldWorker5","collectionYear","collectionQuarter","lastBuildPhase","burials","midden","stoneQuant","stoneDist","stoneCut","lajas","tepetate","adobe","xalnene","cascajo","concrete","plasterUnpaint","plasterPaint","burntClay","almena","burnedStruct","floors","walls","drainSitu","wallFixSitu","murals","columns","taludes","tableros","floorMaterial","wallCoreStone","wallCoreOthMat","wallFacing","intrusiveSherd","height","arch1PMic","arch1McTl","arch1XlMe","arch1Oxto","arch2PMic","arch2McTl","arch2XlMe","arch2Oxto","constructQual","func1PMic","func1McTl","func1XlMe","func1Oxto","func2PMic","func2McTl","func2XlMe","func2Oxto","Cmplx_archInt1PaTz","Cmplx_archInt1McTl","Cmplx_archInt1XlMt","Cmplx_archInt2PaTz","Cmplx_archInt2McTl","Cmplx_archInt2XlMt","Cmplx_funcIntPaTz","Cmplx_funcIntMcTl","Cmplx_funcIntXlMt","Cmplx_funcResPaTz","Cmplx_funcResMcTl","Cmplx_funcResXlMt","Cmplx_funcTmpPaTz","Cmplx_funcTmpMcTl","Cmplx_funcTmpXlMt","Cmplx_funcCivPaTz","Cmplx_funcCivMcTl","Cmplx_funcCivXlMt","Cmplx_funcOthXlMt","Cmplx_Num","Cmplx_Unit","MCmplx_Num","MCmplx_Unit","MCmplx_presPaTz","MCmplx_presMcTl","MCmplx_presXlMt","MCmplx_funcIntPaTz","MCmplx_funcIntMcTl","MCmplx_funcIntXlMt","neighborhoodChar","freeStandWall","wells","jagueyArch","puestos","milpa","barley","beans","alfalfaCut","alfalfaUncut","nopales","magueys","fallow","uncultivate","cropWater","plowing","pitCultivate","pitLoot","archaeoExcRest","pitMisc","quarrying","stoneClearing","landLeveling","terracing","ditching","roadOrRail","recentWall","stoneRows","recentBuild","dam","jagueyMod","erosion","silting","siteAlteration","slope","groundstoneField","obsidianField","manos","metates","mortars","pestles","plasterSmoothers","plumbBobs","wallFixSurf","fireGods","sculptureFrags","hammerStones","slingStones","smoothStones","whetStones","palettes","celts","lajasReworked","anvils","drainSurf","drainCovers","groundstoneOther","obsidianTot","obsidianBlades","obsidianWaste","obsidianScrapers","obsidianPoints","obsidianCores","obsidianKnives","obsidianEccentrics","obsidianMagueyS","obsidianUtFlake","obsidianNodules","basaltTot","basaltTools","chert","quartz","slateTot","slatePainted","alabaster","serpentine","jade","workedBone","shellTot","shellWorked","figTot","figHead","figPPat","figPatl","figTzac","figMicc","figTlam","figXola","figMete","figTolt","figAzte","figPupp","spindleWhorl","sealStamp","earSpool","whistle","flute","labAnalyst1","labAnalyst2","labAnalyst3","analysisYear","analysisQuarter","ceramicField","ceramicAbundance","candTot","candCoat","candAtoy","candEXol","candLXol","candMete","candComm","burner3P","coverHandled","areaSite","totAll","totPrec","totCuan","totTezo","totPatl","totTzac","totMicc","totTlam","totXola","totMete","totOxto","totXome","totMaza","totAzte","censerTot","censerPPat","censerPatl","censerTzac","censerMicc","censerTlam","censerXola","censerMete","censerOxto","censerXome","censerMaza","censerAzte","toTot","toRegular","toCoarse","smoTot","smoTlam","smoXola","smoMete","ollaTot","ollaPatl","ollaWedge","ollaMicc","ollaTlam","ollaXola","ollaMete","comalTot","comalPatl","comalTzac","comalMicc","comalTlam","comalXola","comalMete","comalOxto","comalPOxt","nubbinTot","nubbinPatl","nubbinApet","nubbinInset","nubbinFlush","nubbinAtoy","nubbinXola","nubbinMete","shrdStamped","shrdPlanoR","shrdStucco","shrdIncised","foreignTot","mayaLow","mayaHigh","huastec","tajin","gulfCoast","monteAlban","oaxaca","foreignOther","adornos","minatures","copas","matteWare","granTot","granPMic","granMicc","granTlam","granXola","granMete","ceramicDisk","obsidianSpencePhase1","obsidianSpencePhase2","ceramicKrotser","figurineConcBarbour","areaStruct","insubstantialCount","boundInfoQual"
"1256",1256,"3","NONE","N6W2",272,-98,NA,NA,NA,NA,NA,67,2,5,0,0,7,1,0,4,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,4,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,-1,0,0,0,0,0,71,42,13,14,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,-1,2,-1,-1,-1,0,0,4,1,0,0,0,0,NA,NA,NA,67,2,0,4,17,-1,-1,-1,-1,8,8,4,5,103,148,0,0,0,2,30,8,15,32,9,0,9,9,7,7,0,0,0,1,4,1,1,0,0,0,0,18,17,1,17,0,17,0,15,0,4,0,1,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,832,0,0
"1257",1257,"4","NONE","N6W2",280,-94,NA,NA,NA,NA,NA,67,2,4,0,0,7,1,0,4,4,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,16,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,31,9,15,5,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,67,2,0,4,4,-1,-1,-1,-1,3,3,0,2,224,186,0,0,0,4,43,14,12,40,3,0,11,5,30,4,0,0,0,0,2,1,1,0,0,0,0,19,15,4,19,0,19,0,25,0,4,4,3,14,0,4,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,5,0,3,2,0,0,0,0,0,0,0,1977,0,0
"1258",1258,"5","NONE","N6W2",277,-89,NA,NA,NA,NA,NA,67,2,4,0,0,7,1,0,2,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,3,2,4,4,20,-1,-1,-1,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,17,5,8,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,NA,NA,NA,67,2,0,5,0,0,0,0,0,0,0,2,1,272,135,0,0,0,0,13,19,33,29,0,0,7,4,7,6,0,0,0,0,2,4,0,0,0,0,0,18,18,0,11,0,11,0,27,0,0,8,13,6,0,4,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,4,0,3,1,0,0,1,0,0,0,0,1938,0,0
"1259",1259,"6","NONE","N6W2",286,-94,NA,NA,NA,NA,NA,67,2,4,0,0,9,4,0,5,2,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,15,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,1,2,0,0,0,0,-1,0,0,0,0,1,23,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,0,NA,NA,NA,67,2,0,4,12,-1,-1,-1,-1,9,9,0,3,167,214,0,0,0,0,16,3,28,32,5,0,8,6,98,5,0,0,0,0,5,0,0,0,0,0,0,10,10,0,14,0,14,0,20,0,1,0,6,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,2,6,1,0,5,0,0,0,0,1320,-1,-1
"1260",1260,"7","NONE","N6W2",295,-94,NA,NA,NA,NA,NA,67,2,0,0,0,9,1,0,2,2,0,0,4,3,3,3,0,0,0,0,4,0,0,0,0,0,0,-1,3,-1,1,1,16,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,58,33,5,16,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,8,1,-1,-1,1,-1,-1,-1,-1,0,0,2,0,0,0,0,0,NA,NA,NA,67,2,0,-1,8,-1,-1,-1,-1,6,6,1,1,151,166,0,0,0,0,7,4,15,14,5,1,4,4,80,8,0,0,0,1,2,5,0,0,0,0,0,26,23,3,8,0,8,0,4,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1368,-1,-1
"1261",1261,"8","NONE","N6W2",267,-60,NA,NA,NA,NA,NA,66,1,3,0,0,3,1,0,2,2,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,3,0,-1,-1,-1,1,1,56,5,5,5,20,77,77,77,-1,2,7,7,7,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,88,12,59,12,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,66,1,0,3,3,-1,-1,-1,-1,2,2,0,0,250,77,0,0,0,0,42,5,7,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,1,-1,15,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1120,0,0
"1262",1262,"9","A","N6W2",264,-91,NA,NA,NA,NA,NA,67,2,4,0,0,5,1,0,2,5,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,2,7,7,7,20,77,77,77,-1,2,43,43,43,-1,-1,-1,-1,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,35,14,9,8,2,0,2,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,8,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,67,2,0,5,3,-1,-1,-1,-1,-1,1,1,0,141,113,0,0,0,2,9,22,21,12,6,0,6,2,9,3,0,0,0,0,3,0,0,0,0,0,0,21,17,4,5,0,5,0,14,0,1,4,6,2,1,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,7,0,3,1,3,0,0,0,0,0,0,360,0,0
"1263",1263,"9","B","N6W2",267,-85,NA,NA,NA,NA,NA,67,2,4,0,0,7,1,0,4,2,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,-1,-1,-1,1,16,7,7,7,20,77,77,77,-1,2,43,43,43,-1,-1,-1,-1,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,2,0,0,0,0,6,0,0,0,0,-1,0,0,0,0,1,57,33,13,6,3,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,18,-1,-1,-1,-1,-1,-1,-1,-1,0,1,3,0,0,0,0,0,NA,NA,NA,67,2,0,5,3,-1,-1,-1,-1,-1,1,3,6,112,186,0,0,0,0,23,21,37,22,12,0,10,0,41,10,0,0,0,0,5,5,0,0,0,0,0,8,6,2,7,0,7,0,22,0,3,5,10,3,1,2,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,8,1,4,3,0,0,2,0,0,0,0,450,0,0
"1264",1264,"9","C","N6W2",264,-87,NA,NA,NA,NA,NA,67,2,4,8,0,7,1,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,6,7,7,7,20,77,77,77,-1,2,43,43,43,-1,-1,-1,-1,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,5,0,0,0,0,16,0,0,0,0,-1,0,0,0,0,4,135,52,46,16,7,7,2,0,0,0,2,5,2,0,0,3,0,0,0,1,0,4,0,44,4,-1,-1,-1,2,1,-1,-1,0,0,12,0,0,0,0,0,NA,NA,NA,67,2,0,-1,5,-1,-1,-1,-1,-1,1,9,10,157,628,0,0,0,6,44,123,173,69,21,0,14,16,29,35,0,0,0,8,19,5,3,0,0,0,0,87,86,1,22,0,22,0,64,0,6,10,38,8,2,4,0,0,1,3,0,0,0,0,9,0,0,3,6,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,5,0,4,1,11,34,1,21,10,2,0,7,0,0,0,0,450,0,0
"1265",1265,"9","D","N6W2",270,-89,NA,NA,NA,NA,NA,67,2,5,0,0,7,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,7,7,7,20,77,77,77,-1,2,43,43,43,-1,-1,-1,-1,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,2,5,0,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,67,2,0,3,2,-1,-1,-1,-1,-1,1,1,1,86,88,0,0,0,0,17,4,12,16,6,0,8,1,12,3,0,0,0,0,1,1,1,0,0,0,0,8,7,1,6,0,6,0,7,0,1,2,2,2,0,3,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,0,0,650,0,0
"1266",1266,"9","E","N6W2",270,-85,NA,NA,NA,NA,NA,67,2,5,0,0,5,1,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,1,4,7,7,7,20,77,77,77,-1,2,43,43,43,-1,-1,-1,-1,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,8,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,NA,NA,NA,67,2,0,-1,0,0,0,0,0,0,0,1,1,96,136,0,0,0,0,16,14,15,16,7,0,6,9,38,8,0,0,0,0,5,2,1,0,0,0,0,10,10,0,6,0,6,0,11,0,2,4,3,2,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,4,0,0,2,0,0,0,0,731,0,0
"1267",1267,"9","F","N6W2",264,-94,NA,NA,NA,NA,NA,67,2,5,0,0,7,1,0,4,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,5,7,7,7,20,77,77,77,-1,2,43,43,43,-1,-1,-1,-1,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,43,16,18,5,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,0,0,0,0,0,NA,NA,NA,67,2,0,6,9,-1,-1,-1,-1,-1,2,4,17,119,251,0,0,0,5,12,16,47,64,16,1,10,8,12,16,0,0,0,0,4,12,0,0,0,0,0,32,29,3,35,1,34,0,13,0,0,2,4,7,0,8,0,0,1,3,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,3,2,6,0,2,3,1,0,2,0,0,0,0,836,0,0
"1268",1268,"9","G","N6W2",267,-91,NA,NA,NA,NA,NA,67,2,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,12,12,12,20,-1,77,77,-1,-1,28,28,28,-1,30,30,30,-1,4,4,4,5,5,5,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,"N6W2",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,0,0,0,NA,NA,NA,67,2,0,2,0,0,0,0,0,0,0,0,0,240,37,0,0,0,0,6,2,8,4,1,0,2,0,10,3,0,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,-1,-1
"1269",1269,"10","NONE","N6W2",252,-92,NA,NA,NA,NA,NA,67,2,4,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,3,3,20,77,77,77,-1,-1,26,26,26,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,110,21,59,14,12,4,0,0,0,0,0,6,-1,0,0,0,0,1,0,0,0,3,0,55,4,-1,-1,1,2,-1,1,-1,0,0,5,0,1,0,0,0,NA,NA,NA,67,2,0,7,3,-1,-1,-1,-1,2,2,7,1,582,587,0,0,0,15,105,116,139,62,5,0,34,20,21,35,0,0,0,10,15,10,0,0,0,0,0,55,53,2,18,1,17,0,28,0,14,7,2,3,2,10,0,0,1,3,6,0,0,0,14,0,0,5,9,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,81,4,36,38,3,0,5,0,0,0,0,0,4,2
"1270",1270,"11","NONE","N6W2",252,-97,NA,NA,NA,NA,NA,67,2,4,8,0,7,1,0,4,4,0,0,5,3,3,3,0,2,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,9,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,6,0,0,0,0,0,0,0,4,0,1,0,0,-1,1,0,0,0,0,225,85,80,28,26,6,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,4,0,83,-1,-1,-1,-1,-1,-1,1,-1,0,0,8,0,0,0,0,0,NA,NA,NA,67,2,0,9,25,-1,-1,-1,-1,-1,13,16,16,265,930,0,0,0,10,107,155,195,147,32,2,51,23,82,61,0,0,0,9,26,19,7,0,0,0,0,69,68,1,85,1,83,1,57,0,9,10,26,9,3,12,0,0,0,9,3,0,0,0,6,0,0,5,1,0,0,0,0,2,0,8,4,0,0,0,0,0,0,0,4,3,0,2,12,67,0,41,28,5,0,5,3,0,0,0,2311,0,0
"1271",1271,"12","NONE","N6W2",300,-95,NA,NA,NA,NA,NA,67,2,0,0,0,9,4,0,4,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,22,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,0,3,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,203,87,88,18,5,5,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,0,12,-1,-1,-1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,67,2,0,-1,5,-1,-1,-1,-1,2,2,1,0,387,166,0,0,0,0,13,6,9,12,0,0,11,6,97,4,0,0,0,0,2,2,0,0,0,0,0,10,10,0,5,0,5,0,8,0,3,1,4,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,1,0,0,0,0,0,0,0,3206,0,0
"1272",1272,"13","NONE","N6W2",274,-81,NA,NA,NA,NA,NA,66,1,4,0,0,4,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,3,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,18,7,2,7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,-1,-1,-1,-1,2,-1,-1,-1,0,0,2,0,0,0,0,0,NA,NA,NA,66,1,0,7,9,-1,-1,-1,-1,2,2,2,1,244,90,0,0,0,0,6,18,16,16,5,0,2,0,5,2,0,0,0,1,1,0,0,0,0,0,0,18,17,1,7,0,7,0,6,0,2,3,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,0,1232,0,0
"1273",1273,"14","NONE","N6W2",274,-77,NA,NA,NA,NA,NA,66,1,4,0,0,9,1,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,10,2,4,4,20,77,77,77,-1,2,3,2,2,-1,77,77,77,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"XXXX",-1,"XXXX",0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,1,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,135,45,51,27,5,6,1,0,0,0,0,7,2,1,0,0,0,2,0,0,0,0,0,49,9,-1,-1,2,4,1,1,-1,0,1,3,0,0,0,0,0,NA,NA,NA,66,1,0,7,9,-1,-1,-1,-1,2,2,8,9,340,528,0,0,0,15,102,79,69,116,18,1,6,0,51,20,0,0,0,3,9,8,0,0,0,0,0,47,44,3,40,0,40,0,51,0,9,18,3,21,0,12,0,0,2,0,6,4,0,0,4,0,0,0,4,0,0,0,1,0,0,7,2,0,0,0,0,0,0,0,2,3,1,1,0,11,0,6,4,1,0,4,0,0,0,0,2450,0,0
