SSN,SITE,SUBSITE,UNIT,NORTHING,EASTING,CXUNIT,MCXUNIT,OBSITOTS,OBSIWSTE,AREASITE,SHRDSTOT,AREASTRC,FLDWRK1,FLDWRK2,FLDWRK3,FLDWRK4,FLDWRK5,COLLYEAR,COLLQURT,LSTBUILD,BURIALS,MIDDEN,QNTSTONE,DSTSTONE,CUTSTONE,LAJAS,TEPETATE,ADOBE,XALNENE,CASCAJO,CONCRETE,PLSTRUNP,PLSTRPNT,BURNCLAY,ALMENA,BRNDSTRC,FLOORS,WALLS,DRAINS_ARCH,WALLFIXT,MURALS,COLUMNS,TALUDES,TABLEROS,SITUFLRS,TALUDSTN,WALLMATR,WALLFACE,INTRUSHD,HEIGHT,PMICARC1,MCTLARC1,XLMEARC1,OXTOARC1,PMICARC2,MCTLARC2,XLMEARC2,OXTOARC2,QUALCNST,PMICFNC1,MCTLFNC1,XLMEFNC1,OXTOFNC1,PMICFNC2,MCTLFNC2,XLMEFNC2,OXTOFNC2,PTTZCX1,MCTLCX1,XLMECX1,PTTZCX2,MCTLCX2,XLMECX2,PTTZCXFN,MCTLCXFN,XLMECXFN,PTTZRSFN,MCTLRSFN,XLMERSFN,PTTZTMFN,MCTLTMFN,XLMETMFN,PTTZCVFN,MCTLCVFN,XLMECVFN,XLMEOTFN,CXUNITN,MCXUNITN,PTTZMCX,MCTLMCX,XLMEMCX,PTTZMXFN,TLXLMXFN,XLMEMXFN,NHOODCHR,FRSTNDWL,WELLS,JAGUEYS,PUESTOS,MILPA,BARLEY,BEANS,CUTALFAL,UNCALFAL,NOPALES,MAGUEYS,FALLOWLD,UNCULTIV,CROPWATR,PLOWING,CULTPITS,LOOTPITS,ARCHEXCV,MISCPITS,QURRYING,CLRSTONE,LDLVLING,TERRACNG,DITCHING,ROADORRR,RCNTWALL,STONERWS,RCNTBLDG,DAM,JAGUEY,EROSION,SILTING,OBSCSITE,SLOPE,GSWKSHOP,OBWKSHOP,MANOS,METATES,MORTARS,PESTLES,PSMOOTHR,PLUMBBOB,FIXTWALL,FIREGODS,MSCSTNSC,HAMMERS,SLINGSTN,SMTHSTN,WHETSTN,PALETTES,CELTS,RWKDLAJA,ANVILS,DRAINS_MODERN,DRAINCVR,OTHERGS,OBSIKNIV,OBSIECCE,OBSIMGSC,BSLTTOOL,CHRTFRAG,QUARTZ,SLATETOT,SLATEPNT,ALABASTR,SERPENTN,JADE,WRKDBONE,SHELLTOT,SHELLWKD,FIGHEADS,PPATFIGS,PATLFIGS,TZACFIGS,MICCFIGS,TLAMFIGS,XOLAFIGS,METEFIGS,TOLTFIGS,AZTEFIGS,PUPPFIGS,SPINWHRL,SEALSTMP,EARSPOOL,WHISTLES,FLUTES,CERANWK1,CERANWK2,CERANWK3,CERANYR,CERANQT,FLDCWKSH,FLDCABUN,COATCAND,ATOYCAND,EXOLCAND,LXOLCAND,OTHPCLAS,PPATCNSR,PATLCNSR,TZACCNSR,OXTOCNSR,XOMECNSR,MAZACNSR,AZTECNSR,TLAMSMO,PATLCOML,TZACCOML,MICCCOML,TLAMCOML,OXTOCOML,PATLNUBB,APETNUBB,INSTNUBB,FLSHNUBB,ATOYNUBB,XOLANUBB,METENUBB,STMPSHRD,PLRFSHRD,STCCSHRD,INCISHRD,FRNSHTOT,LOWMAYA,HIGHMAYA,HUASTEC,TAJIN,GULFCST,MONTEALB,OAXACA,OTHFRN,ADORNOS,MINIATUR,COPAS,MATTWARE,GRANTOTS,PMICGRAN,MICCGRAN,TLAMGRAN,XOLAGRAN,METEGRAN,CERADISK,SOBSIWK1,SOBSIWK2,KCERAWKS,BFIGCONC,INSUBSTR,QUALBND,OBSIBLDS,OBSISCRP,OBSIPNTS,OBSICORS,OBSIUFLK,OBSINODS,BSLTTOTS,FIGUTOTS,CANDTOTS,METECAND,COMMCAND,BRN3PRNG,HANDCOVR,CUANALAN,TEZOYUCA,PATLACHI,TZACUALL,MICCAOTL,TLAMIMIL,XOLALPAN,METEPEC,OXTOTIPA,XOMETLA,MAZAPAN,AZTEC,CNSRTOTS,MICCCNSR,TLAMCNSR,XOLACNSR,METECNSR,THNOTOTS,REGTHNO,CRSTHNO,SMOTOTS,XOLASMO,METESMO,OLLATOT,PATLOLLA,WDGROLLA,MICCOLLA,TLAMOLLA,XOLAOLLA,METEOLLA,COMLTOTS,XOLACOML,METECOML,POXTCOML,NUBBTOTS
541,27,NONE,N5W4,246,-178,XXXX,XXXX,60,25,614,341,2196,4,10,17,-1,-1,68,1,4,0,0,7,1,5,4,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,9,2,4,4,20,77,77,77,77,1,2,2,2,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,0,0,0,0,4,10,17,68,1,0,5,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,5,0,0,0,0,0,0,19,13,2,1,0,0,1,9,2,-1,0,0,0,0,0,2,35,35,79,35,0,0,4,19,55,3,1,2,0,0,72,69,3,0,0,0,24,0,2,4,15,3,0,5,4,0,0,6
542,28,NONE,N5W4,245,-169,XXXX,XXXX,101,52,624,344,816,4,10,17,-1,-1,67,1,4,0,0,7,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,5,2,4,4,20,77,77,77,77,2,3,2,2,-1,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,5,2,0,0,2,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1,-1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,67,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,1,0,0,0,0,0,0,24,12,7,0,0,0,4,14,0,0,0,0,0,0,0,3,84,29,51,27,0,0,51,19,38,16,3,6,4,0,40,38,2,3,3,0,37,0,14,11,10,2,0,1,1,0,0,3
543,29,NONE,N5W4,227,-157,XXXX,XXXX,86,27,895,271,0,4,10,17,-1,-1,67,1,4,0,0,6,3,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,2,3,3,3,20,77,77,77,77,2,3,2,2,-1,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,4,10,17,67,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,2,2,18,32,6,3,0,0,6,6,1,1,1,0,0,0,0,51,97,17,19,22,0,0,11,4,8,0,0,0,0,0,42,41,1,7,7,0,20,0,11,5,4,0,0,0,0,0,0,3
544,30,NONE,N5W4,219,-157,XXXX,XXXX,64,31,992,214,1584,4,10,17,-1,-1,68,1,4,0,0,7,4,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,4,2,4,4,20,77,77,77,77,2,3,2,2,-1,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,-1,3,3,0,0,0,0,0,0,0,0,2,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,5,1,0,0,1,2,0,0,0,0,0,0,0,26,104,14,17,21,0,0,4,6,5,0,0,0,0,0,17,15,2,5,5,0,22,0,11,6,3,2,0,2,1,0,0,2
545,31,NONE,N5W4,213,-156,XXXX,XXXX,34,21,313,130,0,4,10,17,-1,-1,67,1,4,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,3,3,20,77,77,77,77,1,1,1,1,-1,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,4,10,17,67,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,5,5,3,0,0,0,2,3,0,0,0,0,0,0,0,12,38,12,30,10,2,0,4,0,4,3,0,3,0,0,18,17,1,4,4,0,14,0,6,3,2,3,0,0,0,0,0,1
546,32,NONE,N5W4,217,-188,XXXX,XXXX,36,15,460,285,1260,4,10,-1,-1,-1,67,1,3,0,0,5,1,2,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,2,4,4,20,77,77,77,77,2,3,2,2,-1,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,4,10,-1,67,1,0,6,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,11,3,1,0,0,2,7,2,0,0,0,0,0,0,15,70,38,44,13,0,0,0,5,14,7,3,3,1,0,86,86,0,3,3,0,29,0,7,6,15,1,0,1,0,0,0,5
547,33,NONE,N5W4,223,-186,XXXX,XXXX,133,66,642,354,0,4,10,17,-1,-1,68,1,4,0,0,6,1,2,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,3,3,20,77,77,77,77,1,1,1,1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,-1,1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,5,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,39,20,7,1,0,0,9,15,4,-1,0,0,1,0,0,25,115,19,34,20,0,0,9,7,55,2,1,1,0,0,68,58,10,12,12,0,40,0,18,5,13,4,0,0,0,0,0,4
548,34,NONE,N5W4,233,-176,XXXX,XXXX,66,28,440,202,1156,4,10,17,-1,-1,67,1,4,0,0,5,1,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,2,4,20,20,20,20,20,77,0,3,3,3,41,41,41,41,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,4,10,17,67,1,0,5,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,1,21,9,6,2,0,0,4,5,1,1,1,0,1,0,0,3,69,13,12,16,0,0,8,4,28,4,4,0,0,0,47,45,2,4,4,0,19,0,12,1,5,1,0,1,1,0,0,2
549,35,NONE,N5W4,233,-185,XXXX,XXXX,139,77,1050,354,0,4,10,17,-1,-1,67,1,3,0,0,3,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,3,3,20,77,77,77,77,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,-1,-1,1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,4,10,17,67,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,1,0,3,0,0,0,0,0,2,31,22,9,0,0,0,5,11,1,1,1,0,0,0,0,11,135,41,33,14,0,0,12,3,41,2,1,0,0,0,62,62,2,7,7,0,33,0,22,5,6,0,0,0,0,0,0,4
550,36,NONE,N5W4,244,-195,XXXX,XXXX,200,129,792,404,1140,4,10,17,-1,-1,68,1,4,0,0,7,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,5,2,4,4,20,-1,-1,-1,77,0,-1,-1,-1,-1,-1,-1,-1,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,5,5,2,0,5,0,0,0,0,0,0,36,22,10,3,0,0,9,14,0,0,0,1,0,0,0,10,128,41,53,36,0,0,17,6,13,2,0,2,0,0,94,91,3,1,1,0,39,0,20,7,11,1,0,2,1,0,0,14
551,37,NONE,N5W4,221,-168,XXXX,XXXX,60,29,666,283,-1,4,10,17,-1,-1,67,1,4,0,0,3,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,19,19,19,20,77,77,77,77,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,4,10,17,67,1,0,5,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,14,15,1,0,0,0,7,11,2,1,1,0,0,0,0,14,106,19,43,27,0,0,13,9,10,2,2,0,0,0,40,40,0,4,4,0,33,0,16,2,11,4,0,0,0,0,0,3
552,38,NONE,N5W4,233,-157,XXXX,XXXX,67,40,480,251,0,4,10,17,-1,-1,68,1,4,0,0,5,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,3,3,20,77,77,77,77,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,2,19,6,2,0,0,0,3,8,0,0,0,0,0,0,0,24,113,21,29,12,0,0,0,12,13,3,0,2,1,0,20,20,0,0,0,0,36,0,20,5,10,1,0,2,0,0,0,3
553,39,NONE,N5W4,239,-157,XXXX,XXXX,73,50,990,408,1444,4,10,17,-1,-1,68,1,4,0,0,7,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,2,4,4,20,77,77,77,77,2,3,2,2,-1,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,5,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,6,0,2,4,0,0,2,0,0,0,0,0,0,10,7,6,0,0,0,16,16,4,-1,0,2,0,0,0,50,95,34,57,49,0,8,25,9,23,13,9,2,2,0,53,51,2,13,13,0,35,0,14,7,7,7,0,5,2,0,0,2
554,40,NONE,N5W4,249,-157,XXXX,XXXX,168,114,1058,432,1368,4,10,17,-1,-1,68,1,4,0,0,6,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,2,4,4,20,-1,-1,-1,77,1,3,2,2,-1,-1,-1,-1,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,2,0,-1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,0,0,0,0,4,10,17,68,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,3,0,0,4,0,0,0,0,0,1,25,18,9,2,0,0,7,9,0,0,0,3,0,0,0,48,184,24,48,31,2,0,13,13,30,9,4,5,0,0,31,27,4,4,4,0,39,0,18,7,12,2,0,0,0,0,0,4
555,41,NONE,N5W4,240,-169,XXXX,XXXX,25,10,390,183,0,4,10,17,-1,-1,68,1,4,0,0,7,1,4,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,3,3,20,77,77,77,77,1,1,1,1,41,-1,-1,-1,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,4,7,4,0,0,0,0,8,0,0,0,0,0,0,0,7,42,18,21,23,0,2,12,4,27,2,1,1,0,0,25,22,3,1,1,0,16,0,7,1,5,3,0,0,0,0,0,2
556,L 1,NONE,N5W4,237,-173,XXXX,XXXX,20,9,148,41,-1,4,10,17,-1,-1,67,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,67,1,0,3,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,3,7,1,0,0,0,0,1,1,0,0,0,0,0,0,1,17,6,5,5,0,0,0,0,4,1,1,0,0,0,2,2,0,0,0,0,12,0,6,2,3,1,0,0,0,0,0,0
557,L 2,NONE,N5W4,232,-194,XXXX,XXXX,22,10,1316,49,-1,4,10,17,-1,-1,67,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,19,19,19,20,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,67,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,4,7,1,0,0,0,0,3,0,0,0,0,0,0,0,1,13,4,5,6,0,0,2,3,9,0,0,0,0,0,6,6,0,1,1,0,5,0,3,1,1,0,0,0,0,0,0,2
558,L 3,NONE,N5W4,244,-187,XXXX,XXXX,9,4,957,38,-1,4,10,17,-1,-1,68,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,2,0,19,19,19,20,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,4,10,17,68,1,0,3,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,2,0,2,1,0,0,0,3,1,-1,0,0,0,0,0,0,7,9,7,1,0,0,2,0,6,1,1,0,0,0,6,6,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,2
