"","SSN","site","subsite","unit","XLMEFNC1","description","2020Hierarchy","ZArch1_MCTL","ZArch1_OXTO","ZArch1_PMIC","ZArch1_XLME","ZArch2_MCTL","ZArch2_OXTO","ZArch2_PMIC","ZArch2_XLME","ZFunc1_MCTL","ZFunc1_OXTO","ZFunc1_PMIC","ZFunc1_XLME","ZFunc2_MCTL","ZFunc2_OXTO","ZFunc2_PMIC","ZFunc2_XLME","H2020_1_XLME","H2020_2_XLME","H2020_3_XLME","Workshop_2020"
"26",26,"10","N","N1W8",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"27",27,"10","S","N1W8",3,"residence of uncertain status","Uncertain Status Residential",2,20,2,2,-1,77,-1,-1,3,41,3,3,-1,77,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"28",28,"L 1","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",19,20,19,20,77,77,77,77,39,41,39,41,-1,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"29",29,"L 2","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,77,77,-1,77,41,41,39,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"30",30,"L 3","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",19,20,19,20,-1,77,-1,77,39,41,39,41,-1,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"31",31,"L 4","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",19,20,19,20,-1,77,-1,77,39,41,39,41,-1,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"32",32,"L 5","NONE","N1W8",-1,"missing data","-1",99,-1,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Architecture","Other","Other","-1"
"33",33,"L 6","NONE","N1W8",-1,"missing data","-1",20,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Unoccupied","Probably Not Occupied or Utilized in this Period","-1"
"34",34,"L 7","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,77,77,-1,77,41,41,39,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"35",35,"L 8","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,77,41,41,1,41,-1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"36",36,"L 9","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,77,77,-1,77,41,41,39,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"37",37,"L10","NONE","N1W8",39,"cultivated field","Cultivated Field",19,20,19,19,-1,77,-1,-1,39,41,39,39,-1,77,-1,-1,"Open Space","Old Fields","Cultivated Field","-1"
"38",38,"1","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,3,3,20,77,77,77,77,41,1,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"39",39,"2","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"40",40,"3","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"41",41,"4","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"42",42,"5","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"43",43,"6","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"44",44,"7","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"45",45,"8","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,77,1,41,1,41,-1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"46",46,"9","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,2,20,77,77,7,77,41,41,3,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"47",47,"10","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"48",48,"11","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"49",49,"12","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"50",50,"13","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"51",51,"14","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"52",52,"15","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"53",53,"16","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"54",54,"17","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"55",55,"18","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"56",56,"19","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"57",57,"20","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"58",58,"21","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"59",59,"22","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"60",60,"L 1","NONE","N4W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"61",61,"1","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",5,20,7,5,77,77,77,77,7,41,7,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"62",62,"2","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",7,20,7,7,77,77,77,77,2,41,3,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"63",63,"3","NONE","N3W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"64",64,"4","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"65",65,"5","NONE","N3W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"66",66,"6","NONE","N3W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"67",67,"7","NONE","N3W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"68",68,"8","NONE","N3W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"69",69,"9","&10","N3W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"70",70,"11","NONE","N3W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"71",71,"12","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"72",72,"13","NONE","N3W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"73",73,"14","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,77,41,41,1,41,-1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"74",74,"15","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"75",75,"16","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"76",76,"17","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"77",77,"18","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,-1,41,41,1,41,-1,77,77,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"78",78,"19","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,77,-1,41,1,41,-1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"79",79,"20","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"80",80,"21","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"81",81,"22","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,77,41,41,1,41,-1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"82",82,"23","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"83",83,"24","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,-1,41,41,1,41,-1,77,77,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"84",84,"25","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,-1,77,77,-1,41,41,1,41,-1,77,77,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"85",85,"26","NONE","N3W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"86",86,"1","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,2,2,4,77,77,77,77,2,2,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"87",87,"2","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"88",88,"3","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"89",89,"4","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"90",90,"5","NONE","N2W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"91",91,"6","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,0,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"92",92,"7","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"93",93,"8","NONE","N2W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"94",94,"9","NONE","N2W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,2,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"95",95,"10","NONE","N2W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"96",96,"11","NONE","N2W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"97",97,"12","NONE","N2W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"98",98,"13","NONE","N2W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"99",99,"14","NONE","N2W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"100",100,"15","NONE","N2W7",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"101",101,"16","NONE","N2W7",43,"platform of probable religious significance","Platform of Probable Religious Significance",7,20,7,7,77,77,77,77,43,41,43,43,77,77,77,77,"Architecture","Temple or Sanctuary","Platform of Probable Religious Significance","-1"
"102",102,"17","NONE","N2W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"103",103,"L 1","NONE","N2W7",-1,"missing data","-1",3,20,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Architecture","House","Low Status Residential","-1"
"104",104,"L 2","+L3","N2W7",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"105",105,"L 4","NONE","N2W7",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"106",106,"L 5","NONE","N2W7",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"107",107,"L 6","NONE","N2W7",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"108",108,"1","NONE","N1W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"109",109,"2","NONE","N1W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"110",110,"3","NONE","N1W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,3,19,3,77,-1,3,77,1,1,-1,1,77,-1,1,77,"Architecture","House","Low Status Residential","-1"
"111",111,"4","NONE","N1W7",2,"intermediate status residence","Intermediate Status Residential",4,2,2,4,77,77,77,77,2,3,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"112",112,"5","NONE","N1W7",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,19,3,77,77,-1,77,1,41,39,1,77,77,-1,77,"Architecture","House","Low Status Residential","-1"
"113",113,"6","NONE","N1W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"114",114,"7","NONE","N1W7",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,3,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
