"SSN","Occu_EC","Occu_MC","Occu_LC","Occu_ET"
74,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
75,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
76,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
77,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
78,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
79,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
80,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
81,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
82,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
83,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
84,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
85,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
86,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
87,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
88,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
89,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
90,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
91,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
92,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
93,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
94,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
95,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
96,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
97,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
98,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
99,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
100,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
101,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
102,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
103,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
104,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
105,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
106,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
107,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
108,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
109,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
110,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
111,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
112,"1. Likely either less intensive or archaeologically ephemeral occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
113,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
114,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
115,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
116,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
117,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
118,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
119,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
120,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
121,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
122,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
123,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
124,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
125,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
126,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
127,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
128,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
129,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
130,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
131,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
132,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
133,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
134,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
135,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
136,"3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
137,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
138,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
139,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
140,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
141,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
142,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
143,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
144,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
145,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
146,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
147,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
148,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
149,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
150,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
151,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
152,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
153,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
154,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
155,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
156,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
157,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
158,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
159,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
160,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
161,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
162,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
163,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
164,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
165,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
166,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
167,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
168,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
169,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
170,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
171,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
172,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
173,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
174,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
175,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
176,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
177,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
178,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
179,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
180,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
181,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
182,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
183,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
184,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings"
185,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
